"","analysis_score","analysis_text"
"1",0,"RT @SirStuartBinny: Virat Kohli in this series 682 runs in 8 innings , 
Suresh Raina in his Test career 768 runs in 31 innings . #AUSvIND"
"2",0,"RT @SirStuartBinny: Dhawan :- Bro need to call the police what is the number ? 
Kohli :- Bro just dial 1 RAINA RAINA . 
#AUSvIND"
"3",0,"RT @rr_only4you: @rjjyotika No anushka want to do shopping in Australia with Kohli so he got out early... :P :P"
"4",1,"kohli is in good mood to spend some time with AK ..."
"5",1,"RT @clutchplay: Conspiracy theory No.1 (Overheard at work): Kohli is puprosely not batting under Dhoni #IndvEng"
"6",0,"RT @Vaishu_Vk: í ½í¸¡í ½í¸¡í ½í¸¡í ½í¸¡í ½í¸¡""@BaluMahe: Hope That BCCI ll allow Anushka Sharma For #CWC15. Particular For Virat Kohli. í ½í¸"""
"7",1,"RT @mkkhedawat: Virat kohli is like my childhood friends, bandi ke saamne show off karne ko 4-6, Warna phir wahi regular game. #IndvsEng"
"8",1,"Virat kohli is best choice for MC of delhi.

#BediVsKejriwal"
"9",0,"@Nirmalogy And 22 more than Kohli. í ½í¸í ½í¸í ½í¸"
"10",0,"Tri_SerieS
ENG_vS_IND
IND_137/7
Over_36.3
Dhoni_34
Binny_37*
Patel_0
ThiS_Ovr
0 W w
-
Aziz Sarparah"
"11",-2,"India's top order:
Dhawan's a loser
Rohit is talented.
Rahane has split personality.
Kohli has a chronic problem against Eng.
AAA!
#INDvsENG"
"12",0,"*....Ind vs Eng...*
*....3rd match...*
 India.137/6          over.36.1          
Dhoni.34out
Binny.37*"
"13",0,"@keyresourcing @anish_kohli SA, Aus, NZ and Eng. India (emotional)"
"14",0,"Tri_SerieS
ENG_vS_IND
IND_137/5
Over_36
Dhoni_34*
Binny_37*
ThiS_Ovr
0 0 0 0 0 1
-
Aziz Sarparah"
"15",1,"Virat kohli is like my childhood friends, bandi ke saamne show off karne ko 4-6, Warna phir wahi regular game. #IndvsEng"
"16",0,"Should BCCI re-think on it decision to allows WAGS for this WC ... i can already see the decision affecting Kohli .."
"17",1,"Not sure if Harsha is praising Viv Richard and Ponting or trolling Virat Kohli. :p

Missed his tentury by 6 runs.... http://t.co/rzZVrosqMg"
"18",-1,"RT @CraziestSex: on a scale of 1-10 my stress level is at 150"
