"","word","freq"
"kohli","kohli",1498
"india","india",471
"virat","virat",410
"bjp","bjp",339
"will","will",312
"england","england",262
"nalin","nalin",195
"wicket","wicket",176
"dhoni","dhoni",153
"odi","odi",151
"raina","raina",134
"finn","finn",132
"cricket","cricket",131
"world","world",130
"getting","getting",123
"show","show",114
"buttler","buttler",113
"absolute","absolute",111
"dat","dat",110
"disclose","disclose",110
"majority","majority",110
"chalo","chalo",109
"januaryonwards","januaryonwards",109
"payment","payment",109
"surveys","surveys",109
"shown","shown",106
"brisbane","brisbane",99
"dhawan","dhawan",96
"bat","bat",95
"engvind","engvind",95
"dismissed","dismissed",92
"suresh","suresh",92
"indveng","indveng",91
"lose","lose",90
"gone","gone",89
"ashwin","ashwin",85
"icc","icc",85
"quick","quick",85
"rayudu","rayudu",85
"succession","succession",85
"making","making",84
"triseries","triseries",84
"apart","apart",83
"caught","caught",83
"bac","bac",82
"indvseng","indvseng",82
"test","test",82
"appearance","appearance",81
"cupplayers","cupplayers",81
"maiden","maiden",81
"rai","rai",81
"big","big",80
"batting","batting",76
"kohlis","kohlis",73
"play","play",71
"anderson","anderson",70
"jos","jos",70
"warner","warner",69
"now","now",68
"says","says",67
"rahane","rahane",64
"good","good",62
"series","series",62
"bounce","bounce",60
"sharma","sharma",60
"ball","ball",58
"australia","australia",55
"best","best",55
"january","january",55
"behind","behind",54
"gaining","gaining",53
"ground","ground",53
"januaryso","januaryso",53
"like","like",53
"predicting","predicting",53
"kohliis","kohliis",52
"ind","ind",51
"dont","dont",50
"rohit","rohit",49
"shot","shot",49
"can","can",48
"anushka","anushka",46
"team","team",46
"centuries","centuries",45
"get","get",45
"steven","steven",45
"engvsind","engvsind",44
"ali","ali",43
"batsman","batsman",42
"live","live",41
"one","one",41
"played","played",41
"see","see",41
"back","back",40
"open","open",40
"cup","cup",38
"gets","gets",37
"even","even",36
"innings","innings",36
"cant","cant",35
"needs","needs",35
"indian","indian",34
"please","please",34
"think","think",34
"also","also",33
"cwc","cwc",33
"edge","edge",33
"giving","giving",33
"match","match",33
"extra","extra",32
"just","just",32
"odiwicket","odiwicket",32
"today","today",32
"toss","toss",32
"coach","coach",31
"practice","practice",31
"slip","slip",31
"new","new",30
"sachin","sachin",30
"sangakkara","sangakkara",30
"speak","speak",30
"time","time",30
"turn","turn",30
"fielding","fielding",29
"first","first",29
