"","score","text","path"
"35",-1,"Download a #FREE copy of the new confined space working guidelines here....http://t.co/dHpX5Q9TYO #confinedspace","https://twitter.com/heattracing"
"41",-1,"15 min, that's all it takes! Anaplan #AppHub #disruptive #EPM https://t.co/hvnXFKJrU0","https://twitter.com/AJanaplan"
"45",-1,"3 Agile steps to regain composure when you are freaking out http://t.co/OWly5hlQ4T #thinkagile #entrepreneur","https://twitter.com/twilli2861"
"96",-1,"My LinkedIn news feed is turning into a spam-fest. Share GOOD stuff ppl  - no self-publicising crap or sharing PR spin disguised as news","https://twitter.com/socialscotland"
"112",-2,"""Cognos is wrong."" One of the most frustrating, throw-away phrases I hear...Great article @PACScales http://t.co/NKBy2b2mwY @ibmcognos","https://twitter.com/SempreAnalytics"
"132",-1,"Whoa, now that's some blow...... http://t.co/3JBqV4fUue","https://twitter.com/ILahiri"
"150",-1,"RT @fabiomoioli: Digital Innovation: is it killing or saving the Telecom World? #IoT #M2M #Mobile-Pay #BigData http://t.co/cMC5KZW58G http:â¦","https://twitter.com/ITproblems_CT"
"178",-1,"RT @YANNICKL74: Facebook at Facebook at Work : une menace pour Linkedin ? https://t.co/nqHWUm7dJ5","https://twitter.com/AgnesLaborie"
"202",-1,"How to update your #LinkedIn profile, without making your boss suspicious .. - http://t.co/i3X4swEryJ","https://twitter.com/Prolegal_Ltd"
"216",-2,"RT @lucdecleir: Check out my article about collaboration in the cloud, and the Romans! https://t.co/pvDJCMWQz4 #cloud #OpenStack #HP","https://twitter.com/fre_ds"
"220",-1,"""Village Panchayats in the country and to use the hall as a limited company "" by @kishan13g on @LinkedIn https://t.co/ZUu0poO6GA","https://twitter.com/kishan13g"
"233",-1,"#realestate Multi freehold blocks provide highest gross yields in UK for landlords:  Mu... http://t.co/UfVLknCebN http://t.co/jXbD5e06cu","https://twitter.com/Gregor_Wegener"
"245",-1,"I wrote something about failure... https://t.co/qPbXQNWndz
Thank you in advance for the read!","https://twitter.com/ar_em_jay"
"293",-2,"Check out my article about collaboration in the cloud, and the Romans! https://t.co/pvDJCMWQz4 #cloud #OpenStack #HP","https://twitter.com/lucdecleir"
"375",-1,"Boko Haram massacre in Nigeria, whatâs next? | shahriyar Gourgi | LinkedIn http://t.co/b61SYjJPFA","https://twitter.com/aldius2"
"378",-2,"Goodbye @LinkedIn account. Can't be bothered with it, sick of being plagued by recruitment consultants and no I won't pay for premium acct.","https://twitter.com/paul_backhouse"
"415",-1,"My first post on LI, some common start-up failure types
https://t.co/9GEzlSws0Y https://t.co/9GEzlSws0Y My LI","https://twitter.com/samlcarr"
"546",-1,"RT @fabiomoioli: Digital Innovation: is it killing or saving the Telecom World? #IoT #M2M #Mobile-Pay #BigData http://t.co/cMC5KZW58G http:â¦","https://twitter.com/iotmarket"
"559",-2,"RT @skiingloui: True education comes from personal struggles and failures; not a text book. âLoui Byrdziak http://t.co/fzgenWTZZN http://t.â¦","https://twitter.com/SalesAskMe"
"569",-1,"@TmtisClutch @_Nosa_ trouble is neither LinkedIn nor Twitter transport these people to outer space, leaving huge market gap for TwatSpace.","https://twitter.com/miafarradaily"
"572",-1,"RT @fabiomoioli: Telcos will lose more than $50 billion in SMS revenues by 2016 due to the growing Whatsapps http://t.co/K2bcW5H5QH http://â¦","https://twitter.com/sdovis"
"587",-2,"Anyone else seen a 'request denied' message on LinkedIn recently? #bugs","https://twitter.com/loisgrimshaw"
"609",-1,"OBAMA: KING of socialist dog squeeze MT â@kevduffey: SOU:
Obama goes haywire on civil rights
https://t.co/76rkeDhDAu http://t.co/XB5X7f5miMâ","https://twitter.com/markg0077"
"657",-1,"What is the commercial use limit and what can we do about it? https://t.co/0UbdiB5mii","https://twitter.com/mr_linkedin"
"662",-1,"Hey girl you must be LinkedIn becauae you keep sending me emmils about stuff I don't give a shit about.","https://twitter.com/thealcalde340"
