"","score","text","path"
"4",1,"Join our LinkedIn discussions: will the extension of @CILExLawyers' powers lead to a migration of solicitors? https://t.co/IE3fyFMeey","https://twitter.com/compl_i"
"17",1,"Immediate start available, up to Â£40,000. Must have a sales background https://t.co/3TiGdjEmhE","https://twitter.com/enactcareers"
"26",1,"Contrary to popular belief, the construction Industry is not all about the bricks and mortar, its all about the Custâ¦https://t.co/C1D45UppwD","https://twitter.com/clixifix"
"30",1,"One for @ProfBrianCox  all in one blink of a blog. https://t.co/KjAWL1VYhP #bigideas #cosmology #innovatiob #andromeda #innovation #science","https://twitter.com/TimLondonSET"
"51",2,"Thank you @TomMallens for a very interesting presentation on getting more leads through LinkedIn! http://t.co/hAU6PeFwk9","https://twitter.com/BarbaraVonOw"
"69",1,"Are 16h/day enough to manage your business? Please read/retweet our post on Management Efficiency #wheredoyoustand http://t.co/l4VRvfy8Qp","https://twitter.com/speedy_dev"
"82",1,"Couldn't have said this better myself http://t.co/K7cDG3hAjB","https://twitter.com/dvhdesignuk"
"97",1,"A really good article @MyNakedAmbition https://t.co/r1j4oFckB5","https://twitter.com/Anna_Cochrane"
"122",3,"â@LinkedIn: The first step is a leap of faith worth taking. #MLKDay http://t.co/M0WHrbnTtKâ #startup #motivation #innovation","https://twitter.com/Innovaption"
"123",1,"@BreadBoi Would love to connect on Linkedin http://t.co/hqVobmGUIh or here's our blog http://t.co/MhIhfdfJIE","https://twitter.com/NatSchooler"
"128",1,"Reviews - 10 rickety linkedin favor strategies: MdjGQ","https://twitter.com/LindaPa95917489"
"134",1,"Very cool article about teamwork https://t.co/2yt1VY5Jyd","https://twitter.com/Pentaflower"
"137",1,"RT @jonfestinger: ""Why Bitcoin is and isn't like the Internet"" by @Joi on @LinkedIn https://t.co/H0Bf7rr4Zu","https://twitter.com/GameBizLaw"
"141",1,"Very clear post on the definitions of Seed, Series A, and Series B Rounds and their evolution.  http://t.co/XbZF1zJh1H @jason","https://twitter.com/thibaut_duguet"
"146",1,"7 simple steps to create the perfect LinkedIn post | https://t.co/BenAzfXnFV #contentmarketing","https://twitter.com/stevenworobec"
"151",1,"RT @tek_fin: Our investment thesis RT @mdudas: ""Why Bitcoin is and isn't like the Internet"" via @Joi: https://t.co/SruJxGCj3e http://t.co/0â¦","https://twitter.com/AlexLongoni"
"163",1,"When u check on your friends LinkedIn account, you feel like you are the only one fucked up in career choices. Lesson is avoid comparison!","https://twitter.com/Punith_mb"
"181",1,"Promote your company on 40Billion, Twitter, Facebook, LinkedIn, &amp; Google. As low as $25 per month. Start free: http://t.co/Rs2dC9BNuT","https://twitter.com/StartupSupaStar"
"186",1,"It's nice to see time go by: ""A year ago to the day"" by @JuanG294 on @LinkedIn https://t.co/ZeAy7uYMEo","https://twitter.com/JuanG294"
"192",1,"Thank you LinkedIn for the token of appreciation! #grateful http://t.co/Tcpqn8S8eC","https://twitter.com/youshenlim"
"193",1,"""Want to develop in your company? 5 tips for early career progress"" by @PaulWalker1973 on @LinkedIn https://t.co/0WupSO7xM9","https://twitter.com/PaulWalker1973"
"194",1,"Follow the Call Centre HUB LinkedIN Company page for some great insights on Service Improvement Solutions - http://t.co/i4sxuMHXpr","https://twitter.com/CallCentreHUB"
"198",2,"Very proud to receive another #Linkedin #recommendation . You can check it out here https://t.co/fdfo7Erg8a","https://twitter.com/marketingm12"
"204",1,"""The two steps to success"" by @PaulWalker1973 on @LinkedIn https://t.co/xZLxmIfhVW Tip@LinkedInPulse","https://twitter.com/PaulWalker1973"
"206",1,"Idea of the Day: January 20, 2015Stats on social mediaDid you know that LinkedIn is by far the top social medi... http://t.co/CeuLMeU3Wh","https://twitter.com/ConvenienceBigS"
"207",1,"Idea of the Day: January 20, 2015Stats on social mediaDid you know that LinkedIn is by far the top social medi... http://t.co/IucyXV2C6l","https://twitter.com/Pujanggalangit7"
