"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","path"
"1","We Shouldn't be so Focused on Teaching Children How to Code https://t.co/tB7KAWpKW5",FALSE,0,NA,2015-01-20 09:34:25,FALSE,NA,"557471195776696320",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","DouvitsasP",0,FALSE,FALSE,NA,NA,"https://twitter.com/DouvitsasP"
"2","RT @10to12bizclub: 33 LinkedIn Tips for Businesses (Infographic) http://t.co/6o9wOs28fK",FALSE,0,NA,2015-01-20 09:34:24,FALSE,NA,"557471192823894016",NA,"<a href=""https://twitter.com/UkStartUpHelp"" rel=""nofollow"">TTT_UKStartupHelp</a>","UkStartUpHelp",3,TRUE,FALSE,NA,NA,"https://twitter.com/UkStartUpHelp"
"3","LinkedIn Flexes Its Search Engine Muscle, Adds College-Finding Tools For Students - Old Field Solutions http://t.co/G7WltItjGm",FALSE,0,NA,2015-01-20 09:34:23,FALSE,NA,"557471190798061568",NA,"<a href=""http://www.simplycast.com"" rel=""nofollow"">SimplyCast</a>","Aadam92465206",0,FALSE,FALSE,NA,NA,"https://twitter.com/Aadam92465206"
"4","Join our LinkedIn discussions: will the extension of @CILExLawyers' powers lead to a migration of solicitors? https://t.co/IE3fyFMeey",FALSE,0,NA,2015-01-20 09:34:21,FALSE,NA,"557471180618481665",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","compl_i",0,FALSE,FALSE,NA,NA,"https://twitter.com/compl_i"
"5","""Experiences from Working Two Jobs"" by @RKapula on @LinkedIn https://t.co/YA86DqL4N0 #TwoJobs #WebDev",FALSE,0,NA,2015-01-20 09:34:15,FALSE,NA,"557471157235245056",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RKapula",0,FALSE,FALSE,NA,NA,"https://twitter.com/RKapula"
"6","How to Find Investors Through LinkedIn http://t.co/Oq8YC8gRdm",FALSE,0,NA,2015-01-20 09:34:12,FALSE,NA,"557471144433831936",NA,"<a href=""http://dlvr.it"" rel=""nofollow"">dlvr.it</a>","startupcrunch",0,FALSE,FALSE,NA,NA,"https://twitter.com/startupcrunch"
"7","Mining the Social Web: Data Mining Facebook, Twitter, LinkedIn, G http://t.co/8xzoUzGy8t  http://t.co/kNojGb0Sgy",FALSE,0,NA,2015-01-20 09:34:07,FALSE,NA,"557471122762256384",NA,"<a href=""http://www.ajaymatharu.com/"" rel=""nofollow"">Tweet Old Post</a>","CyberDomain",0,FALSE,FALSE,NA,NA,"https://twitter.com/CyberDomain"
"8","RT @Pamela3920: How  LinkedIn Can Support Your Small Business? http://t.co/ppDkETOLYu

#SocialMediaMarketing #SocialMedia #LinkedIn http://…",FALSE,0,NA,2015-01-20 09:34:07,FALSE,NA,"557471121822740480",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","LaCSTtweets",3464,TRUE,FALSE,NA,NA,"https://twitter.com/LaCSTtweets"
"9","My Weirdly Obsessive Annual Goal Setting Ritual  https://t.co/oODXroxeDd",FALSE,0,NA,2015-01-20 09:34:04,FALSE,NA,"557471110024138752",NA,"<a href=""http://www.linkedin.com/"" rel=""nofollow"">LinkedIn</a>","Adventurous724",0,FALSE,FALSE,NA,NA,"https://twitter.com/Adventurous724"
"10","When Your CEO Cares about Design https://t.co/RFWZ9wA7Cy",FALSE,0,NA,2015-01-20 09:34:04,FALSE,NA,"557471108387962880",NA,"<a href=""http://www.linkedin.com/"" rel=""nofollow"">LinkedIn</a>","leaderofrisk",0,FALSE,FALSE,NA,NA,"https://twitter.com/leaderofrisk"
"11","Trends 2015 https://t.co/TnnYTkw78I",FALSE,0,NA,2015-01-20 09:33:57,FALSE,NA,"557471079468658688",NA,"<a href=""http://www.linkedin.com/"" rel=""nofollow"">LinkedIn</a>","MauricioRTome",0,FALSE,FALSE,NA,NA,"https://twitter.com/MauricioRTome"
"12","This Is Why Kids Should Learn How To Code https://t.co/R6P3L9opSa",FALSE,0,NA,2015-01-20 09:33:49,FALSE,NA,"557471045134086145",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","DouvitsasP",0,FALSE,FALSE,NA,NA,"https://twitter.com/DouvitsasP"
"13","Steve Jobs' Greatest Failure https://t.co/TdeGNw00xg",FALSE,0,NA,2015-01-20 09:33:47,FALSE,NA,"557471038041108481",NA,"<a href=""http://www.linkedin.com/"" rel=""nofollow"">LinkedIn</a>","hadihfarah",0,FALSE,FALSE,NA,NA,"https://twitter.com/hadihfarah"
"14","FinTech acceleration in the heart of the action @Level39CW  https://t.co/VUv018fZGb",FALSE,1,NA,2015-01-20 09:33:44,FALSE,NA,"557471024590381058",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","JohnnyMWalker",0,FALSE,FALSE,NA,NA,"https://twitter.com/JohnnyMWalker"
"15","RT @NEWSOVERTHERE: The Most Amazing Big Data Stories Of The Past 12 Months | Bernard Marr | LinkedIn http://t.co/i8EFy6YTJU

#BigData
#Anal…",FALSE,0,NA,2015-01-20 09:33:43,FALSE,NA,"557471022853537793",NA,"<a href=""http://www.simbasystems.com"" rel=""nofollow"">NoSQLDigest</a>","NoSQLDigest",1,TRUE,FALSE,NA,NA,"https://twitter.com/NoSQLDigest"
"16","Where Will Social Media Users Go In 2016? https://t.co/4ZkfWwiFkR",FALSE,0,NA,2015-01-20 09:33:13,FALSE,NA,"557470896160374785",NA,"<a href=""http://www.linkedin.com/"" rel=""nofollow"">LinkedIn</a>","antosavarese",0,FALSE,FALSE,NA,NA,"https://twitter.com/antosavarese"
