"","analysis_score","analysis_text"
"1",0,"We Shouldn't be so Focused on Teaching Children How to Code https://t.co/tB7KAWpKW5"
"2",0,"RT @10to12bizclub: 33 LinkedIn Tips for Businesses (Infographic) http://t.co/6o9wOs28fK"
"3",0,"LinkedIn Flexes Its Search Engine Muscle, Adds College-Finding Tools For Students - Old Field Solutions http://t.co/G7WltItjGm"
"4",1,"Join our LinkedIn discussions: will the extension of @CILExLawyers' powers lead to a migration of solicitors? https://t.co/IE3fyFMeey"
"5",0,"""Experiences from Working Two Jobs"" by @RKapula on @LinkedIn https://t.co/YA86DqL4N0 #TwoJobs #WebDev"
"6",0,"How to Find Investors Through LinkedIn http://t.co/Oq8YC8gRdm"
"7",0,"Mining the Social Web: Data Mining Facebook, Twitter, LinkedIn, G http://t.co/8xzoUzGy8t  http://t.co/kNojGb0Sgy"
"8",0,"RT @Pamela3920: How  LinkedIn Can Support Your Small Business? http://t.co/ppDkETOLYu

#SocialMediaMarketing #SocialMedia #LinkedIn http://â¦"
"9",0,"My Weirdly Obsessive Annual Goal Setting Ritual  https://t.co/oODXroxeDd"
"10",0,"When Your CEO Cares about Design https://t.co/RFWZ9wA7Cy"
"11",0,"Trends 2015 https://t.co/TnnYTkw78I"
"12",0,"This Is Why Kids Should Learn How To Code https://t.co/R6P3L9opSa"
"13",0,"Steve Jobs' Greatest Failure https://t.co/TdeGNw00xg"
"14",0,"FinTech acceleration in the heart of the action @Level39CW  https://t.co/VUv018fZGb"
"15",0,"RT @NEWSOVERTHERE: The Most Amazing Big Data Stories Of The Past 12 Months | Bernard Marr | LinkedIn http://t.co/i8EFy6YTJU

#BigData
#Analâ¦"
"16",0,"Where Will Social Media Users Go In 2016? https://t.co/4ZkfWwiFkR"
"17",1,"Immediate start available, up to Â£40,000. Must have a sales background https://t.co/3TiGdjEmhE"
"18",0,"Join a discussion about trials and triumphs of Learnerships and other accredited interventions! https://t.co/lwIpPujnPn"
"19",0,"RT @GraviTalent: ""Jack of All Trades or a Master of One? #Generalist or #Specialist? "" by @CareerPivot on @LinkedIn http://t.co/RtOrLYFQQk"
"20",0,"""Stop talking about Candidate Experience and start doing something!""  https://t.co/WJMjLujOzt make it accountable? The Candidate Experience"
"21",0,"Stealthy ninja has requested LinkedIn connect, guess I have to accept http://t.co/6LMdpu8zhE"
"22",0,"ManageFlitter  is now following me on Twitter! Thank you for the follow! I specialize in training Non-profit Org... http://t.co/89SzfBTmD4"
"23",0,"Is this the future of News? https://t.co/skRWjyF2Bo"
"24",0,"""5th Annual Shakespeare's Birthday Sonnet Slam in NYC"" by @jnvandaele on @LinkedIn https://t.co/BLP7f1XIGG"
"25",0,"@quintype_inc  @amitrathore sure!! Will send you a ping on linkedin.."
"26",1,"Contrary to popular belief, the construction Industry is not all about the bricks and mortar, its all about the Custâ¦https://t.co/C1D45UppwD"
"27",0,"Hello, Hannah Welch_HCUK Thanks for the follow! Check me on LinkedIn http://t.co/NLagN0Jwhf and my blogs http://t.co/AKZVyL7whk"
"28",0,"Check out the latest news, insights, &amp; opportunities from @ExcaliburCom  https://t.co/VmD29CRo2Y"
"29",0,"linkedin business operations associate http://t.co/O2PEDltk3R"
"30",1,"One for @ProfBrianCox  all in one blink of a blog. https://t.co/KjAWL1VYhP #bigideas #cosmology #innovatiob #andromeda #innovation #science"
"31",0,"""7 Unexpected Signs You Might be an Entrepreneur"" by @invoker on @LinkedIn https://t.co/Cm7fTl7efp"
"32",0,"Money Transfer Agents operated by Con Artists and #Terrorist 

#Moneylaundering #AML http://t.co/ZqRItV4fKR http://t.co/Sjyf7nSnj4"
"33",0,"Developer Evangelist at Leap Motion. #mydailywow â and look who you're inheriting it from: https://t.co/lnNaqQyj6k https://t.co/BYmGBtKsfT"
"34",0,"Carpenters plumbers encouraged to join linkedIn @QualiBuild http://t.co/RLK9zbCd11"
"35",-1,"Download a #FREE copy of the new confined space working guidelines here....http://t.co/dHpX5Q9TYO #confinedspace"
"36",0,"RT @DuncanChapple: ""Announcing the ten outstandingly-valuable services analysts"" by @DuncanChapple on @LinkedIn http://t.co/I3j9g5fDUD"
"37",0,"Interesting article about pace, leadership, resilience in the face of internal push back and media pressure https://t.co/Qg5rondg6s?"
"38",0,"Global Head of Customer Payments https://t.co/URBg9CZZqQ"
"39",0,"Head of Health, Safety &amp; Wellbeing https://t.co/p5btqbCKV8"
"40",0,"""Change of Front Page Headline &amp; Our Future Plan on LinkedIn"" by @msiatraining on @LinkedIn https://t.co/eoMSbN1Oaz"
"41",-1,"15 min, that's all it takes! Anaplan #AppHub #disruptive #EPM https://t.co/hvnXFKJrU0"
"42",0,"20 Facebook, Twitter, LinkedIn &amp; Pinterest Features You Didn't Know Existed (But Totally... http://t.co/5XYSToLHlk http://t.co/XsXm4XitIm"
"43",0,"""Top 10 UX design trends for 2015"" by @VirtualRanz on @LinkedIn https://t.co/iBTKkyRhyd"
"44",0,"7 Unexpected Signs You Might be an Entrepreneur https://t.co/lWHEuaq59h"
"45",-1,"3 Agile steps to regain composure when you are freaking out http://t.co/OWly5hlQ4T #thinkagile #entrepreneur"
"46",0,"@inabreeze @vapoduduzuro @skincopy1 @bivekkumar19 @ericaabad1 thanks 4 follow PS | http://t.co/JFTaFzAuvB http://t.co/PqIBybMgcC"
"47",0,"Answer: Complete list of Linkedin Skills #development #programmingÂ #solution http://t.co/YKHiuSPOue"
"48",0,"Don't look away when you meet eyes with a girl http://t.co/fvyXNwqbcC"
"49",0,"@GoldwineF Hi, Any possibilities of working remotely ? My LinkedIn http://t.co/vRBvvZOWYk"
"50",0,"Wanted: #BusinessAnalyst #Graduate at Acer in Johannesburg http://t.co/uqMKMdSkOp"
"51",2,"Thank you @TomMallens for a very interesting presentation on getting more leads through LinkedIn! http://t.co/hAU6PeFwk9"
"52",0,"Job opportunity: Manager, Industry #AnalystRelations at @FICO - Greater Minneapolis-St. Paul Area #jobs https://t.co/eorJv3ETcC"
"53",0,"""7 Reasons Why Outdoor Learning is Great"" by @adrian_lloyd on @LinkedIn https://t.co/WWoNIZFr8b"
"54",0,"RT @NortonOnline: #Phishing Scam: #hackers disguised as #LinkedIn support are out to steal your info: http://t.co/2X84Gmtmje http://t.co/kgâ¦"
"55",0,"REGISTER FOR YOUR FREE TANK WORLD EXPO (Dubai 13-14 April) VISITOR PASS TODAY! http://t.co/daPhVtnYHP"
"56",0,"Check out the latest news, insights, and opportunities from IFC - International Finance Corporation. https://t.co/BWgROBcP9L"
"57",0,"#realestate Go figure: winter getaways, real estate coaches and counting the cost of ho... http://t.co/EiKZ3Kb7BN http://t.co/jXbD5e06cu"
"58",0,"Implementing a Government CRM? Toss Out the Playbook! https://t.co/b5cUXqLWJa"
"59",6,"I need to learn how #LinkedIn endorsements work, like am I supposed to endorse people back when they endorse me orrrrr? Is it like likes?"
"60",0,"Have you joined our #Linkedin group? Great discussions for new and veteran IT Pros  http://t.co/6SnWC5MLHv http://t.co/jh3vYCK203"
"61",0,"Job opportunity: Director, #PR &amp; #AnalystRelations at @SOTI_Inc - Toronto, Canada Area #jobs https://t.co/MUV91Z2bj4"
"62",0,"Clean Team Member: @StatusSol the mission is: protecting people and stuff. Learn about #SARA, #CATIE &amp; #MIMI http://t.co/VRjUpnSF5M"
"63",0,"The Two Recruiting Metrics That Actually Are Worth Measuring https://t.co/kg9vpooMPk"
"64",0,"The Importance of Engagement in Social Media http://t.co/vYLY1pNp7r"
"65",0,"RT @ravikikan: Top 5 Kickass #Startups Of Today http://t.co/7IE2pt8dk7 @startoutcon @PowerOfHug @era81official @hispalando #linkedIn #smallâ¦"
"66",0,"""The Quint (In Six Months Flat!)"" on @LinkedIn https://t.co/H0RVVNmNLs"
"67",0,"""I Am Millennial. Hear Me Roar!"" https://t.co/7zf89XFnAM"
"68",0,"Don't Quit Your Day Job! #busyseason #jobs #CPA https://t.co/m8jDrvwBHH"
"69",1,"Are 16h/day enough to manage your business? Please read/retweet our post on Management Efficiency #wheredoyoustand http://t.co/l4VRvfy8Qp"
"70",0,"RT @curedlyme: ""Ten Tips To Protect Your Body from Toxic Chemicals"" by @DocCarnahan on @LinkedIn https://t.co/u1uKEdXP4k"
"71",0,"10 Must Have Competences for the #HR #Manager  https://t.co/yaVFwgBPyK"
"72",0,"Job opportunity: Senior Manager, #PR and #AnalystRelations at @SynaCorp - San Francisco Bay Area #jobs https://t.co/0RN9xDqNqR"
"73",0,"#Inspired - Join our Sport Sector Group on Linkedin #YBGuk  http://t.co/IiekOBHfAR http://t.co/jEOrS3ShOB"
"74",0,"Double Cardan Shaft

https://t.co/dh7f5ZtJ8t https://t.co/gaPWulsu53"
"75",0,"RT @karengeeswl ""Today is going to be the day I get too a 1000 Linkedin connections! I'm On 994 as you read this. So: http://t.co/OzIfBnD8gc"
"76",0,"RT @digitindia: Cybercriminals now targeting LinkedIn users, claims Symantec

http://t.co/vqn2ZbROI6 http://t.co/oNGykmo4YW"
"77",0,"Why Employees Stray: #jobs #career #iquit #accountingiskillingme https://t.co/H90khp8ClM"
"78",0,"""Why Most CEOs Should Be Fired or Reprimanded"" by @WCWPartners on @LinkedIn https://t.co/hN1xPWATuZ"
"79",0,"All in one blink of a blog https://t.co/KjAWL1VYhP #Art, #Science, #Cosmology #Troxler #Constellations, #Physiology #Matrix #Neuroscience"
"80",0,"12 Surprising Facts About Entrepreneurs: http://t.co/nnTPtuw6wp"
