"","ti","age","id","au","ve","nC","nP","nR","at","msg","path"
"1",2015-01-20 06:37:31,0.0498155418038368,"z13ccfij1sm2eh01o23ttle5ktyndzglz","117243441674215553881","post",0,0,0,"article"," #tollywood   #kollywoodupdates   #superstar   #rajinikanth   #maheshbabu   #touringtalkees  ﻿","https://plus.google.com/117243441674215553881"
"2",2015-01-20 06:30:32,0.0546617817906318,"z12kjlz4ulb2hfg5l04cftuaytrwzbrq35w","101518794221977544454","post",0,0,0,"article","Gracy Singh turns Mahesh’s on-screen mother #gracysing   #maheshbabu   #Srimanthudu   #jagpatibabu  ﻿","https://plus.google.com/101518794221977544454"
"3",2015-01-20 06:17:47,0.0635198641182096,"z13twj2q5zetsp0td23zifuo2kbaunb1v","110751382568495051971","post",0,0,0,"photo","#MaheshBabu&#39;s next confirmed---&gt; http://www.indiaglitz.com/Mahesh-Babus-Next-Confirmed-telugu-news-123507﻿","https://plus.google.com/110751382568495051971"
"4",2015-01-19 23:03:52,0.364851003537575,"z12gtxpa0yrvth1ro04cirngbriqi3ix0qo0k","117621219526012052503","post",0,0,0,"article"," #maheshbabu   #Mahesh  Thalla﻿","https://plus.google.com/117621219526012052503"
"5",2015-01-19 23:02:31,0.365784416289793,"z123cri4irekzrynb23pwv1xvpnkvrc5p04","117621219526012052503","post",0,0,0,"video"," #maheshbabu   #telugucinemanews  Mahesh Thalla﻿","https://plus.google.com/117621219526012052503"
"6",2015-01-19 22:58:59,0.368237711996944,"z123zhwghmbuhh11k23pwv1xvpnkvrc5p04","117621219526012052503","post",0,0,0,"photo"," #maheshbabu   Mahesh Thalla  #telugu   #tollywood   #superstar  ﻿","https://plus.google.com/117621219526012052503"
"7",2015-01-19 09:37:48,0.924611950213159,"z122zxp5ko2ienhwo04cdjuxhlfrj3tybqc0k","113562279888585796916","post",0,0,0,"article","#GopalaGopala 9-Day #BoxOfficeCollections: #PawanKalyan Starrer Beats #MaheshBabu #Pokiri Lifetime Figureshttp://bit.ly/1CrnNKt﻿","https://plus.google.com/113562279888585796916"
"8",2015-01-18 11:01:47,1.86629424457197,"z132cr3ipqq3cdndq22wc1mpbwmdc1qtc","109792081837579676216","post",0,0,0,"photo","Gracy Singh re-entry with #MaheshBabu&#39;s film ? @ http://goo.gl/IJLdje﻿","https://plus.google.com/109792081837579676216"
"9",2015-01-18 07:49:28,1.99984315054008,"z122fteqzrydtjkjc04ch3drfvm2wharlqs0k","116383938776286465432","post",0,0,0,"article","Aagadu in Hindi - Encounter Shankar - Mahesh Babu [HD]Watch here =&gt; http://www.wittyscoop.com/movies/hindi-dubbed/aagadu-in-hindi-mahesh-babu-hd/ #aagadu   #encountershankar   #maheshbabu   #tamannaahbhatia  ﻿","https://plus.google.com/116383938776286465432"
"10",2015-01-17 05:08:29,3.11164537321914,"z130fx5hexv5t3aqp04cjn0h2lbzsn05rio","108725079662737555814","post",0,0,0,"article"," #aliabhatt   #glampics   #inewsbuzz   #maheshbabu   #shahidkapoor  ﻿","https://plus.google.com/108725079662737555814"
"11",2015-01-16 17:02:38,3.61569887054739,"z13cjlvqcoe2fpfki23nsz1zjurcdthki","110332431969824339802","post",0,0,0,"article","#chukkuvellam | liju: #MaheshBabu, #KritiSanon #Number_One (#Malayalam), #Nenokkadine on #February6  #Sukumar #DSP #DeviSriPrasad http://t.co/lPywK9x25H | #chukkuvellam http://ow.ly/2Tsc5A﻿","https://plus.google.com/110332431969824339802"
"12",2015-01-16 13:17:50,3.77181937585826,"z13sxxqxzxzchrwvs22pvdwr2kujhv10j","114777345442708459992","share",0,3,0,"photo","Watch NowEncounter ShankarFull Hindi Dubbed MovieStarring : Mahesh Babu &amp; Tamannaon Your Mobile Phone!&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;http://mobtown.in(It&#39;s Hindi Dubbed Version of  #telugu  Blockbuster movie  #aagadu  ) #encountershankar   #tamannaah   #maheshbabu   #aagadu   #aagadutelugu  ﻿","https://plus.google.com/114777345442708459992"
"13",2015-01-16 11:36:02,3.84251451589443,"z13tsr5zpmrnd5ypq04ccjmidlf4intbgsc0k","112762203789443095072","share",0,6,1,"photo","Watch NowEncounter ShankarFull Hindi Dubbed MovieStarring : Mahesh Babu &amp; Tamannaon Your Mobile Phone!&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;http://mobtown.in(It&#39;s Hindi Dubbed Version of  #telugu  Blockbuster movie  #aagadu  ) #encountershankar   #tamannaah   #maheshbabu   #aagadu   #aagadutelugu  ﻿","https://plus.google.com/112762203789443095072"
"14",2015-01-16 08:45:30,3.96093920637336,"z13fjtijwkunx12j404cij4pqyr4x5kgrqo0k","100355407386260750826","share",4,30,3,"photo","Watch NowEncounter ShankarFull Hindi Dubbed MovieStarring : Mahesh Babu &amp; Tamannaon Your Mobile Phone!&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;http://mobtown.in(It&#39;s Hindi Dubbed Version of  #telugu  Blockbuster movie  #aagadu  ) #encountershankar   #tamannaah   #maheshbabu   #aagadu   #aagadutelugu  ﻿","https://plus.google.com/100355407386260750826"
"15",2015-01-16 08:44:14,3.96181338195723,"z130uxfzftjuw5vck23nt5hrptbdg35xp04","100355407386260750826","post",0,1,6,"photo","Watch NowEncounter ShankarFull Hindi Dubbed MovieStarring : Mahesh Babu &amp; Tamannaon Your Mobile Phone!&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;&gt;http://mobtown.in(It&#39;s Hindi Dubbed Version of  #telugu  Blockbuster movie  #aagadu  ) #encountershankar   #tamannaah   #maheshbabu   #aagadu   #aagadutelugu  ﻿","https://plus.google.com/100355407386260750826"
