"","score","text","path"
"3",-1,"RT @mvpratap: #maheshbabu  mania @UshaVavveti @Mahesh_bhaktudu http://t.co/vVVqieGU4v","https://twitter.com/shekarrules"
"5",-1,"RT @satyaaprince: #maheshbabu  mania @UshaVavveti @Mahesh_bhaktudu http://t.co/eILxHXmChu","https://twitter.com/Mahesh_bhaktudu"
"6",-1,"RT @mvpratap: #maheshbabu  mania @UshaVavveti @Mahesh_bhaktudu http://t.co/vVVqieGU4v","https://twitter.com/Mahesh_bhaktudu"
"8",-1,"RT @mvpratap: #maheshbabu  mania @UshaVavveti @Mahesh_bhaktudu http://t.co/vVVqieGU4v","https://twitter.com/sai_crlover"
"12",-1,"RT @mvpratap: #maheshbabu  mania @UshaVavveti @Mahesh_bhaktudu http://t.co/vVVqieGU4v","https://twitter.com/just4_funnn"
"23",-1,"RT @mvpratap: #maheshbabu  mania @UshaVavveti @Mahesh_bhaktudu http://t.co/vVVqieGU4v","https://twitter.com/ProudMaheshian"
"24",-1,"#maheshbabu  mania @UshaVavveti @Mahesh_bhaktudu http://t.co/eILxHXmChu","https://twitter.com/satyaaprince"
"25",-1,"RT @mvpratap: #maheshbabu  mania @UshaVavveti @Mahesh_bhaktudu http://t.co/vVVqieGU4v","https://twitter.com/kingvivekreddy"
"26",-1,"RT @mvpratap: #maheshbabu  mania @UshaVavveti @Mahesh_bhaktudu http://t.co/vVVqieGU4v","https://twitter.com/Kishore4Mahesh"
"27",-1,"#maheshbabu  mania @UshaVavveti @Mahesh_bhaktudu http://t.co/vVVqieGU4v","https://twitter.com/mvpratap"
"58",-1,"RT @tintububbly: @veerunaidu @ChwweetPriya @MaheshBabu_FC Born actors madyalo word missed ""to an"".Charan WAX STAR,expression less.Only dancâ¦","https://twitter.com/MAHESH_MANIA007"
"66",-1,"@veerunaidu @ChwweetPriya @MaheshBabu_FC Born actors madyalo word missed ""to an"".Charan WAX STAR,expression less.Only dance is nt acting","https://twitter.com/tintububbly"
"81",-1,"@ChwweetPriya @MaheshBabu_FC To all Mahesh Fans, Most funny from Aagadu","https://twitter.com/tintububbly"
"99",-1,"NTR's Family Visit NTR Ghat on NTR's Death Anniversary Day #jrntr #temper #purijagannadh #bahubali #maheshbabu https://t.co/HHYRksJpd2","https://twitter.com/Bolly2Tolly1"
"179",-2,"RT @POETICandFUNNY: saw #1nenokkadine, #Maheshbabu can play #batman, #joker and such other intense roles in one movie itself.He is an actorâ¦","https://twitter.com/ShivangChauhans"
"264",-2,"RT @POETICandFUNNY: saw #1nenokkadine, #Maheshbabu can play #batman, #joker and such other intense roles in one movie itself.He is an actorâ¦","https://twitter.com/ymr0407"
"275",-2,"RT @POETICandFUNNY: saw #1nenokkadine, #Maheshbabu can play #batman, #joker and such other intense roles in one movie itself.He is an actorâ¦","https://twitter.com/Akhil_316"
"284",-2,"RT @POETICandFUNNY: saw #1nenokkadine, #Maheshbabu can play #batman, #joker and such other intense roles in one movie itself.He is an actorâ¦","https://twitter.com/sai_crlover"
"301",-2,"RT @POETICandFUNNY: saw #1nenokkadine, #Maheshbabu can play #batman, #joker and such other intense roles in one movie itself.He is an actorâ¦","https://twitter.com/manohearthijack"
"314",-2,"RT @POETICandFUNNY: saw #1nenokkadine, #Maheshbabu can play #batman, #joker and such other intense roles in one movie itself.He is an actorâ¦","https://twitter.com/sa1rC"
"320",-2,"RT @POETICandFUNNY: saw #1nenokkadine, #Maheshbabu can play #batman, #joker and such other intense roles in one movie itself.He is an actorâ¦","https://twitter.com/ManojMalladi"
"322",-2,"RT @POETICandFUNNY: saw #1nenokkadine, #Maheshbabu can play #batman, #joker and such other intense roles in one movie itself.He is an actorâ¦","https://twitter.com/harishveera"
"323",-2,"RT @POETICandFUNNY: saw #1nenokkadine, #Maheshbabu can play #batman, #joker and such other intense roles in one movie itself.He is an actorâ¦","https://twitter.com/Prashanth_MBfan"
"324",-2,"RT @POETICandFUNNY: saw #1nenokkadine, #Maheshbabu can play #batman, #joker and such other intense roles in one movie itself.He is an actorâ¦","https://twitter.com/MahiFan_Forever"
"325",-2,"RT @POETICandFUNNY: saw #1nenokkadine, #Maheshbabu can play #batman, #joker and such other intense roles in one movie itself.He is an actorâ¦","https://twitter.com/Raj_4Mahesh"
"326",-2,"RT @POETICandFUNNY: saw #1nenokkadine, #Maheshbabu can play #batman, #joker and such other intense roles in one movie itself.He is an actorâ¦","https://twitter.com/ChwweetPriya"
"327",-2,"RT @POETICandFUNNY: saw #1nenokkadine, #Maheshbabu can play #batman, #joker and such other intense roles in one movie itself.He is an actorâ¦","https://twitter.com/rushyendrab"
"328",-2,"RT @POETICandFUNNY: saw #1nenokkadine, #Maheshbabu can play #batman, #joker and such other intense roles in one movie itself.He is an actorâ¦","https://twitter.com/Mee_Varun"
"414",-1,"RT @urstrulyMahe5h: #1nenokkadine movie played in #Nampally #Exhibition #Stall #MaheshBabu #craze @urstrulyMahesh http://t.co/dpMILlw2gE","https://twitter.com/PrinceSharat"
"425",-1,"RT @urstrulyMahe5h: #1nenokkadine movie played in #Nampally #Exhibition #Stall #MaheshBabu #craze @urstrulyMahesh http://t.co/dpMILlw2gE","https://twitter.com/premdhfm"
"458",-1,"RT @urstrulyMahe5h: #1nenokkadine movie played in #Nampally #Exhibition #Stall #MaheshBabu #craze @urstrulyMahesh http://t.co/dpMILlw2gE","https://twitter.com/sai_crlover"
"459",-1,"RT @Teju912: Keka ""@urstrulyMahe5h: #1nenokkadine movie played in #Nampally #Exhibition #Stall #MaheshBabu #craze @urstrulyMahesh http://t.â¦","https://twitter.com/sai_crlover"
"461",-1,"RT @urstrulyMahe5h: #1nenokkadine movie played in #Nampally #Exhibition #Stall #MaheshBabu #craze @urstrulyMahesh http://t.co/dpMILlw2gE","https://twitter.com/MAHESH_MANIA007"
"463",-1,"RT @Teju912: Keka ""@urstrulyMahe5h: #1nenokkadine movie played in #Nampally #Exhibition #Stall #MaheshBabu #craze @urstrulyMahesh http://t.â¦","https://twitter.com/anvesh_anu"
"464",-1,"RT @Teju912: Keka ""@urstrulyMahe5h: #1nenokkadine movie played in #Nampally #Exhibition #Stall #MaheshBabu #craze @urstrulyMahesh http://t.â¦","https://twitter.com/urstrulyMahesh7"
"466",-1,"RT @Teju912: Keka ""@urstrulyMahe5h: #1nenokkadine movie played in #Nampally #Exhibition #Stall #MaheshBabu #craze @urstrulyMahesh http://t.â¦","https://twitter.com/i_anilkumar"
"467",-1,"RT @Teju912: Keka ""@urstrulyMahe5h: #1nenokkadine movie played in #Nampally #Exhibition #Stall #MaheshBabu #craze @urstrulyMahesh http://t.â¦","https://twitter.com/ProudMaheshian"
"468",-1,"Keka ""@urstrulyMahe5h: #1nenokkadine movie played in #Nampally #Exhibition #Stall #MaheshBabu #craze @urstrulyMahesh http://t.co/LEdjAsh0d0""","https://twitter.com/Teju912"
"470",-1,"RT @urstrulyMahe5h: #1nenokkadine movie played in #Nampally #Exhibition #Stall #MaheshBabu #craze @urstrulyMahesh http://t.co/dpMILlw2gE","https://twitter.com/Mahesh_bhaktudu"
"472",-1,"RT @urstrulyMahe5h: #1nenokkadine movie played in #Nampally #Exhibition #Stall #MaheshBabu #craze @urstrulyMahesh http://t.co/dpMILlw2gE","https://twitter.com/Prashanth_MBfan"
"473",-1,"RT @urstrulyMahe5h: #1nenokkadine movie played in #Nampally #Exhibition #Stall #MaheshBabu #craze @urstrulyMahesh http://t.co/dpMILlw2gE","https://twitter.com/_vsri"
"477",-1,"#1nenokkadine movie played in #Nampally #Exhibition #Stall #MaheshBabu #craze @urstrulyMahesh http://t.co/dpMILlw2gE","https://twitter.com/urstrulyMahe5h"
"489",-2,"RT @POETICandFUNNY: saw #1nenokkadine, #Maheshbabu can play #batman, #joker and such other intense roles in one movie itself.He is an actorâ¦","https://twitter.com/chandu_1113"
"490",-2,"RT @POETICandFUNNY: saw #1nenokkadine, #Maheshbabu can play #batman, #joker and such other intense roles in one movie itself.He is an actorâ¦","https://twitter.com/anurag_i_am"
"491",-2,"RT @POETICandFUNNY: saw #1nenokkadine, #Maheshbabu can play #batman, #joker and such other intense roles in one movie itself.He is an actorâ¦","https://twitter.com/_vsri"
"492",-2,"RT @POETICandFUNNY: saw #1nenokkadine, #Maheshbabu can play #batman, #joker and such other intense roles in one movie itself.He is an actorâ¦","https://twitter.com/nani4u143"
"497",-2,"RT @POETICandFUNNY: saw #1nenokkadine, #Maheshbabu can play #batman, #joker and such other intense roles in one movie itself.He is an actorâ¦","https://twitter.com/urstrulymanoj"
"498",-2,"RT @POETICandFUNNY: saw #1nenokkadine, #Maheshbabu can play #batman, #joker and such other intense roles in one movie itself.He is an actorâ¦","https://twitter.com/untrustely"
"503",-2,"RT @POETICandFUNNY: saw #1nenokkadine, #Maheshbabu can play #batman, #joker and such other intense roles in one movie itself.He is an actorâ¦","https://twitter.com/KRBS526"
"506",-2,"RT @POETICandFUNNY: saw #1nenokkadine, #Maheshbabu can play #batman, #joker and such other intense roles in one movie itself.He is an actorâ¦","https://twitter.com/1InMillion_SSMB"
"507",-2,"RT @POETICandFUNNY: saw #1nenokkadine, #Maheshbabu can play #batman, #joker and such other intense roles in one movie itself.He is an actorâ¦","https://twitter.com/Ram4prince"
"508",-2,"RT @POETICandFUNNY: saw #1nenokkadine, #Maheshbabu can play #batman, #joker and such other intense roles in one movie itself.He is an actorâ¦","https://twitter.com/annayyaabhimani"
"526",-2,"RT @POETICandFUNNY: saw #1nenokkadine, #Maheshbabu can play #batman, #joker and such other intense roles in one movie itself.He is an actorâ¦","https://twitter.com/SSMB_Fan1"
"527",-2,"RT @POETICandFUNNY: saw #1nenokkadine, #Maheshbabu can play #batman, #joker and such other intense roles in one movie itself.He is an actorâ¦","https://twitter.com/urstrulySSMB"
"528",-2,"RT @POETICandFUNNY: saw #1nenokkadine, #Maheshbabu can play #batman, #joker and such other intense roles in one movie itself.He is an actorâ¦","https://twitter.com/Ajay_Kumar79"
"529",-2,"RT @POETICandFUNNY: saw #1nenokkadine, #Maheshbabu can play #batman, #joker and such other intense roles in one movie itself.He is an actorâ¦","https://twitter.com/Anjibabu504"
"530",-2,"RT @POETICandFUNNY: saw #1nenokkadine, #Maheshbabu can play #batman, #joker and such other intense roles in one movie itself.He is an actorâ¦","https://twitter.com/Prince_Mahesh4"
"536",-2,"RT @POETICandFUNNY: saw #1nenokkadine, #Maheshbabu can play #batman, #joker and such other intense roles in one movie itself.He is an actorâ¦","https://twitter.com/mahesh_addicts"
"542",-2,"RT @POETICandFUNNY: saw #1nenokkadine, #Maheshbabu can play #batman, #joker and such other intense roles in one movie itself.He is an actorâ¦","https://twitter.com/Ishayu_Hari"
"543",-2,"RT @POETICandFUNNY: saw #1nenokkadine, #Maheshbabu can play #batman, #joker and such other intense roles in one movie itself.He is an actorâ¦","https://twitter.com/anuprettygirl"
"544",-2,"RT @POETICandFUNNY: saw #1nenokkadine, #Maheshbabu can play #batman, #joker and such other intense roles in one movie itself.He is an actorâ¦","https://twitter.com/urstrulyMahesh7"
"545",-2,"RT @POETICandFUNNY: saw #1nenokkadine, #Maheshbabu can play #batman, #joker and such other intense roles in one movie itself.He is an actorâ¦","https://twitter.com/sharathpalle94"
"546",-2,"RT @POETICandFUNNY: saw #1nenokkadine, #Maheshbabu can play #batman, #joker and such other intense roles in one movie itself.He is an actorâ¦","https://twitter.com/PrinceSharat"
"547",-2,"RT @POETICandFUNNY: saw #1nenokkadine, #Maheshbabu can play #batman, #joker and such other intense roles in one movie itself.He is an actorâ¦","https://twitter.com/varunSrkian"
"553",-2,"RT @POETICandFUNNY: saw #1nenokkadine, #Maheshbabu can play #batman, #joker and such other intense roles in one movie itself.He is an actorâ¦","https://twitter.com/ShivangChauhans"
"563",-2,"RT @POETICandFUNNY: saw #1nenokkadine, #Maheshbabu can play #batman, #joker and such other intense roles in one movie itself.He is an actorâ¦","https://twitter.com/MaheshFan_Vinay"
"564",-2,"RT @POETICandFUNNY: saw #1nenokkadine, #Maheshbabu can play #batman, #joker and such other intense roles in one movie itself.He is an actorâ¦","https://twitter.com/Mahesh_bhaktudu"
"565",-2,"RT @POETICandFUNNY: saw #1nenokkadine, #Maheshbabu can play #batman, #joker and such other intense roles in one movie itself.He is an actorâ¦","https://twitter.com/anvesh_anu"
"566",-2,"RT @POETICandFUNNY: saw #1nenokkadine, #Maheshbabu can play #batman, #joker and such other intense roles in one movie itself.He is an actorâ¦","https://twitter.com/Bharath_7kumar"
"567",-2,"RT @POETICandFUNNY: saw #1nenokkadine, #Maheshbabu can play #batman, #joker and such other intense roles in one movie itself.He is an actorâ¦","https://twitter.com/SnehithaM5"
"568",-2,"RT @POETICandFUNNY: saw #1nenokkadine, #Maheshbabu can play #batman, #joker and such other intense roles in one movie itself.He is an actorâ¦","https://twitter.com/hk12236"
"569",-2,"RT @POETICandFUNNY: saw #1nenokkadine, #Maheshbabu can play #batman, #joker and such other intense roles in one movie itself.He is an actorâ¦","https://twitter.com/mahesh_ee"
"570",-2,"RT @POETICandFUNNY: saw #1nenokkadine, #Maheshbabu can play #batman, #joker and such other intense roles in one movie itself.He is an actorâ¦","https://twitter.com/Gowtham_Tejj"
"571",-2,"RT @POETICandFUNNY: saw #1nenokkadine, #Maheshbabu can play #batman, #joker and such other intense roles in one movie itself.He is an actorâ¦","https://twitter.com/srykrish"
"572",-2,"RT @POETICandFUNNY: saw #1nenokkadine, #Maheshbabu can play #batman, #joker and such other intense roles in one movie itself.He is an actorâ¦","https://twitter.com/FanOfSSMB"
"573",-2,"RT @POETICandFUNNY: saw #1nenokkadine, #Maheshbabu can play #batman, #joker and such other intense roles in one movie itself.He is an actorâ¦","https://twitter.com/onlymaheshfan"
"574",-2,"RT @POETICandFUNNY: saw #1nenokkadine, #Maheshbabu can play #batman, #joker and such other intense roles in one movie itself.He is an actorâ¦","https://twitter.com/Keshava_4Mahesh"
"575",-2,"RT @POETICandFUNNY: saw #1nenokkadine, #Maheshbabu can play #batman, #joker and such other intense roles in one movie itself.He is an actorâ¦","https://twitter.com/Candid_HRavi"
"577",-2,"RT @POETICandFUNNY: saw #1nenokkadine, #Maheshbabu can play #batman, #joker and such other intense roles in one movie itself.He is an actorâ¦","https://twitter.com/issime_miyake"
"578",-2,"RT @POETICandFUNNY: saw #1nenokkadine, #Maheshbabu can play #batman, #joker and such other intense roles in one movie itself.He is an actorâ¦","https://twitter.com/faltukatim3pass"
"579",-2,"RT @POETICandFUNNY: saw #1nenokkadine, #Maheshbabu can play #batman, #joker and such other intense roles in one movie itself.He is an actorâ¦","https://twitter.com/AJ5M1TH"
"580",-2,"RT @POETICandFUNNY: saw #1nenokkadine, #Maheshbabu can play #batman, #joker and such other intense roles in one movie itself.He is an actorâ¦","https://twitter.com/booooringg"
"581",-2,"RT @POETICandFUNNY: saw #1nenokkadine, #Maheshbabu can play #batman, #joker and such other intense roles in one movie itself.He is an actorâ¦","https://twitter.com/TWEETC0llector"
"583",-2,"RT @POETICandFUNNY: saw #1nenokkadine, #Maheshbabu can play #batman, #joker and such other intense roles in one movie itself.He is an actorâ¦","https://twitter.com/MaheshFan_143"
"584",-2,"RT @POETICandFUNNY: saw #1nenokkadine, #Maheshbabu can play #batman, #joker and such other intense roles in one movie itself.He is an actorâ¦","https://twitter.com/iLazyLad"
"585",-1,"saw #1nenokkadine, #Maheshbabu can play #batman, #joker and such other intense roles in one movie itself.He is an actor that great!","https://twitter.com/POETICandFUNNY"
