"","score","text","path"
"20",1,"@urstrulyMahesh reached 1.1 million tweet hearts proud to be ur fan sir @MaheshBabu_FC","https://twitter.com/mahitheking3331"
"38",1,"@MaheshBabu_FC @urstrulyMahesh cool","https://twitter.com/mishra_moumita"
"42",1,"@indujasri hmm in maheshbabu arjun movie also same like that anytym u said to ur brother that i am big soo i am first in any matter","https://twitter.com/dhamifan"
"47",1,"@MaheshBabu_FC @urstrulyMahesh Asalu eppatike adhe glamour, adhe child smile... Superbbbbbbb","https://twitter.com/tintububbly"
"56",2,"@MaheshBabu_FC @urstrulyMahesh super awesome looks","https://twitter.com/darkmystery01"
"62",2,"According to boxoffice collections top 6 heros are 1) #pawankalyan 2) #ramcharam 3) #alluarjun 4) #maheshbabu 5) #prabhas 6) #jrntr","https://twitter.com/MULAKALAGUMADAM"
"64",2,"70 Crores share cross chesina heros #ramcharan #pawankalyan. 50 cross share ni cross chesina heros #maheshbabu and #alluarjun.","https://twitter.com/MULAKALAGUMADAM"
"68",2,"@ChwweetPriya @veerunaidu @MaheshBabu_FC I mentioned great actor coz he is  d finest actor in TFI compared to others. performs bttr","https://twitter.com/tintububbly"
"69",2,"@veerunaidu @tintububbly @MaheshBabu_FC actor who is good at acting in mvies ni great actor anakunda emanali ?","https://twitter.com/ChwweetPriya"
"71",1,"@tintububbly @ChwweetPriya @MaheshBabu_FC mahesh defiantly tollywood topnotch, great actor antha Peda Peda words really apt avuthaya??","https://twitter.com/veerunaidu"
"74",1,"@MaheshBabu_FC @urstrulyMahesh super","https://twitter.com/mandakrupakar"
"77",1,"@ChwweetPriya @MaheshBabu_FC @urstrulyMahesh Fcourse the most desirable urike vastaya mari ;)","https://twitter.com/tintububbly"
"79",3,"@tintububbly @MaheshBabu_FC how handsome he is while dancing :* like a college student &lt;3 love ya @urstrulyMahesh","https://twitter.com/ChwweetPriya"
"87",3,"Follow me #maheshbabu #ramcharan #ramsays #prabhas #alluarjun #raviteja #p1kalyan #jrntr fans follow me :) loves u lot :) all Telugu fans ;)","https://twitter.com/hancynikhil"
