"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","path"
"1","@Trivikram_Fans @urstrulyMahesh #MaheshBabu tho fix aipoindhi ga !!!",FALSE,0,"Trivikram_Fans",2015-01-20 07:45:54,FALSE,"557437621081616384","557443887719936000","628190706","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","sweetySpandhana",0,FALSE,FALSE,NA,NA,"https://twitter.com/sweetySpandhana"
"2","#Maheshbabu's next confirmed ---&gt; http://t.co/K8Io46MO44 http://t.co/W1f7YvVmYS",FALSE,1,NA,2015-01-20 06:12:49,FALSE,NA,"557420463932981248",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","igtelugu",0,FALSE,FALSE,NA,NA,"https://twitter.com/igtelugu"
"3","RT @mvpratap: #maheshbabu  mania @UshaVavveti @Mahesh_bhaktudu http://t.co/vVVqieGU4v",FALSE,0,NA,2015-01-20 05:41:10,FALSE,NA,"557412497775681536",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","shekarrules",7,TRUE,FALSE,NA,NA,"https://twitter.com/shekarrules"
"4","@urstrulyMahesh‚Äôs Title Goes To Him! - http://t.co/moQO1z2y4H RT @MaheshBabu_FC @MAHESHNAMRATHA @MaheshBabuFacts @RAMaddicts @RamFansAssoc",FALSE,0,"urstrulyMahesh",2015-01-20 04:19:50,FALSE,NA,"557392028359606272","129786468","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ITeluguCinema",0,FALSE,FALSE,NA,NA,"https://twitter.com/ITeluguCinema"
"5","RT @satyaaprince: #maheshbabu  mania @UshaVavveti @Mahesh_bhaktudu http://t.co/eILxHXmChu",FALSE,0,NA,2015-01-20 02:45:59,FALSE,NA,"557368411013926914",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M2)</a>","Mahesh_bhaktudu",1,TRUE,FALSE,NA,NA,"https://twitter.com/Mahesh_bhaktudu"
"6","RT @mvpratap: #maheshbabu  mania @UshaVavveti @Mahesh_bhaktudu http://t.co/vVVqieGU4v",FALSE,0,NA,2015-01-20 02:44:49,FALSE,NA,"557368117794320384",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M2)</a>","Mahesh_bhaktudu",7,TRUE,FALSE,NA,NA,"https://twitter.com/Mahesh_bhaktudu"
"7","RT @WittyScoop: FlashBack: #MaheshBabu [@urstrulyMahesh] and #PrakashRaj on the sets of #Khaleja http://t.co/WQZ10onYYy",FALSE,0,NA,2015-01-20 02:36:13,FALSE,NA,"557365953600557058",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ShivaVedati",3,TRUE,FALSE,NA,NA,"https://twitter.com/ShivaVedati"
"8","RT @mvpratap: #maheshbabu  mania @UshaVavveti @Mahesh_bhaktudu http://t.co/vVVqieGU4v",FALSE,0,NA,2015-01-20 02:14:49,FALSE,NA,"557360567602540545",NA,"<a href=""https://twitter.com/download/android"" rel=""nofollow"">Twitter for Android Tablets</a>","sai_crlover",7,TRUE,FALSE,NA,NA,"https://twitter.com/sai_crlover"
"9","RT @GangadharMuta79: Superstar @urstrulyMahesh #Athadu #maheshbabu #Trivikram http://t.co/41eTljur70",FALSE,0,NA,2015-01-20 01:46:44,FALSE,NA,"557353499260747777",NA,"<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for Windows Phone</a>","cute_aishwarya",1,TRUE,FALSE,NA,NA,"https://twitter.com/cute_aishwarya"
"10","RT @GangadharMuta79: Prince Super Star @urstrulyMahesh #Aagadu  #maheshbabu @14reelsofficial http://t.co/RcrqjETmWC",FALSE,0,NA,2015-01-20 01:44:43,FALSE,NA,"557352993540960256",NA,"<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for Windows Phone</a>","cute_aishwarya",1,TRUE,FALSE,NA,NA,"https://twitter.com/cute_aishwarya"
"11","RT @GangadharMuta79: Prince Super Star @urstrulyMahesh Heart Killimg Looks #maheshbabu http://t.co/y8zkhx2Oc3",FALSE,0,NA,2015-01-20 01:44:38,FALSE,NA,"557352971546017792",NA,"<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for Windows Phone</a>","cute_aishwarya",1,TRUE,FALSE,NA,NA,"https://twitter.com/cute_aishwarya"
"12","RT @mvpratap: #maheshbabu  mania @UshaVavveti @Mahesh_bhaktudu http://t.co/vVVqieGU4v",FALSE,0,NA,2015-01-20 01:25:06,FALSE,NA,"557348057356857344",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","just4_funnn",7,TRUE,FALSE,NA,NA,"https://twitter.com/just4_funnn"
"13","FB  Cv And DP Updated
Twitter DP Updated
@urstrulyMahesh  ‚ù§Ô∏è Ì†ΩÌ±å #MaheshBabu ‚ù§Ô∏è http://t.co/GIVxEhEggq",FALSE,0,NA,2015-01-20 00:13:05,FALSE,NA,"557329933869936640",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","GangadharMuta79",0,FALSE,FALSE,NA,NA,"https://twitter.com/GangadharMuta79"
"14","Young Hero Decided To Handle #Maheshbabu Property: http://t.co/8PAgsYRkNU via @httpstwittercomMaruthiTalkies",FALSE,0,NA,2015-01-19 20:25:25,FALSE,NA,"557272639828267008",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","MaruthiTalkies",0,FALSE,FALSE,NA,NA,"https://twitter.com/MaruthiTalkies"
"15","Prince Super Star @urstrulyMahesh in My Fav Colour Blue Shirt :D
#maheshbabu http://t.co/FYbumNSoRM",FALSE,0,NA,2015-01-19 20:24:32,FALSE,NA,"557272417114935296",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","GangadharMuta79",0,FALSE,FALSE,NA,NA,"https://twitter.com/GangadharMuta79"
"16","Prince Super Star @urstrulyMahesh Heart Killimg Looks #maheshbabu http://t.co/y8zkhx2Oc3",FALSE,0,NA,2015-01-19 20:21:15,FALSE,NA,"557271592216961024",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","GangadharMuta79",1,FALSE,FALSE,NA,NA,"https://twitter.com/GangadharMuta79"
"17","Prince Super Star @urstrulyMahesh #Aagadu  #maheshbabu @14reelsofficial http://t.co/RcrqjETmWC",FALSE,0,NA,2015-01-19 20:04:23,FALSE,NA,"557267346998300672",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","GangadharMuta79",1,FALSE,FALSE,NA,NA,"https://twitter.com/GangadharMuta79"
"18","Prince Superstar @urstrulyMahesh #1Nenokkadine #maheshbabu @14reelsofficial http://t.co/VIGFxk2d3k",FALSE,0,NA,2015-01-19 20:00:07,FALSE,NA,"557266271352262657",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","GangadharMuta79",0,FALSE,FALSE,NA,NA,"https://twitter.com/GangadharMuta79"
