"","analysis_score","analysis_text"
"1",0,"@Trivikram_Fans @urstrulyMahesh #MaheshBabu tho fix aipoindhi ga !!!"
"2",0,"#Maheshbabu's next confirmed ---&gt; http://t.co/K8Io46MO44 http://t.co/W1f7YvVmYS"
"3",-1,"RT @mvpratap: #maheshbabu  mania @UshaVavveti @Mahesh_bhaktudu http://t.co/vVVqieGU4v"
"4",0,"@urstrulyMaheshâs Title Goes To Him! - http://t.co/moQO1z2y4H RT @MaheshBabu_FC @MAHESHNAMRATHA @MaheshBabuFacts @RAMaddicts @RamFansAssoc"
"5",-1,"RT @satyaaprince: #maheshbabu  mania @UshaVavveti @Mahesh_bhaktudu http://t.co/eILxHXmChu"
"6",-1,"RT @mvpratap: #maheshbabu  mania @UshaVavveti @Mahesh_bhaktudu http://t.co/vVVqieGU4v"
"7",0,"RT @WittyScoop: FlashBack: #MaheshBabu [@urstrulyMahesh] and #PrakashRaj on the sets of #Khaleja http://t.co/WQZ10onYYy"
"8",-1,"RT @mvpratap: #maheshbabu  mania @UshaVavveti @Mahesh_bhaktudu http://t.co/vVVqieGU4v"
"9",0,"RT @GangadharMuta79: Superstar @urstrulyMahesh #Athadu #maheshbabu #Trivikram http://t.co/41eTljur70"
"10",0,"RT @GangadharMuta79: Prince Super Star @urstrulyMahesh #Aagadu  #maheshbabu @14reelsofficial http://t.co/RcrqjETmWC"
"11",0,"RT @GangadharMuta79: Prince Super Star @urstrulyMahesh Heart Killimg Looks #maheshbabu http://t.co/y8zkhx2Oc3"
"12",-1,"RT @mvpratap: #maheshbabu  mania @UshaVavveti @Mahesh_bhaktudu http://t.co/vVVqieGU4v"
"13",0,"FB  Cv And DP Updated
Twitter DP Updated
@urstrulyMahesh  â¤ï¸ í ½í± #MaheshBabu â¤ï¸ http://t.co/GIVxEhEggq"
"14",0,"Young Hero Decided To Handle #Maheshbabu Property: http://t.co/8PAgsYRkNU via @httpstwittercomMaruthiTalkies"
"15",0,"Prince Super Star @urstrulyMahesh in My Fav Colour Blue Shirt :D
#maheshbabu http://t.co/FYbumNSoRM"
"16",0,"Prince Super Star @urstrulyMahesh Heart Killimg Looks #maheshbabu http://t.co/y8zkhx2Oc3"
"17",0,"Prince Super Star @urstrulyMahesh #Aagadu  #maheshbabu @14reelsofficial http://t.co/RcrqjETmWC"
"18",0,"Prince Superstar @urstrulyMahesh #1Nenokkadine #maheshbabu @14reelsofficial http://t.co/VIGFxk2d3k"
"19",0,"@MythriOfficial @sivakoratala  #Shamna_Kasim - #Poorna about Superstar @urstrulyMahesh #Mahesh21 
#maheshbabu http://t.co/pLUMm0rBia"
"20",1,"@urstrulyMahesh reached 1.1 million tweet hearts proud to be ur fan sir @MaheshBabu_FC"
"21",0,"Superstar @urstrulyMahesh #Athadu #maheshbabu #Trivikram http://t.co/41eTljur70"
"22",0,"â@MaheshBabu_FC: Poorna @shamna_kasim about Superstar @urstrulyMahesh and @sivakoratala's #Mahesh21 http://t.co/p1oM3d9JeMâ"
"23",-1,"RT @mvpratap: #maheshbabu  mania @UshaVavveti @Mahesh_bhaktudu http://t.co/vVVqieGU4v"
"24",-1,"#maheshbabu  mania @UshaVavveti @Mahesh_bhaktudu http://t.co/eILxHXmChu"
"25",-1,"RT @mvpratap: #maheshbabu  mania @UshaVavveti @Mahesh_bhaktudu http://t.co/vVVqieGU4v"
"26",-1,"RT @mvpratap: #maheshbabu  mania @UshaVavveti @Mahesh_bhaktudu http://t.co/vVVqieGU4v"
"27",-1,"#maheshbabu  mania @UshaVavveti @Mahesh_bhaktudu http://t.co/vVVqieGU4v"
"28",0,"RT @_vsri: F-Akthar about MaheshBabu http://t.co/w0NaxvIxk9"
"29",0,"RT @_vsri: F-Akthar about MaheshBabu http://t.co/w0NaxvIxk9"
"30",0,"RT @WittyScoop: FlashBack: #MaheshBabu [@urstrulyMahesh] and #PrakashRaj on the sets of #Khaleja http://t.co/WQZ10onYYy"
"31",0,"RT @BollywoodH: Superstars #MaheshBabu &amp; #Rajinikath to team up for #SrikanthAddala's '#Brahmotsavam'? http://t.co/1XsmFARTaN http://t.co/Iâ¦"
"32",0,"RT @_vsri: F-Akthar about MaheshBabu http://t.co/w0NaxvIxk9"
"33",0,"RT @Prashanth_MBfan: Hello @MaheshBabu_FC , @urstrulyMahesh Reached 1.1M Followers http://t.co/cgXm4S3tOa"
"34",0,"RT @_vsri: F-Akthar about MaheshBabu http://t.co/w0NaxvIxk9"
"35",0,"F-Akthar about MaheshBabu http://t.co/w0NaxvIxk9"
"36",0,"Hello @MaheshBabu_FC , @urstrulyMahesh Reached 1.1M Followers http://t.co/cgXm4S3tOa"
"37",0,"Ram gets #MaheshBabu film''s title #TeluguPeople http://t.co/bsoIaxZ82p http://t.co/3fBD2xSzLt"
"38",1,"@MaheshBabu_FC @urstrulyMahesh cool"
"39",0,"RT @MaheshUniverse: .@urstrulyMahesh Not only A Superstar In Movies.. But Also A Superstar At Heart í ½í¸  #MaheshBabu http://t.co/FkL9Ff3lI2"
