"","word","freq"
"maheshbabu","maheshbabu",485
"movie","movie",228
"nenokkadine","nenokkadine",127
"actor","actor",94
"superstar","superstar",94
"can","can",86
"prince","prince",85
"one","one",70
"film","film",69
"mahesh","mahesh",62
"intense","intense",60
"malayalam","malayalam",59
"play","play",59
"saw","saw",59
"batman","batman",58
"feb","feb",58
"itselfhe","itselfhe",58
"joker","joker",58
"release","release",58
"roles","roles",58
"versionnowill","versionnowill",56
"ü¾™†”¼ü¾Œ†„¼ü¾™†ˆ¼ü¾™†”¼ü¾Ž†ˆ¼ü¾™ƒ ¼","ü¾™†”¼ü¾Œ†„¼ü¾™†ˆ¼ü¾™†”¼ü¾Ž†ˆ¼ü¾™ƒ ¼",55
"telugu","telugu",54
"like","like",52
"movies","movies",52
"just","just",49
"dubbed","dubbed",46
"well","well",46
"fan","fan",45
"hai","hai",45
"hindi","hindi",41
"starring","starring",41
"watch","watch",39
"say","say",37
"babu","babu",34
"premiere","premiere",34
"ekkadum","ekkadum",33
"sensational","sensational",33
"super","super",33
"aagadu","aagadu",31
"aagadusankranti","aagadusankranti",31
"hollywood","hollywood",31
"bollwood","bollwood",30
"dena","dena",30
"kick","kick",30
"plz","plz",30
"wali","wali",30
"whattttt","whattttt",30
"watching","watching",29
"awesome","awesome",27
"fav","fav",25
"get","get",25
"enjoy","enjoy",24
"look","look",24
"performance","performance",24
"forget","forget",23
"logic","logic",23
"magnificent","magnificent",23
"maheshbabuperforms","maheshbabuperforms",23
"spent","spent",23
"weekend","weekend",23
"will","will",23
"true","true",22
"brilliant","brilliant",21
"desirable","desirable",21
"gets","gets",21
"huge","huge",21
"superstars","superstars",21
"anybody","anybody",20
"ask","ask",20
"businessman","businessman",20
"chalti","chalti",20
"first","first",20
"follwing","follwing",20
"jiski","jiski",20
"kehlata","kehlata",20
"maheshbabus","maheshbabus",20
"pls","pls",20
"really","really",20
"thats","thats",20
"try","try",20
"wahi","wahi",20
"also","also",19
"becomes","becomes",19
"hero","hero",19
"ing","ing",19
"itstrue","itstrue",19
"kingmaheshbabu","kingmaheshbabu",19
"paw","paw",19
"ppl","ppl",19
"rajamouli","rajamouli",19
"south","south",19
"tamannaahtodaypm","tamannaahtodaypm",19
"tamil","tamil",19
"team","team",19
"brahmotsavam","brahmotsavam",18
"bro","bro",18
"indian","indian",18
"many","many",18
"dnt","dnt",17
"heart","heart",17
"ü¾™†”¼ü¾Œ†„¼ü¾™†ˆ¼ü¾™†”¼ü¾Ž†ˆ¼ü¾˜“ ¼maheshbabu","ü¾™†”¼ü¾Œ†„¼ü¾™†ˆ¼ü¾™†”¼ü¾Ž†ˆ¼ü¾˜“ ¼maheshbabu",17
"next","next",17
"oneyearfornenokkadine","oneyearfornenokkadine",17
"pawankalyan","pawankalyan",17
"theirstudies","theirstudies",17
"themmy","themmy",17
"times","times",17
"tweet","tweet",17
"went","went",17
"maheshbaburajinikath","maheshbaburajinikath",16
"scene","scene",16
"srikanthaddalas","srikanthaddalas",16
"srimanthudu","srimanthudu",16
"twitter","twitter",16
"wow","wow",16
"actions","actions",15
"baba","baba",15
"craze","craze",15
"hashtagmaheshbabu","hashtagmaheshbabu",15
"hours","hours",15
"infew","infew",15
"tamannaah","tamannaah",15
"ü¾™†”¼ü¾Œ†„¼ü¾™†ˆ¼ü¾™†”¼ü¾Œ–ˆ¼ü¾˜³ ¼","ü¾™†”¼ü¾Œ†„¼ü¾™†ˆ¼ü¾™†”¼ü¾Œ–ˆ¼ü¾˜³ ¼",14
"dicaprio","dicaprio",14
"dicaprionope","dicaprionope",14
"exhibition","exhibition",14
"hollywoods","hollywoods",14
"indias","indias",14
"khaleja","khaleja",14
"mass","mass",14
"meanwhile","meanwhile",14
"nampally","nampally",14
"never","never",14
"opening","opening",14
"played","played",14
"powe","powe",14
"stall","stall",14
"sonusood","sonusood",13
"dont","dont",12
"ntr","ntr",12
"today","today",12
"voted","voted",12
"fans","fans",11
"news","news",11
"superstaraagadu","superstaraagadu",11
"cross","cross",10
"full","full",10
"maheshbabumania","maheshbabumania",10
"song","song",10
"vote","vote",10
"attitude","attitude",9
"big","big",9
"favourites","favourites",9
"favouritesmaheshbabu","favouritesmaheshbabu",9
"great","great",9
"lasttweet","lasttweet",9
"lasttweets","lasttweets",9
"massthe","massthe",9
"prabhas","prabhas",9
"total","total",9
"asked","asked",8
"gemini","gemini",8
"happy","happy",8
"jigarkhaleja","jigarkhaleja",8
"king","king",8
"know","know",8
"lakh","lakh",8
"said","said",8
"views","views",8
"ü¾™†”¼ü¾Œ†„¼ü¾™†ˆ¼ü¾™†”¼ü¾Ž–ˆ¼ü¾˜“ ¼","ü¾™†”¼ü¾Œ†„¼ü¾™†ˆ¼ü¾™†”¼ü¾Ž–ˆ¼ü¾˜“ ¼",7
"anyone","anyone",7
"blockbuster","blockbuster",7
"cards","cards",7
"click","click",7
"cool","cool",7
"link","link",7
"maheshs","maheshs",7
"okkadu","okkadu",7
"remake","remake",7
"school","school",7
"show","show",7
"superstarnenokkadine","superstarnenokkadine",7
"thanks","thanks",7
"tollywood","tollywood",7
"trivikram","trivikram",7
"waiting","waiting",7
"aap","aap",6
"acting","acting",6
"actors","actors",6
