"","ti","age","id","au","ve","nC","nP","nR","at","msg","path"
"1",2015-01-20 05:09:08,0.0283394811909508,"z122xx5pnojcifx2m22tg5sgcvyrs3lax04","106377197669489580845","post",0,0,0,"article","US wants only its snipers on building rooftops, India says ‘no’http://timesofindia.indiatimes.com/india/US-wants-only-its-snipers-on-building-rooftops-India-says-no/articleshow/45944465.cms#Obama #VisitToIndia#SynergiaFoundation﻿","https://plus.google.com/106377197669489580845"
"2",2015-01-20 05:07:28,0.0295050229187365,"z121fp15zqvgw3a2j231uzxw1zj3tf04b04","100960950416413041271","post",0,0,0,NA,"NU ArTiKle (How Obama Might Address the State of His Party) S bN pUbLISh&#39; N www.tehgeekjournal.com #BarackObama, #Congress, #DemocraticParty, #Obama #Geek #Nerd #Gamer﻿","https://plus.google.com/100960950416413041271"
"3",2015-01-20 05:04:10,0.031798306333798,"z12jdzxqxrnyg1wr004cgtvw2sruz355tng0k","115943908899502847069","share",0,1,0,"photo","Fresh input of LeT attack during Barack Obama’s India visithttp://www.deccanchronicle.com/150120/nation-current-affairs/article/fresh-input-let-attack-during-barack-obama%E2%80%99s-india-visit #LeT   #narendramodi   #obama   #obamavisit  ﻿","https://plus.google.com/115943908899502847069"
"4",2015-01-20 04:57:12,0.0366340228997999,"z13vtvwiysvdidy4j04cfrgboyyad3syfts0k","109196261420645039875","post",0,0,0,"photo","#WASHINGTON — The #House voted Wednesday to block funding for #President #Obama&#39;s #executive #order to #protect about 4 million #undocumented #immigrants from being deported and allow them to #work #legally in the #USA.﻿","https://plus.google.com/109196261420645039875"
"5",2015-01-20 04:51:52,0.0403382982341228,"z12vu3ezwmjpyxnkz23bgx1oxkehjny0v","108090860314779318931","post",0,1,1,"photo","Fresh input of LeT attack during Barack Obama’s India visithttp://www.deccanchronicle.com/150120/nation-current-affairs/article/fresh-input-let-attack-during-barack-obama%E2%80%99s-india-visit #LeT   #narendramodi   #obama   #obamavisit  ﻿","https://plus.google.com/108090860314779318931"
"6",2015-01-20 04:02:21,0.0747274009938593,"z12lulqycmevy5d4a04cipwg3yetjj1gd50","104635521318850348838","post",0,0,0,"photo","Senators think they can override an #Obama #Veto on #Iran - http://hotpage.info/#91173﻿","https://plus.google.com/104635521318850348838"
"7",2015-01-20 03:48:49,0.0841165632837348,"z13nw1zrfzimtrixz04cipwg3yetjj1gd50","104635521318850348838","post",0,0,0,NA,"#Illegal #immigrant #Obama &#39;s guest at #StateOfTheUnion  - #SOTU http://hotpage.info/#91186﻿","https://plus.google.com/104635521318850348838"
"8",2015-01-16 22:56:37,3.28703192094686,"z12nv1qrxprtydh2t23sjp0jskqgs1hhc04","100076849412784759380","post",0,0,0,"article","Thar&#39;s dunben a nu artikle put ahn Redneck Reality Check callt  (Top 5 Things We Learned From the Medal of Freedom Ceremony). Pleece beya visitin&#39; www.redneckrealitycheck.com fer moe. #CivilianHonor, #Obama, #PresidentObama, #StevieWonder, #WhiteHouse  Presdint Obamie today honeret 19 impressif&#39; individuals wit t&#39;nashun’s highest civiliun honer. At t&#39;annual Medal o&#39;Freedum ceremony at t&#39;White Trayler, t&#39;presdint heepet praise un t&#39;recipyints, highlightyun&#39; thar distinguishet an&#39; variet accomplishmants. He also reveeld sum innerestin a...﻿","https://plus.google.com/100076849412784759380"
"9",2015-01-16 22:40:12,3.29843607626028,"z12cxr2jppuothxut22ystf45rbxtd2as04","115500136957500070866","post",0,0,0,"article","#IndianapolisNews | #Obama releases 5 more #Gitmo prisoners to next door #Oman http://ow.ly/HpCPq﻿","https://plus.google.com/115500136957500070866"
"10",2015-01-16 22:30:27,3.30520390862944,"z13ohzag3tjwirgip04ccpk5rurlgt45cnk0k","104265260641576028390","post",0,0,0,"article","#NewHavenNews | #Obama releases 5 more #Gitmo prisoners to next door #Oman http://ow.ly/HpGhw﻿","https://plus.google.com/104265260641576028390"
"11",2015-01-16 22:10:09,3.31930309641416,"z13bcjpqypbeufo5304cgtzq4omktr0yazs0k","107352475500083942168","post",0,0,0,"article","#WestchesterNews | #Obama releases 5 more #Gitmo prisoners to next door #Oman http://ow.ly/Hpzrp﻿","https://plus.google.com/107352475500083942168"
"12",2015-01-16 22:00:45,3.32583234305459,"z12df1ixwkv5udghq04cfrnpdlu1t3aasg4","104488329870182342297","post",0,0,0,"article","#VirginiaBeachNews | #Obama releases 5 more #Gitmo prisoners to next door #Oman http://ow.ly/HpJ1G﻿","https://plus.google.com/104488329870182342297"
"13",2015-01-16 20:59:41,3.36824364965161,"z12ecpnakobotpjpf04cibvxowngy5tremc0k","117153704594120768033","share",0,0,0,"photo","Image by Clay Bennett #gop   #obama   #republicans   #teabagger   #teaparty   #conservatives  ﻿","https://plus.google.com/117153704594120768033"
"14",2015-01-16 19:40:18,3.42337152196853,"z13tuz4qfovpizqp204cdropwvb2idhoc0w","106190774978441798316","post",0,0,0,"article","A new story &quot;House approves $1.1 trillion spending bill&quot; has been published on www.PatriotRadioNetwork.com#GovernmentOffices, #GovernmentShutdown, #Obama, #ObamaWhiteHouse, #Republicans, #SpendingBill﻿","https://plus.google.com/106190774978441798316"
"15",2015-01-16 19:40:13,3.42342698306949,"z12rib3potmnzx1mi22vitnbbwr0h5ay104","105915606148075294786","post",0,0,0,"article","A new post (Obama On Mitt 2016: &quot;No Comment&quot;) has been published on www.dailybrian.comhttp://brbr.me/1ylrLHl #MittRomney, #Obama, #PresidentObama, #PrimeMinisterDavidCameron, #SecretaryJoshEarnest, #WhiteHouse 	WASHINGTON — President Obama may be the only Democrat in town not ready to wax endlessly about the idea of Mitt Romney running for the Republican presidential nomination again.Obama beat Romney in 2012 and the two had lunch at the White House shortly thereafter. Last week, White House Press S... Political News﻿","https://plus.google.com/105915606148075294786"
"16",2015-01-16 19:23:44,3.43487478322177,"z13rhtcxvyzbz5nte22sy52ptwvezry1y","111276473740430561485","share",0,0,0,"article"," #obama    #care   or  #obummer    #care   ! read more :join us @  http://www.newslobby.net/﻿","https://plus.google.com/111276473740430561485"
"17",2015-01-16 19:19:12,3.43802083808239,"z12lhtyrmsvmztfnv22sy52ptwvezry1y","111276473740430561485","share",0,0,1,"article"," #obama    #care   or  #obummer    #care   ! read more :join us @  http://www.newslobby.net/﻿","https://plus.google.com/111276473740430561485"
