"","score","text","path"
"1",-1,"Flashback: #Republicans predicted that Obama's second term would be a failure. #foxnewsfacts í ½í¸ #WhyDidWeVoteForYou http://t.co/BHvqFpETiB","https://twitter.com/Dylan_Kenney"
"4",-1,"Cybersecurity experts find fixes offered by Obama falling short http://t.co/1CnPcN5moH #HAN","https://twitter.com/HackAlertNews"
"5",-1,"Cybersecurity experts find fixes offered by Obama falling short - Pittsburgh Post Gazette http://t.co/VpcKizfndL #HAN","https://twitter.com/HackAlertNews"
"7",-2,"Security alerts with IB report on terror threat during Obama visit: http://t.co/0HSm0F9ovT via @YouTube","https://twitter.com/daynnightnews"
"17",-1,"RT @ajam: Obama to confront GOP Congress, looming legacy in SOTU speech http://t.co/PKF69k73HQ","https://twitter.com/TylerHirsch23"
"23",-1,"â@politico: Whoâs sitting with Michelle Obama at #SOTU2015: http://t.co/rRpCSlNzyd | AP Photo http://t.co/giwTxIOAakâ Who gives a shit?","https://twitter.com/ntents"
"34",-1,"RT @Path2Enlighten: #AnInterestingParallel ~&gt;  DishTV subscribers lose FOX News for a month, Pres.Obama's poll numbers go up.","https://twitter.com/realtybird"
"43",-1,"RT @newzcard: This what MLK died for. Happy MLK Day! #BarackObama http://t.co/6kp4jbOF06","https://twitter.com/rahrtb"
"47",-1,"RT @thekiranbedi: Watching Obama-Romney debate live. Don't miss it. (Camp SFO)","https://twitter.com/charbaksubudhi"
"49",-1,"dharma-less intellects.
L Chomsky:hypocrisy of West's outrage http://t.co/6l7LqVhdON
R Sowell:Obama Paris Rebuff http://t.co/4bqwyHXHDz","https://twitter.com/IntegralUnity"
"50",-1,"RT @politico: PHOTOS: Best moments from Obama's #SOTU addresses: Ruth Bader Ginsburg falls asleep http://t.co/9jT8qtMlnR | AP Photo http://â¦","https://twitter.com/elcapitanmorgan"
"54",-1,"Obama set to face a hostile Congress, bolstered by economy: Barack Obama will face the massed ranks of Congres... http://t.co/u12W7xOGzT","https://twitter.com/PutraNegara69"
"61",-2,"@megynkelly &lt;-- Believes Obama grew up in da hood and actually tried to get a job (He didn't) and suffered the awful life as a po Black man.","https://twitter.com/BarryNMooch"
"64",-1,"Human rights plea to President Obama for Saeed Abidini #Boise http://t.co/oRgApKbRik","https://twitter.com/TheUsNewz"
"67",-1,"Obama idea of taxing the rich to give to the government is probably the stupidest idea since global warming","https://twitter.com/JoeLipham"
"76",-1,"Boehner mocks Obama college plan with Taylor Swift:","https://twitter.com/EstebanFerrerTS"
"77",-1,"Boehner mocks Obama college plan with Taylor Swift:","https://twitter.com/Niino_Rosario"
"78",-1,"Boehner mocks Obama college plan with Taylor Swift:","https://twitter.com/fresita2226"
"85",-1,"@Dark_Red_Hair How can you disagree? It's a statistical fact. Of age groups, ONLY under 30s gave majority to Obama. It's a fact.","https://twitter.com/DrKC4"
"86",-1,"Boehner mocks Obama college plan with Taylor Swift:","https://twitter.com/El_flaco_swaq"
"92",-1,"RT @mrtruthandsoul: Obama: The African Ebola outbreak, that I INHERITED from Bush--

Biden: Hey, weren't you born in Africa?

Obama: [Mr. Tâ¦","https://twitter.com/SondraDeeMe"
"94",-1,"RT @thekiranbedi: Watching Obama-Romney debate live. Don't miss it. (Camp SFO)","https://twitter.com/krishan_75"
"97",-1,"@JDelaneyforMD &amp; Obama pushing 4 #moneylaundering vehicle aka infrastructure act grant $70-$100bil tax break for corp http://t.co/loY5ByEVei","https://twitter.com/TanziStrafford"
"101",-1,"RT @AnnaWaite3: Everyone is freaking out that Obama is gunna be in Idaho on Wednesday. Sorry but I'd rather be in the same stadium as Beyonâ¦","https://twitter.com/KellieTurner"
"104",-3,"RT @hiltzikm: Republicans will try to paint Obama's tax plan as an attack on the middle class--but they're dead wrong http://t.co/J8U5KCGJ8x","https://twitter.com/gilmored85"
"105",-1,"RT @DineshDSouza: AN INTERESTING PARALLEL: MLK was targeted by J. Edgar Hoover, an unsavory character; I was targeted by the equally unsavoâ¦","https://twitter.com/jomaxx"
"108",-1,"RT @JonahNRO: Retweet if you're already bored by Obama's State of the Union Address.","https://twitter.com/elliemae0404"
"109",-1,"Can Obama break the nuclear ice with India? http://t.co/wKhWgKXIH2 http://t.co/PzcFkVvAw1","https://twitter.com/thaiparampil"
"116",-1,"RT @WSJ: Obama reignites tax fight. China's economic growth slowest in decades. An early look at today's front page: http://t.co/wAvkG6RGfr","https://twitter.com/Kamranito"
"121",-2,"@liberty_bell76 ""If you don't like Obama, get the fuck out."" -- More self defeating, and logically fallacious crap coming from the idiot.","https://twitter.com/x0x0robinXoXo"
"132",-1,"RT @JonahNRO: Retweet if you're already bored by Obama's State of the Union Address.","https://twitter.com/Iamkellylong"
"136",-1,"RT @JoeBillScott: White House: Obama to restrict mediaâs reporting of anti-jihad articles - Liberty Unyielding http://t.co/Sok5r1TZ29 via @â¦","https://twitter.com/ChrisMWu"
"141",-1,"â@WSJ: Obama reignites tax fight. China's economic growth slowest in decades. An early look at today's front page: http://t.co/dt2CsLa6Ebâ","https://twitter.com/nviglesias"
"142",-1,"RT @activist360: I'll never forget the cloaked racism of @GOP Chair @Reince who during the 2012 election repeatedly insinuated Obama wasn'tâ¦","https://twitter.com/BlazePhoenix_"
"149",-1,"RT @newzcard: This what MLK died for. Happy MLK Day! #BarackObama http://t.co/6kp4jbOF06","https://twitter.com/jefflthomsnop"
"157",-1,"RT @steveswerdlow: Tonight Obama will face the nation, but will he do what needs to be done and seek accountability for torture by the CIA?â¦","https://twitter.com/dayoogundeji"
"166",-1,"Boehner mocks Obama college plan with Taylor Swift:","https://twitter.com/_hajmie"
"168",-1,"RT @WSJ: Obama reignites tax fight. China's economic growth slowest in decades. An early look at today's front page: http://t.co/wAvkG6RGfr","https://twitter.com/Ngeikevv"
"179",-1,"RT @Jami_USA: If the last six years have taught us anything it's that what Obama says at the #SOTU doesn't matter anyway. Lies &amp; tyranny. #â¦","https://twitter.com/f77a9c24c7f9451"
"185",-1,"RT @Setarehgan: Boehner brushes off Obama veto threat #Iran #IranTalks #Syria #Iraq #Jordan #Saudi #USA #UK #irantalksvienna #CNN http://t.â¦","https://twitter.com/ahmadjannesar1"
