"","score","text","path"
"8",1,"I liked a @YouTube video from @davidpakmanshow http://t.co/1ff9IR0xpT Obama to Propose Tax Hikes on Rich, Tax Breaks for Middle Class","https://twitter.com/AshitakaWolf"
"10",1,"RT @RapFavorites: One of them is the most important man in the United States, the other is Barack Obama. http://t.co/EVVVXUrLBo","https://twitter.com/ThaliaFufa"
"15",1,"I'll pay for you all to go see Obama if you promise to shut up","https://twitter.com/SydMEvs"
"19",1,"RT @EconomicTimes: #US may help build 3 smart cities in India http://t.co/1s5KHwNVvR  | Blog: Expectations from #Obama http://t.co/2qo04G0hâ¦","https://twitter.com/ChadaramSivaji"
"21",1,"RT @TheVictoryTour: Dear President Obama, could you complete one last task before you're done? Some affordable Dental Care would be a greatâ¦","https://twitter.com/CMarPA"
"27",1,"@SanjayAzadSln Nt intending 2 replicate Obama vs Romney in Delhi? U turns started already. In right party I guess. http://t.co/SXVaI6uw9K","https://twitter.com/hvkal"
"28",3,"Hey, if you could sign this petition that would be super cool, and I will love you forever. Please. http://t.co/HKa74wtoUG","https://twitter.com/SadAndHellaRad"
"36",1,"RT @CloydRivers: Obama voters are like Christmas lights. They all hang together, half of them donât work and the ones that do ainât very brâ¦","https://twitter.com/tim_wiggins4"
"39",3,"@Godwetrust777 @GotNewsDotCom Just like Jeb, let's bet Rubio or Cruz will make amnesty ""secret promise"" like obama to get hispanics votes!","https://twitter.com/sergepamphile"
"41",1,"RT @BarackObama: Get ready: In the State of the Union, President Obama will outline policies to help middle-class families. http://t.co/dn5â¦","https://twitter.com/CinnaRahmani"
"52",1,"Obama shows mixed results in delivering on State of the Union promises |  http://t.co/cBElG8onBN","https://twitter.com/0ebd443ffb35418"
"59",1,"#FLUSH THE #TPP #Corporations have more than enough #POWER #NOTPP #NOGMO #NOKXL #cdnpoli #oBAMA #nsa http://t.co/111beycqxp","https://twitter.com/CDHill9"
"63",1,"Obama's approval rating is back at 50%..yes we can :)","https://twitter.com/ozgeozturk"
"80",2,"RT @JonDonnison: Oh dear rt @RaniaKhalek: Ex-Navy SEAL and proud Obama supporter on ""American Sniper"" https://t.co/KgN0uV3HE8 http://t.co/4â¦","https://twitter.com/mami_mermelada"
"81",1,"RT @darrylmcclain: Daily Kos Obama's approval rating spikes before State of the Union http://t.co/QaaJR2IhpS","https://twitter.com/fericisyhut"
"87",1,"RT @PMgeezer: Hey Barack Obama -  Let's put our Veterans to WORK before adding millions of illegals to our work force! 
#SOT #VA  
http://tâ¦","https://twitter.com/Kpdblu101"
"93",1,"@ibrahemshawky @IndecisiveNigga @vallbecerra don't forget to wish Barak Denzel Obama Washington a happy g-day http://t.co/GFURRD8361","https://twitter.com/papa__swag"
