"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","path"
"1","Flashback: #Republicans predicted that Obama's second term would be a failure. #foxnewsfacts Ì†ΩÌ∏Ç #WhyDidWeVoteForYou http://t.co/BHvqFpETiB",FALSE,0,NA,2015-01-20 05:49:25,FALSE,NA,"557414576451756032",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Dylan_Kenney",0,FALSE,FALSE,NA,NA,"https://twitter.com/Dylan_Kenney"
"2","Spoiler alert: State of the Union to address themes Obama has released http://t.co/4qb7rSTh3n #HAN",FALSE,0,NA,2015-01-20 05:49:25,FALSE,NA,"557414575621300224",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","HackAlertNews",0,FALSE,FALSE,NA,NA,"https://twitter.com/HackAlertNews"
"3","RT @ComplexMag: Obama held a White House screening of ""Selma"" with David Oyelowo, Oprah, and Common in attendance.  http://t.co/QTtAJEoDBB",FALSE,0,NA,2015-01-20 05:49:25,FALSE,NA,"557414575050858497",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","LRose4Pres",72,TRUE,FALSE,NA,NA,"https://twitter.com/LRose4Pres"
"4","Cybersecurity experts find fixes offered by Obama falling short http://t.co/1CnPcN5moH #HAN",FALSE,0,NA,2015-01-20 05:49:25,FALSE,NA,"557414574346219520",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","HackAlertNews",0,FALSE,FALSE,NA,NA,"https://twitter.com/HackAlertNews"
"5","Cybersecurity experts find fixes offered by Obama falling short - Pittsburgh Post Gazette http://t.co/VpcKizfndL #HAN",FALSE,0,NA,2015-01-20 05:49:25,FALSE,NA,"557414573041790976",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","HackAlertNews",0,FALSE,FALSE,NA,NA,"https://twitter.com/HackAlertNews"
"6","Najib tees off with Obama in Hawaii - Malaysiakini (subscription)",FALSE,0,NA,2015-01-20 05:49:25,FALSE,NA,"557414572639129600",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","anneopoz",0,FALSE,FALSE,NA,NA,"https://twitter.com/anneopoz"
"7","Security alerts with IB report on terror threat during Obama visit: http://t.co/0HSm0F9ovT via @YouTube",FALSE,0,NA,2015-01-20 05:49:24,FALSE,NA,"557414571820843008",NA,"<a href=""http://www.google.com/"" rel=""nofollow"">Google</a>","daynnightnews",0,FALSE,FALSE,NA,NA,"https://twitter.com/daynnightnews"
"8","I liked a @YouTube video from @davidpakmanshow http://t.co/1ff9IR0xpT Obama to Propose Tax Hikes on Rich, Tax Breaks for Middle Class",FALSE,0,NA,2015-01-20 05:49:24,FALSE,NA,"557414569933426689",NA,"<a href=""http://www.google.com/"" rel=""nofollow"">Google</a>","AshitakaWolf",0,FALSE,FALSE,NA,NA,"https://twitter.com/AshitakaWolf"
"9","RT @NBTDilli: For the first time, all roads to Rajpath in the heart of Delhi have been shut down a week before 26 Jan for President Obama.",FALSE,0,NA,2015-01-20 05:49:24,FALSE,NA,"557414568452833280",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RajeshChoudhari",12,TRUE,FALSE,NA,NA,"https://twitter.com/RajeshChoudhari"
"10","RT @RapFavorites: One of them is the most important man in the United States, the other is Barack Obama. http://t.co/EVVVXUrLBo",FALSE,0,NA,2015-01-20 05:49:23,FALSE,NA,"557414566552821762",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ThaliaFufa",1606,TRUE,FALSE,NA,NA,"https://twitter.com/ThaliaFufa"
"11","RT @thekiranbedi: Imagine a debate between Sonia G vs Gadkari? As leaders of two main political parties on lines of Obama vs Romney current‚Ä¶",FALSE,0,NA,2015-01-20 05:49:21,FALSE,NA,"557414559799992321",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ajinkyasaoji",288,TRUE,FALSE,NA,NA,"https://twitter.com/ajinkyasaoji"
"12","Here's Obama's Oct 2, 2002 speech against the NSA was a few weeks, is he too young for an iPad?",FALSE,0,NA,2015-01-20 05:49:21,FALSE,NA,"557414558361739264",NA,"<a href=""http://ryanjdavis.tumblr.com"" rel=""nofollow"">RyanNewYork Ebooks</a>","ryannyc_ebooks",0,FALSE,FALSE,NA,NA,"https://twitter.com/ryannyc_ebooks"
"13","@Dan_Gray_ Bet you have Health Care because of President Obama so STFU",FALSE,0,"Dan_Gray_",2015-01-20 05:49:20,FALSE,"557411515720953862","557414552196108288","1869664320","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","StCyrlyMe2",0,FALSE,FALSE,"0","0","https://twitter.com/StCyrlyMe2"
"14","Too little too late? Obama‚Äôs address: Words and figures to watch http://t.co/nvC8ifaLUm #rt",FALSE,0,NA,2015-01-20 05:49:18,FALSE,NA,"557414546910879744",NA,"<a href=""http://gmnreport.com"" rel=""nofollow"">GMN Report</a>","GMNnews",0,FALSE,FALSE,NA,NA,"https://twitter.com/GMNnews"
"15","I'll pay for you all to go see Obama if you promise to shut up",FALSE,0,NA,2015-01-20 05:49:17,FALSE,NA,"557414542742151168",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","SydMEvs",0,FALSE,FALSE,NA,NA,"https://twitter.com/SydMEvs"
"16","RT @RealJamesWoods: Michael Moore is doing for AMERICAN SNIPER what Obama did for gun sales...",FALSE,0,NA,2015-01-20 05:49:17,FALSE,NA,"557414539541872641",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Jimbobbarley",116,TRUE,FALSE,NA,NA,"https://twitter.com/Jimbobbarley"
"17","RT @ajam: Obama to confront GOP Congress, looming legacy in SOTU speech http://t.co/PKF69k73HQ",FALSE,0,NA,2015-01-20 05:49:15,FALSE,NA,"557414532000137217",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","TylerHirsch23",11,TRUE,FALSE,NA,NA,"https://twitter.com/TylerHirsch23"
"18","RT @RealJamesWoods: Michael Moore is doing for AMERICAN SNIPER what Obama did for gun sales...",FALSE,0,NA,2015-01-20 05:49:15,FALSE,NA,"557414531949817856",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","KAISERHRE",116,TRUE,FALSE,NA,NA,"https://twitter.com/KAISERHRE"
"19","RT @EconomicTimes: #US may help build 3 smart cities in India http://t.co/1s5KHwNVvR  | Blog: Expectations from #Obama http://t.co/2qo04G0h‚Ä¶",FALSE,0,NA,2015-01-20 05:49:15,FALSE,NA,"557414531232591872",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ChadaramSivaji",20,TRUE,FALSE,NA,NA,"https://twitter.com/ChadaramSivaji"
"20","RT @samir: Exclusive: Advance copy of President Obama‚Äôs State of the Union address http://t.co/cXYATCqrlk",FALSE,0,NA,2015-01-20 05:49:13,FALSE,NA,"557414525339975680",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Tori_Gonzalez_",47,TRUE,FALSE,NA,NA,"https://twitter.com/Tori_Gonzalez_"
"21","RT @TheVictoryTour: Dear President Obama, could you complete one last task before you're done? Some affordable Dental Care would be a great‚Ä¶",FALSE,0,NA,2015-01-20 05:49:13,FALSE,NA,"557414523729379328",NA,"<a href=""https://twitter.com/download/android"" rel=""nofollow"">Twitter for  Android</a>","CMarPA",2,TRUE,FALSE,NA,NA,"https://twitter.com/CMarPA"
"22","@ColbyAndCompany I know Ì†ΩÌ∏©Ì†ΩÌ∏©Ì†ΩÌ∏´but these damn niggers wanna thank Obama for everything Ì†ΩÌ∏≠",FALSE,0,"ColbyAndCompany",2015-01-20 05:49:12,FALSE,"557414424193933312","557414519073292288","366939894","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","QuitEspinoza",0,FALSE,FALSE,NA,NA,"https://twitter.com/QuitEspinoza"
"23","‚Äú@politico: Who‚Äôs sitting with Michelle Obama at #SOTU2015: http://t.co/rRpCSlNzyd | AP Photo http://t.co/giwTxIOAak‚Äù Who gives a shit?",FALSE,0,NA,2015-01-20 05:49:11,FALSE,NA,"557414515915390976",NA,"<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iŒüS</a>","ntents",0,FALSE,FALSE,NA,NA,"https://twitter.com/ntents"
"24","RT @nathan28423118: @Havingmysay2 i think know where Chris Bowen got that Santa Clause &amp; Magic Politics from.Obama going to Tax hikes  http‚Ä¶",FALSE,0,NA,2015-01-20 05:49:10,FALSE,NA,"557414512895082496",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Havingmysay2",1,TRUE,FALSE,NA,NA,"https://twitter.com/Havingmysay2"
"25","USA: Obama To Call For Tax Hike On The Wealthy In State Of The Union http://t.co/7amxuIXl2k",FALSE,0,NA,2015-01-20 05:49:10,FALSE,NA,"557414509682233345",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","EU_Digest",0,FALSE,FALSE,NA,NA,"https://twitter.com/EU_Digest"
"26","RT @RT_com: Too little too late? Obama‚Äôs address: Words and figures to watch http://t.co/7OgzFsjfSX http://t.co/f6dGep5h9c",FALSE,0,NA,2015-01-20 05:49:09,FALSE,NA,"557414509510266880",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ajfilipiuk",10,TRUE,FALSE,NA,NA,"https://twitter.com/ajfilipiuk"
"27","@SanjayAzadSln Nt intending 2 replicate Obama vs Romney in Delhi? U turns started already. In right party I guess. http://t.co/SXVaI6uw9K",FALSE,0,"SanjayAzadSln",2015-01-20 05:49:08,FALSE,NA,"557414503235600385","328941811","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","hvkal",0,FALSE,FALSE,NA,NA,"https://twitter.com/hvkal"
"28","Hey, if you could sign this petition that would be super cool, and I will love you forever. Please. http://t.co/HKa74wtoUG",FALSE,0,NA,2015-01-20 05:49:08,FALSE,NA,"557414501604020224",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","SadAndHellaRad",0,FALSE,FALSE,NA,NA,"https://twitter.com/SadAndHellaRad"
"29","CNN: Obama's Paris No-Show And Hitler Are Exactly The Same!  http://t.co/X4gWOfQeYr
  #cnnobamasparisnoshow #hitler",FALSE,0,NA,2015-01-20 05:49:07,FALSE,NA,"557414499712372736",NA,"<a href=""http://www.ajaymatharu.com/"" rel=""nofollow"">Tweet Old Post</a>","AmPolGossip",0,FALSE,FALSE,NA,NA,"https://twitter.com/AmPolGossip"
"30","Majority of Americans Back Obama on Cuba, Immigration ‚Äî WSJ/NBC Poll #cuba http://t.co/th0ukzXgwr",FALSE,0,NA,2015-01-20 05:49:06,FALSE,NA,"557414496365723648",NA,"<a href=""http://apitower.com/"" rel=""nofollow"">ApitTower</a>","cuba_agent",0,FALSE,FALSE,NA,NA,"https://twitter.com/cuba_agent"
"31","Fox Celebrates MLK Day By Accusing Obama Of Setting Back Rac  http://t.co/S1fPDiYY9U
  #cohostandreatantaros #obama",FALSE,0,NA,2015-01-20 05:49:06,FALSE,NA,"557414495891382273",NA,"<a href=""http://www.ajaymatharu.com/"" rel=""nofollow"">Tweet Old Post</a>","AmPolGossip",0,FALSE,FALSE,NA,NA,"https://twitter.com/AmPolGossip"
"32","RT @ChemiShalev: Obama Soars As President‚Äôs Job Approval Rating Leaps 9 Points In A Month -  http://t.co/C8985xZjN5",FALSE,0,NA,2015-01-20 05:49:05,FALSE,NA,"557414490841812993",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MaxEzzatiMD",19,TRUE,FALSE,NA,NA,"https://twitter.com/MaxEzzatiMD"
"33","RT @jendlouhyhc: Want to know what Obama said about #energy during each of his #SOTU speeches? I've got you covered: http://t.co/U7D46rHiCR",FALSE,0,NA,2015-01-20 05:49:04,FALSE,NA,"557414486601392128",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","mvrossumdc",6,TRUE,FALSE,NA,NA,"https://twitter.com/mvrossumdc"
