"","analysis_score","analysis_text"
"1",-1,"Flashback: #Republicans predicted that Obama's second term would be a failure. #foxnewsfacts í ½í¸ #WhyDidWeVoteForYou http://t.co/BHvqFpETiB"
"2",0,"Spoiler alert: State of the Union to address themes Obama has released http://t.co/4qb7rSTh3n #HAN"
"3",0,"RT @ComplexMag: Obama held a White House screening of ""Selma"" with David Oyelowo, Oprah, and Common in attendance.  http://t.co/QTtAJEoDBB"
"4",-1,"Cybersecurity experts find fixes offered by Obama falling short http://t.co/1CnPcN5moH #HAN"
"5",-1,"Cybersecurity experts find fixes offered by Obama falling short - Pittsburgh Post Gazette http://t.co/VpcKizfndL #HAN"
"6",0,"Najib tees off with Obama in Hawaii - Malaysiakini (subscription)"
"7",-2,"Security alerts with IB report on terror threat during Obama visit: http://t.co/0HSm0F9ovT via @YouTube"
"8",1,"I liked a @YouTube video from @davidpakmanshow http://t.co/1ff9IR0xpT Obama to Propose Tax Hikes on Rich, Tax Breaks for Middle Class"
"9",0,"RT @NBTDilli: For the first time, all roads to Rajpath in the heart of Delhi have been shut down a week before 26 Jan for President Obama."
"10",1,"RT @RapFavorites: One of them is the most important man in the United States, the other is Barack Obama. http://t.co/EVVVXUrLBo"
"11",0,"RT @thekiranbedi: Imagine a debate between Sonia G vs Gadkari? As leaders of two main political parties on lines of Obama vs Romney currentâ¦"
"12",0,"Here's Obama's Oct 2, 2002 speech against the NSA was a few weeks, is he too young for an iPad?"
"13",0,"@Dan_Gray_ Bet you have Health Care because of President Obama so STFU"
"14",0,"Too little too late? Obamaâs address: Words and figures to watch http://t.co/nvC8ifaLUm #rt"
"15",1,"I'll pay for you all to go see Obama if you promise to shut up"
"16",0,"RT @RealJamesWoods: Michael Moore is doing for AMERICAN SNIPER what Obama did for gun sales..."
"17",-1,"RT @ajam: Obama to confront GOP Congress, looming legacy in SOTU speech http://t.co/PKF69k73HQ"
"18",0,"RT @RealJamesWoods: Michael Moore is doing for AMERICAN SNIPER what Obama did for gun sales..."
"19",1,"RT @EconomicTimes: #US may help build 3 smart cities in India http://t.co/1s5KHwNVvR  | Blog: Expectations from #Obama http://t.co/2qo04G0hâ¦"
"20",0,"RT @samir: Exclusive: Advance copy of President Obamaâs State of the Union address http://t.co/cXYATCqrlk"
"21",1,"RT @TheVictoryTour: Dear President Obama, could you complete one last task before you're done? Some affordable Dental Care would be a greatâ¦"
"22",0,"@ColbyAndCompany I know í ½í¸©í ½í¸©í ½í¸«but these damn niggers wanna thank Obama for everything í ½í¸­"
"23",-1,"â@politico: Whoâs sitting with Michelle Obama at #SOTU2015: http://t.co/rRpCSlNzyd | AP Photo http://t.co/giwTxIOAakâ Who gives a shit?"
"24",0,"RT @nathan28423118: @Havingmysay2 i think know where Chris Bowen got that Santa Clause &amp; Magic Politics from.Obama going to Tax hikes  httpâ¦"
"25",0,"USA: Obama To Call For Tax Hike On The Wealthy In State Of The Union http://t.co/7amxuIXl2k"
"26",0,"RT @RT_com: Too little too late? Obamaâs address: Words and figures to watch http://t.co/7OgzFsjfSX http://t.co/f6dGep5h9c"
"27",1,"@SanjayAzadSln Nt intending 2 replicate Obama vs Romney in Delhi? U turns started already. In right party I guess. http://t.co/SXVaI6uw9K"
"28",3,"Hey, if you could sign this petition that would be super cool, and I will love you forever. Please. http://t.co/HKa74wtoUG"
"29",0,"CNN: Obama's Paris No-Show And Hitler Are Exactly The Same!  http://t.co/X4gWOfQeYr
  #cnnobamasparisnoshow #hitler"
"30",0,"Majority of Americans Back Obama on Cuba, Immigration â WSJ/NBC Poll #cuba http://t.co/th0ukzXgwr"
"31",0,"Fox Celebrates MLK Day By Accusing Obama Of Setting Back Rac  http://t.co/S1fPDiYY9U
  #cohostandreatantaros #obama"
"32",0,"RT @ChemiShalev: Obama Soars As Presidentâs Job Approval Rating Leaps 9 Points In A Month -  http://t.co/C8985xZjN5"
"33",0,"RT @jendlouhyhc: Want to know what Obama said about #energy during each of his #SOTU speeches? I've got you covered: http://t.co/U7D46rHiCR"
"34",-1,"RT @Path2Enlighten: #AnInterestingParallel ~&gt;  DishTV subscribers lose FOX News for a month, Pres.Obama's poll numbers go up."
"35",0,"RT @PatVPeters: Generals conclude Obama backed al-Qaida http://t.co/mNFI6gvwhz"
"36",1,"RT @CloydRivers: Obama voters are like Christmas lights. They all hang together, half of them donât work and the ones that do ainât very brâ¦"
"37",0,"RT @dangitobama: School tomorrow. THANKS OBAMA."
"38",0,"RT @BakerSpeed: @KarenMonsour12 LOL.  Let me say it then.  Obama = Mooslim Brotherhood = Isalmofacist terrorists."
"39",3,"@Godwetrust777 @GotNewsDotCom Just like Jeb, let's bet Rubio or Cruz will make amnesty ""secret promise"" like obama to get hispanics votes!"
"40",0,"RT @TooMarvelously: Ahahaha! â@RealJamesWoods: Michael Moore is doing for AMERICAN SNIPER what Obama did for gun sales...â"
"41",1,"RT @BarackObama: Get ready: In the State of the Union, President Obama will outline policies to help middle-class families. http://t.co/dn5â¦"
"42",0,"RT @RealJamesWoods: Michael Moore is doing for AMERICAN SNIPER what Obama did for gun sales..."
"43",-1,"RT @newzcard: This what MLK died for. Happy MLK Day! #BarackObama http://t.co/6kp4jbOF06"
"44",0,"@TooMarvelously @wallybert absolutely not. Erie to Obama care."
"45",0,"RT @PatVPeters: Obama Administration Undermines Muslim Reformers with Excuses for Radical Islam http://t.co/hxgKHQIAzj"
"46",0,"Obama's Social Media Team Tries to Widen Audience for State of the Union â¦ â New YorkÂ Times http://t.co/9ziND7YcyW"
"47",-1,"RT @thekiranbedi: Watching Obama-Romney debate live. Don't miss it. (Camp SFO)"
"48",0,"RT @365USA: Allen West Declares Obama An Islamist! Think America agrees? RETWEET http://t.co/I6gN87EIwX #USA #TCOT #MakeDCListen #TeaParty"
"49",-1,"dharma-less intellects.
L Chomsky:hypocrisy of West's outrage http://t.co/6l7LqVhdON
R Sowell:Obama Paris Rebuff http://t.co/4bqwyHXHDz"
"50",-1,"RT @politico: PHOTOS: Best moments from Obama's #SOTU addresses: Ruth Bader Ginsburg falls asleep http://t.co/9jT8qtMlnR | AP Photo http://â¦"
"51",0,"RT @RealJamesWoods: Michael Moore is doing for AMERICAN SNIPER what Obama did for gun sales..."
"52",1,"Obama shows mixed results in delivering on State of the Union promises |  http://t.co/cBElG8onBN"
"53",0,"RT @buell003: Ways to help @StanleyCohenLaw: Write! #FF @fr3stanleycohen! â¡ Sign: http://t.co/OPKl8VSXSO http://t.co/wd4tW5Jf51  v. @brazenâ¦"
"54",-1,"Obama set to face a hostile Congress, bolstered by economy: Barack Obama will face the massed ranks of Congres... http://t.co/u12W7xOGzT"
"55",0,"Indian security forces allalert in view of the unified command meeting ahead of Obama visit to India on R-Day http://t.co/R4x7LGxQ4H"
"56",0,"RT @RealJamesWoods: Michael Moore is doing for AMERICAN SNIPER what Obama did for gun sales..."
"57",0,"Cody Keenan, President Obama's #Hemingway: http://t.co/3zAGRVUab9. #SOTU #P2 #OFA #LGBT"
"58",0,"Example Bush had Prescription Drug Plan. Obama Affordable Health Care Act. Conservatives and Liberals are the same."
"59",1,"#FLUSH THE #TPP #Corporations have more than enough #POWER #NOTPP #NOGMO #NOKXL #cdnpoli #oBAMA #nsa http://t.co/111beycqxp"
"60",0,"â@ComplexMag: Obama held a White House screening of ""Selma"" with David Oyelowo, Oprah, and Common in attendance. í ½í²¯í ¼í·ºí ¼í·¸âï¸í ½í¹í ½í¹í ½í¹"
"61",-2,"@megynkelly &lt;-- Believes Obama grew up in da hood and actually tried to get a job (He didn't) and suffered the awful life as a po Black man."
"62",0,"RT @RealJamesWoods: Michael Moore is doing for AMERICAN SNIPER what Obama did for gun sales..."
"63",1,"Obama's approval rating is back at 50%..yes we can :)"
"64",-1,"Human rights plea to President Obama for Saeed Abidini #Boise http://t.co/oRgApKbRik"
"65",0,"Themes of Pres. Obamaâs speech under speculation #Boise http://t.co/39HbKy3dFb"
"66",0,"Tilting At Pipelines; President Obama Puts Extreme Policies Ahead of Jobs"
"67",-1,"Obama idea of taxing the rich to give to the government is probably the stupidest idea since global warming"
"68",0,"RT @WalkingSeaWater: @dhiggins63 @nickmichaels12 From Radical Islam's view Obama is ""The Great Magnificient One"". The one who is bringing Aâ¦"
"69",0,"BREAKING: ISIS HAS MUSTARD GAS! http://t.co/mcGeTYocJ2 RT #STOPIslam #TCOT #CCOT #MakeDCListen #TeaParty #Conservatives"
"70",0,"RT @RealJamesWoods: Michael Moore is doing for AMERICAN SNIPER what Obama did for gun sales..."
"71",0,"RT @dangitobama: School tomorrow. THANKS OBAMA."
"72",0,"RT @ComplexMag: Obama held a White House screening of ""Selma"" with David Oyelowo, Oprah, and Common in attendance.  http://t.co/QTtAJEoDBB"
"73",0,"RT @ComplexMag: Obama held a White House screening of ""Selma"" with David Oyelowo, Oprah, and Common in attendance.  http://t.co/QTtAJEoDBB"
"74",0,"Joey Bada$$ talks Malia Obama, Kendrick Lamar + recent passing of cousin...: http://t.co/i8026CobG8 via @YouTube"
"75",0,"#V.P.Biden Dedicates Entire MLK Speech To Police, Community Relations... http://t.co/n2zE0fJV9U http://t.co/vwaQ9AEtfO"
"76",-1,"Boehner mocks Obama college plan with Taylor Swift:"
"77",-1,"Boehner mocks Obama college plan with Taylor Swift:"
"78",-1,"Boehner mocks Obama college plan with Taylor Swift:"
"79",0,"@haveabetterone @FlipShank @WhiteHouse @BarackObama @GOP isn't that what obama is doing?  He's already vetoeing bills that aren't yet"
"80",2,"RT @JonDonnison: Oh dear rt @RaniaKhalek: Ex-Navy SEAL and proud Obama supporter on ""American Sniper"" https://t.co/KgN0uV3HE8 http://t.co/4â¦"
"81",1,"RT @darrylmcclain: Daily Kos Obama's approval rating spikes before State of the Union http://t.co/QaaJR2IhpS"
"82",0,"RT @RealJamesWoods: Michael Moore is doing for AMERICAN SNIPER what Obama did for gun sales..."
"83",0,"RT @RealJamesWoods: Michael Moore is doing for AMERICAN SNIPER what Obama did for gun sales..."
"84",0,"RT @MumbaiAkkians: Narendra Modi And Barack Obama Should Watch #BABY Movie. - Says Akshay Kumar. BABY Film This Friday http://t.co/AmQr9rlUâ¦"
"85",-1,"@Dark_Red_Hair How can you disagree? It's a statistical fact. Of age groups, ONLY under 30s gave majority to Obama. It's a fact."
"86",-1,"Boehner mocks Obama college plan with Taylor Swift:"
"87",1,"RT @PMgeezer: Hey Barack Obama -  Let's put our Veterans to WORK before adding millions of illegals to our work force! 
#SOT #VA  
http://tâ¦"
"88",0,"RT @JamilSmith: A speechwriter needs to put the word ""infrastructure"" in President Obama's #SOTU address. A camera needs to be on Boehner wâ¦"
"89",0,"RT @debv219: Look #Tcot -&gt; More Bad News For Republicans As 61% Support President Obama On Keystone XL http://t.co/PHZd3Yjjjk via @politicuâ¦"
"90",0,"How Obama's State of the Union plans may affect Florida http://t.co/dV2s8VNCsl via @fcn2go"
"91",0,"#MichealMooreIsMoreWorthlessThan Obama Care. @MMFlint bet you couldn't survive one day as a Navy Seal. You Moron."
"92",-1,"RT @mrtruthandsoul: Obama: The African Ebola outbreak, that I INHERITED from Bush--

Biden: Hey, weren't you born in Africa?

Obama: [Mr. Tâ¦"
"93",1,"@ibrahemshawky @IndecisiveNigga @vallbecerra don't forget to wish Barak Denzel Obama Washington a happy g-day http://t.co/GFURRD8361"
"94",-1,"RT @thekiranbedi: Watching Obama-Romney debate live. Don't miss it. (Camp SFO)"
"95",0,"RT @RealJamesWoods: Michael Moore is doing for AMERICAN SNIPER what Obama did for gun sales..."
"96",3,"RT @BarackObama: ""All of us have a right to be proud of the progress America has made."" âPresident Obama http://t.co/Yin24Qj1BH"
"97",-1,"@JDelaneyforMD &amp; Obama pushing 4 #moneylaundering vehicle aka infrastructure act grant $70-$100bil tax break for corp http://t.co/loY5ByEVei"
"98",0,"RT @RealJamesWoods: Michael Moore is doing for AMERICAN SNIPER what Obama did for gun sales..."
"99",1,"when taylor swift has almost the same amount of followers as Obama"
