"","word","freq"
"obama","obama",1458
"obamas","obamas",387
"president","president",241
"state","state",233
"union","union",175
"tax","tax",155
"american","american",134
"will","will",129
"sniper","sniper",120
"gun","gun",119
"barack","barack",118
"moore","moore",115
"sales","sales",114
"michael","michael",113
"house","house",106
"white","white",105
"address","address",101
"sotu","sotu",83
"economic","economic",81
"look","look",81
"screening","screening",81
"selma","selma",81
"held","held",78
"attendance","attendance",77
"david","david",77
"common","common",76
"fight","fight",75
"oyelowo","oyelowo",75
"oprah","oprah",74
"new","new",69
"one","one",69
"early","early",66
"growth","growth",66
"reignites","reignites",66
"todays","todays",66
"chinas","chinas",65
"decades","decades",65
"front","front",65
"page","page",65
"slowest","slowest",65
"republicans","republicans",64
"wants","wants",63
"ahead","ahead",57
"dont","dont",57
"tcot","tcot",57
"approval","approval",55
"economy","economy",55
"news","news",55
"poll","poll",55
"http","http",53
"next","next",52
"words","words",52
"man","man",51
"back","back",48
"mlk","mlk",48
"college","college",47
"just","just",46
"iran","iran",45
"rating","rating",45
"right","right",45
"debate","debate",43
"watch","watch",43
"americans","americans",42
"congress","congress",42
"usa","usa",42
"think","think",41
"plan","plan",40
"states","states",40
"cuba","cuba",39
"teaparty","teaparty",37
"breeze","breeze",36
"gitmo","gitmo",36
"india","india",36
"people","people",36
"united","united",36
"can","can",35
"door","door",35
"media","media",35
"oman","oman",35
"prisoners","prisoners",35
"releasesmore","releasesmore",35
"visit","visit",35
"now","now",34
"time","time",33
"like","like",32
"gop","gop",31
"government","government",31
"says","says",30
"social","social",30
"two","two",30
"free","free",29
"help","help",29
"important","important",29
"late","late",29
"needs","needs",29
"content","content",28
"day","day",28
"figures","figures",28
"imagine","imagine",28
"little","little",28
"see","see",28
"thanks","thanks",28
"king","king",27
"luther","luther",27
"political","political",27
"team","team",27
"war","war",27
"watching","watching",27
"asking","asking",26
"attack","attack",26
"community","community",26
"job","job",26
"leaders","leaders",26
"martin","martin",26
"romney","romney",26
"terror","terror",26
"wsjnbc","wsjnbc",26
"class","class",25
"know","know",25
"main","main",25
"middle","middle",25
"promises","promises",25
"tries","tries",25
"word","word",25
"audience","audience",24
"believe","believe",24
"delhi","delhi",24
"outrageousâŒthe","outrageousâŒthe",24
"say","say",24
"still","still",24
"washington","washington",24
"widen","widen",24
"change","change",23
"donetsk","donetsk",23
"face","face",23
