"","ti","age","id","au","ve","nC","nP","nR","at","msg","path"
"1",2015-01-20 03:12:13,0.122695769124009,"z13adbojpmyzg3r5504cfl0aeozmd50av50","109792081837579676216","post",0,0,0,"photo","#GopalaGopala Krishna area collections @ http://goo.gl/ggqUnv #Pawankalyan   #Venkatesh  ﻿","https://plus.google.com/109792081837579676216"
"2",2015-01-19 15:22:16,0.615718622461513,"z13mztniqmmivur0kr20gpdz4me0hqe0","109792081837579676216","post",0,0,0,"photo","#PawanKalyan, Venky&#39;s GG 40 Crores share ! @ http://goo.gl/RQR9R4 #GopalaGopala  ﻿","https://plus.google.com/109792081837579676216"
"3",2015-01-19 10:50:57,0.804128708582785,"z131grsofxvzshiig04cjbfg2kaeuvzwke4","105069700762249140042","post",0,0,0,"article","#Trivikram to direct #PawanKalyan&#39;s Kobali upcoming movie#ABN  #telugunews   #tollywoodnews   #dailynews #dailyupdates  #latestupdates   #latestnews﻿","https://plus.google.com/105069700762249140042"
"4",2015-01-19 09:43:38,0.850883541443833,"z13feh1jqkmpt1vta23ws3codzy4s1hvp","108725079662737555814","post",0,0,0,"article"," #gopalagopala   #pawankalyan   #venkatesh   #venkateshdaggubati   #kishorekumarpardasany   #remakemovie  ﻿","https://plus.google.com/108725079662737555814"
"5",2015-01-19 09:37:48,0.85492630728417,"z122zxp5ko2ienhwo04cdjuxhlfrj3tybqc0k","113562279888585796916","post",0,0,0,"article","#GopalaGopala 9-Day #BoxOfficeCollections: #PawanKalyan Starrer Beats #MaheshBabu #Pokiri Lifetime Figureshttp://bit.ly/1CrnNKt﻿","https://plus.google.com/113562279888585796916"
"6",2015-01-19 05:13:41,1.03834815720717,"z132t5sjkzuzjfyra04ch5hwwxnpwdu5lh4","105441061870305052203","post",0,0,0,"photo","7 Pawan Kalyan Style Power looks you can try on.Read more http://bit.ly/1yx6RVA  #PawanKalyan﻿","https://plus.google.com/105441061870305052203"
"7",2015-01-18 18:37:14,1.48032249631429,"z13ysr4qmm2tchpkm22ufpbbdwyic3oc3","114792652225102312093","post",0,0,0,"article"," #pawankalyan   #venkatesh   #gopalagopalareview   Special interview of Pawan Kalyan and Venkatesh Gopala Gopala (OMG)﻿","https://plus.google.com/114792652225102312093"
"8",2015-01-18 17:46:37,1.51547309000735,"z12rz1j5eua4wd2xe04cctmqzublurbo4ms0k","102059973023662952188","post",0,0,0,"article","#Trivikram #Srinivas more desirable than #PawanKalyan? #2014 #desirablemen #Telugu #gopalagopalaTrivikram Srinivas more desirable than Pawan Kalyan? Pawan Kalyan not even Nominated. According to Hyderabad Times most desirable Men 2014, Trivikram Srinivas, Allari Naresh, Prince, Sundeep Kishan and many new faces have found their way to the most…﻿","https://plus.google.com/102059973023662952188"
"9",2015-01-18 17:07:36,1.54257290006788,"z13dcv0ymsjufbl5f04cftuaytrwzbrq35w","101518794221977544454","post",0,0,0,"article","Gopala Gopala - Powerful Victory #gopalagopala #powerstar #pawankalyan #victoryvenkatesh #pawanandvenkysinterview﻿","https://plus.google.com/101518794221977544454"
"10",2015-01-18 14:41:00,1.64437393040017,"z12ydlj5ovjvhdsv423tuv0o1mqqzz42l","105069700762249140042","post",0,0,0,"article","#Pawankalyan Bakthi geetam by fans#ABN #telugunews #tollywoodnews #dailynews#dailyupdates #latestupdates #latestnews﻿","https://plus.google.com/105069700762249140042"
"11",2015-01-18 05:49:03,2.01378882890774,"z133ifjhelywftio304cefgxwqbsxf0qzzs0k","105410583006682627600","post",0,0,0,"article"," #PawanKalyan   #GopalaGopala7DayCollections   #GopalaGopalaBoxOfficeCollection   #GopalaGopalaCollections   #Venkatesh   #GopalaGopala   #GopalaGopalaMovie  ﻿","https://plus.google.com/105410583006682627600"
"12",2015-01-17 16:51:48,2.55354638396314,"z12mjn3rqx2evxhb304cgrsy2tmpefeif5c","101718756811529152460","post",1,14,1,"video","#PawanKalyan&#39;s And #Venkatesh&#39;s Exclusive Interview!Watch And Share with your friends, Share #GopalaGopala Fun :)﻿","https://plus.google.com/101718756811529152460"
"13",2015-01-17 13:11:37,2.70644905744603,"z130cxk5zqb0xtrev22wc1mpbwmdc1qtc","109792081837579676216","post",0,1,0,"photo","#GopalaGopala Movie 5 Days Collections @ http://goo.gl/f35Z4x #PawanKalyan   #Venkatesh  ﻿","https://plus.google.com/109792081837579676216"
"14",2015-01-17 12:51:20,2.72053457908056,"z12girth3lerst4lk22wc1mpbwmdc1qtc","109792081837579676216","post",0,0,0,"photo","#PawanKalyan signs up 2 films ! @ http://goo.gl/Db8qmt﻿","https://plus.google.com/109792081837579676216"
"15",2015-01-17 12:48:49,2.72227832785359,"z12bzbrpmnzzgt5vi22wc1mpbwmdc1qtc","109792081837579676216","post",0,1,0,"photo","#GopalaGopala film first week collections @ http://goo.gl/1mLjl6 #pawankalyan   #Venkatesh  ﻿","https://plus.google.com/109792081837579676216"
"16",2015-01-17 12:42:41,2.72654395248879,"z12ei54oexueu53fs23tuv0o1mqqzz42l","105069700762249140042","post",0,0,0,"article","#GopalaGopala #Pawankalyan and #Venkatesh exclusive interview part 2#ABN #telugunews #tollywoodnews #dailynews#dailyupdates #latestupdates #latestnews﻿","https://plus.google.com/105069700762249140042"
"17",2015-01-17 12:38:23,2.72953138486655,"z131tdvgtyzeubf5c04cjbfg2kaeuvzwke4","105069700762249140042","post",0,0,0,"article","#GopalaGopala #Pawankalyan and #Venkatesh exclusive interview part 1#ABN #telugunews #tollywoodnews #dailynews#dailyupdates #latestupdates #latestnews﻿","https://plus.google.com/105069700762249140042"
"18",2015-01-17 12:00:17,2.75598121214244,"z125w5wr5vvndxfkb23cijkhcpadtro2n","109023382916211402629","post",0,0,0,"article","Gopala Gopala first week collections Read Article @ http://bit.ly/1DN3wDi #GopalaGopala #PawanKalyan #Shriya #Venkatesh #AnoopRubens﻿","https://plus.google.com/109023382916211402629"
"19",2015-01-17 11:04:23,2.79480099431343,"z121zxszdnrkg1gj504cctmqzublurbo4ms0k","102059973023662952188","post",0,1,0,"article","#PawanKalyan has some good things about #Ajith #thala55, #Thala #powerstar #gopalagopala #yennaiarindhaalPawan Kalyan is one actor who is in hot demand not only in the film circuit but also in the political circuit. Pawan Kalyan believes that one’s hard work will lead him to be successful in the career he chooses. Pawan Kalyan believes that though he is from…﻿","https://plus.google.com/102059973023662952188"
"20",2015-01-17 10:06:47,2.83480198252532,"z13lepmb5p2qgzbx404cjbfg2kaeuvzwke4","105069700762249140042","post",0,0,0,"article","#PawanKalyan comedy scene in #Thammudu movie#ABN #telugunews #tollywoodnews #dailynews#dailyupdates #latestupdates #latestnews﻿","https://plus.google.com/105069700762249140042"
"21",2015-01-17 04:41:34,3.06065118935097,"z13jv1iywlrpxni4a04cgrsy2tmpefeif5c","101718756811529152460","post",0,13,0,"video","Pawankalyan Exclusive Interview Highlights!‪  #Venkatesh‬   #PawanKalyan   #GopalaGopala   #Weekend   #Saturday   #Tollywood   #Celebrity  ﻿","https://plus.google.com/101718756811529152460"
"22",2015-01-17 04:08:44,3.08344850236067,"z12iwp3jlyzhjx0py04cctmqzublurbo4ms0k","102059973023662952188","post",0,1,0,"article","What will #PawanKalyan do after #GabbarSingh2 ? #Janasena or #moviesPawan Kalyan movies or politics next. Pawan Kalyan has given blockbuster hits with Gabbar Singh and Attarintiki Daredi. Gopala Gopala has not done as expected after two huge hits. What will Pawan Kalyan do after Gabbar Singh 2? The news making rounds in…﻿","https://plus.google.com/102059973023662952188"
"23",2015-01-16 16:07:44,3.58414946900198,"z12gv1paeuylupgxw04cexqoypn4hvarlvs0k","112841486388517554285","post",0,0,0,"article"," #gopalagopalamovie   #boxofficecollection   #gopalagopalatelugumovie   #pawankalyan  +ShareThis ﻿","https://plus.google.com/112841486388517554285"
"24",2015-01-16 12:27:25,3.73713863709183,"z12zsruyjuj3vzi4204cctmqzublurbo4ms0k","102059973023662952188","post",0,0,0,"article","#PawanKalyan says #Chiranjeevi is my Only Hero. #gopalagopalaPawan Kalyan talks about his brother Chiranjeevi in an interview. Powerstar Pawan Kalyan the younger brother of Megastar Chiranjeevi, is one of the biggest stars of South India. He commands a massive fan following that has been built on the Legacy of his…﻿","https://plus.google.com/102059973023662952188"
"25",2015-01-16 10:00:19,3.83929642706282,"z13lthexbrjfdjz2n23ws3codzy4s1hvp","108725079662737555814","post",0,0,0,"article"," #gopalagopala   #pawankalyan   #shriyasaran   #superhit  ﻿","https://plus.google.com/108725079662737555814"
"26",2015-01-16 10:00:12,3.83938153234621,"z13yexvbhyzecvdxy04cibrj1y24ztqh3co","104601341883208436745","post",0,7,2,"video","#SankranthiGopaludu -- #PawanKalyan #Sankranthi Special Interview about #GopalaGopala﻿","https://plus.google.com/104601341883208436745"
"27",2015-01-16 09:28:45,3.86121203024078,"z134zpoydpq5vdipi04cefgxwqbsxf0qzzs0k","105410583006682627600","post",0,0,0,"article"," #GopalaGopala   #GopalaGopalaBoxOfficeCollection  #GopalaGopalaSixDaysCollections  #GopalaGopalaCollections   #PawanKalyan   #GopalaGopalaFirstWeekCollections   #Venkatesh  ﻿","https://plus.google.com/105410583006682627600"
"28",2015-01-16 09:22:40,3.86544463676711,"z13dsdgj1q22yp3qy04cjn0h2lbzsn05rio","108725079662737555814","post",0,0,0,"article"," #gopalagopala   #gopalagopalamovie   #pawankalyan  ﻿","https://plus.google.com/108725079662737555814"
"29",2015-01-16 06:29:07,3.98596004608053,"z130yxfjvkmagb3tr235ybkqgpemunmte","101718756811529152460","post",0,4,0,"video","Pawan kalyan Exclusive Interview with Madhu Shalini, Bhargavi and Prasanthi regarding Gopala Gopala,  #PawanKalyan   #GopalaGopala   #SankranthiWishes   #Friday  ﻿","https://plus.google.com/101718756811529152460"
"30",2015-01-15 18:30:39,4.48490182573045,"z12kej0ilzjcj3u0i222v3ao1tfstv3uj","106893032419820804986","post",0,0,0,"video","Enjoy mesmerizing songs of Gopala Gopala #Tollywood #PawanKalyan #Venkatesh﻿","https://plus.google.com/106893032419820804986"
"31",2015-01-15 16:21:49,4.57436940641315,"z12qdrcwyxfav1x5u04ccxlxssmrxd15uow0k","111307286514129654519","post",0,1,0,"photo","#PawanKalyan #GopalaGopala Interview Full Video @ http://goo.gl/FHj8fc#Dolly #MadhuShalini #AnchorPrasanthi #AnchorBhargavi﻿","https://plus.google.com/111307286514129654519"
"32",2015-01-15 16:19:51,4.57572966665305,"z125dthjtnjncle1f235ybkqgpemunmte","101718756811529152460","post",0,13,0,"video","#Sankranthi Gopaludu #PawanKalyan Exclusive Interview!!﻿","https://plus.google.com/101718756811529152460"
