"","score","text","path"
"3",1,"wat hpnd to al pawan fans y u al silent....
daily ek tweet tho bantha hey.... @PawanKalyan @pawanjanasena @sunkararajesh3 @UrsSamyuktha","https://twitter.com/sammitarajesh"
"13",2,"@urssamyuktha @pawankalyan   well done by artist....looking very realistic......","https://twitter.com/UrsSrikanth"
"28",1,"Dialog perfect time by a Perfect Person - #PawanKalyan http://t.co/030Q1ljGxz","https://twitter.com/laxman032001"
"36",1,"@PawanKalyan  nice pic sir","https://twitter.com/rajukamsani"
"37",1,"@PawanKalyan you are great sir","https://twitter.com/AbhilashGara"
"38",1,"@PawanKalyan good moring","https://twitter.com/nunnakrishna"
"40",1,"RT @UrsSamyuktha: #GopalaGopala is winner all d way í ½í¸ @PawanKalyan http://t.co/Qt3gWkBEgI","https://twitter.com/pkkanth"
"41",1,"RT @UrsSamyuktha: #GopalaGopala is winner all d way í ½í¸ @PawanKalyan http://t.co/Qt3gWkBEgI","https://twitter.com/TEAM_JANASENA"
"42",1,"RT @UrsSamyuktha: #GopalaGopala is winner all d way í ½í¸ @PawanKalyan http://t.co/Qt3gWkBEgI","https://twitter.com/alwaysmaruthi"
"43",1,"@PawanKalyan good morning sir http://t.co/9z3v91c32o","https://twitter.com/Asriniv90325872"
"45",1,"RT @UrsSamyuktha: #GopalaGopala is winner all d way í ½í¸ @PawanKalyan http://t.co/Qt3gWkBEgI","https://twitter.com/Powerrstarfan"
"48",1,"RT @UrsSamyuktha: #GopalaGopala is winner all d way í ½í¸ @PawanKalyan http://t.co/Qt3gWkBEgI","https://twitter.com/pradeepASSRR"
"49",1,"#GopalaGopala is winner all d way í ½í¸ @PawanKalyan http://t.co/Qt3gWkBEgI","https://twitter.com/UrsSamyuktha"
"56",1,"RT @SKNonline: 33cr+ #GopalaGopala 1st week collections ll prove Main lead or Spl role #Powerstar @PawanKalyan z the KING of the openings iâ¦","https://twitter.com/srikanth143761"
"62",1,"@avangavijay @ I always follow @pawankalyan@ no hero in tollywood has much craze than@pawaknalyan@ he s real life hero.","https://twitter.com/avangavijay"
"63",2,"mrng Levagane #Pawankalyan songs a Vinali Royyyyyyy Lekapothe day Antha Kickeyyyyyyyyy Em Undadhu grin emoticon grin emoticon","https://twitter.com/Pa1AntePicchi"
"65",1,"@PawanKalyan  .. So started my Frist step to help MY WORLD.. hope everyone will understand me.. N it reach u sooní ½í¸í ½í¸.. Yrs faithfully manju","https://twitter.com/manjulasrihari1"
"70",1,"@PawanKalyan avvi ma like time lo memu cheyelemu bcz AM GIRL I SHOULD BE IN MY LIMITS.. 2nd di EGO 
  sir meri commerial ads cheyaru
Nextmsg","https://twitter.com/manjulasrihari1"
"71",1,"GD mrng have a nice day to you @PawanKalyan garu","https://twitter.com/malthafkhan16"
"81",1,"RT @SKNonline: 33cr+ #GopalaGopala 1st week collections ll prove Main lead or Spl role #Powerstar @PawanKalyan z the KING of the openings iâ¦","https://twitter.com/karthikbabup"
"92",1,"@PawanKalyan  I love you so much sir","https://twitter.com/RamPras90728940"
"102",2,"RT @kshekhara: thanks for yours support and love.
i am sure definitely i will make a one wonderful movie with #pawankalyan tq","https://twitter.com/PawanKalyanHero"
