"","analysis_score","analysis_text"
"1",0,"RT @UrsSamyuktha: . @PawanKalyan Fever in Prabhala Theertham: http://t.co/01AoNgelNu oh my God #EastGodavari í ½í¸ CrazekaaBaap"
"2",0,". @PawanKalyan Fever in Prabhala Theertham: http://t.co/01AoNgelNu oh my God #EastGodavari í ½í¸ CrazekaaBaap"
"3",1,"wat hpnd to al pawan fans y u al silent....
daily ek tweet tho bantha hey.... @PawanKalyan @pawanjanasena @sunkararajesh3 @UrsSamyuktha"
"4",0,"Gabbar entry at SANDYA 100th day
http://t.co/mtTYiAwhyv
#pawankalyan,#gabbarsingh,#tollywood,#janasena,#mega"
"5",0,"Whatta Senseless Craze ..
@PawanKalyan _/\_
http://t.co/tOBV5RqSBl via
@YouTube"
"6",0,"RT @Always_Arjun: Good Morning @PawanKalyan 
#Ramcharan #chiranjeevi #PawanKalyan http://t.co/gFPWbvDbtv"
"7",0,"Whatta Senseless Craze .. @PawanKalyan _/\_ 

 http://t.co/txJq7sOjnz via @YouTube"
"8",0,"@SagarPawanism1 @PawanKalyan I am a Movie Buff I do give all Updates"
"9",0,"@PawanKalyan Director
Gopi Ganesh and Meera
Jashmin on the set's of
#GudumbaShankar.
http://t.co/mwvf17jJ5W"
"10",0,"@ursshruthi AM 2 PM Evi Vadalav.. Focus First on @PawanKalyan"
"11",0,"#Maddy @ActorMadhavan Is Also Like @PawanKalyan ? - http://t.co/MofgDPS3qh RT @pawan_kalyan @urspawan @PSPK_FC @PspkAddicts"
"12",0,"@trivikramIn @PawanKalyan .load of pavan http://t.co/ARGyC3rMXc"
"13",2,"@urssamyuktha @pawankalyan   well done by artist....looking very realistic......"
"14",0,"@PawanKalyan hai sir how r u"
"15",0,"@PawanKalyan and Trivikram's
Kobali to start after GS2"
"16",0,"@PawanKalyan Director Gopi Ganesh and Meera Jashmin on the set's of #GudumbaShankar. http://t.co/pZw3E0DEyS"
"17",-1,"RT @iLazyLad: @POETICandFUNNY but let me tell you one thing, as far as Telugu is concerned.. Mahesh babu is the SRK and @PawanKalyan is theâ¦"
"18",-1,"RT @iLazyLad: @POETICandFUNNY but let me tell you one thing, as far as Telugu is concerned.. Mahesh babu is the SRK and @PawanKalyan is theâ¦"
"19",-1,"RT @iLazyLad: @POETICandFUNNY but let me tell you one thing, as far as Telugu is concerned.. Mahesh babu is the SRK and @PawanKalyan is theâ¦"
"20",0,"RT @trivikramIn: Congratulations #GopalaGopala @PawanKalyan"
"21",0,"@Actorysr Follow Powerstar @PawanKalyan is on Twitter"
"22",0,"RT @UrsSamyuktha: . @PawanKalyan THE MAN With d MIDAS TOUCH !! blueray piracy out Still #AD IH. King Maker in elections n now Jus wid 30m râ¦"
"23",0,"@PawanKalyan jai hind"
"24",0,"RT @PSPK_FC: Exclusive snaps of @PawanKalyan from his latest interview. :) http://t.co/MRrmDyOFBF"
"25",0,"RT @UrsSamyuktha: . @PawanKalyan THE MAN With d MIDAS TOUCH !! blueray piracy out Still #AD IH. King Maker in elections n now Jus wid 30m râ¦"
"26",0,"RT @UrsSamyuktha: . @PawanKalyan THE MAN With d MIDAS TOUCH !! blueray piracy out Still #AD IH. King Maker in elections n now Jus wid 30m râ¦"
"27",0,". @PawanKalyan THE MAN With d MIDAS TOUCH !! blueray piracy out Still #AD IH. King Maker in elections n now Jus wid 30m role 40C share(GG) í ½í¹"
"28",1,"Dialog perfect time by a Perfect Person - #PawanKalyan http://t.co/030Q1ljGxz"
"29",0,"RT @PawanKalyan: In soil preparation with #Sri Vijay Ram(S.A.V.E) in #Subash Palekar's(Zero budget natural farming)method(June 2014) http:/â¦"
