"","word","freq"
"pawankalyan","pawankalyan",388
"gopalagopala","gopalagopala",361
"budget","budget",272
"natural","natural",268
"subash","subash",245
"movie","movie",242
"method","method",180
"soil","soil",180
"zero","zero",172
"farming","farming",171
"interview","interview",168
"venkatesh","venkatesh",167
"good","good",147
"gopala","gopala",106
"adopting","adopting",101
"checking","checking",100
"farmingmethodjunehttp","farmingmethodjunehttp",100
"garden","garden",100
"palekarszero","palekarszero",100
"preparation","preparation",100
"ramsave","ramsave",100
"sri","sri",100
"vegetable","vegetable",100
"vijay","vijay",100
"http","http",97
"sir","sir",96
"yennaiarindhaalfestfromjan","yennaiarindhaalfestfromjan",94
"watched","watched",93
"exclusive","exclusive",92
"director","director",84
"blood","blood",83
"pawan","pawan",83
"preparing","preparing",80
"farmin","farmin",79
"grow","grow",79
"jeevamruthamto","jeevamruthamto",79
"palekars","palekars",79
"vegetables","vegetables",79
"zbnf","zbnf",79
"will","will",78
"hyderabad","hyderabad",77
"need","need",75
"farmers","farmers",71
"ove","ove",70
"ram","ram",68
"helps","helps",67
"adopt","adopt",66
"farmwho","farmwho",66
"mrvijay","mrvijay",66
"palekar","palekar",66
"save","save",66
"ajith","ajith",65
"week","week",65
"fan","fan",64
"mark","mark",64
"role","role",59
"part","part",58
"hosp","hosp",57
"ü¾™†”¼ü¾Œ†„¼ü¾™†ˆ¼ü¾™†”¼ü¾Ž†ˆ¼ü¾˜“ ¼","ü¾™†”¼ü¾Œ†„¼ü¾™†ˆ¼ü¾™†”¼ü¾Ž†ˆ¼ü¾˜“ ¼",54
"kalyan","kalyan",54
"ofand","ofand",53
"venky","venky",53
"support","support",52
"power","power",50
"share","share",50
"krishna","krishna",48
"morning","morning",48
"one","one",48
"loved","loved",45
"especially","especially",44
"every","every",42
"film","film",42
"first","first",42
"looking","looking",42
"garu","garu",41
"godü¾™†”¼ü¾Œ†„¼ü¾™†ˆ¼ü¾™†”¼ü¾Ž†ˆ¼ü¾Ž“ ¼its","godü¾™†”¼ü¾Œ†„¼ü¾™†ˆ¼ü¾™†”¼ü¾Ž†ˆ¼ü¾Ž“ ¼its",41
"gopalagopalareally","gopalagopalareally",41
"mustwatch","mustwatch",41
"pawankalyans","pawankalyans",41
"powerstar","powerstar",41
"ü¾™†”¼ü¾Œ†„¼ü¾™†ˆ¼ü¾™†”¼ü¾Ž†ˆ¼ü¾Žƒ¤¼","ü¾™†”¼ü¾Œ†„¼ü¾™†ˆ¼ü¾™†”¼ü¾Ž†ˆ¼ü¾Žƒ¤¼",40
"god","god",40
"great","great",40
"nearscrore","nearscrore",40
"pls","pls",40
"proud","proud",40
"withvenkatesh","withvenkatesh",40
"aspect","aspect",39
"creator","creator",39
"cutest","cutest",39
"dollyrt","dollyrt",39
"finally","finally",39
"ispawankalyan","ispawankalyan",39
"touched","touched",39
"happy","happy",38
"collections","collections",37
"love","love",37
"still","still",36
"art","art",35
"india","india",35
"without","without",34
"add","add",33
"anand","anand",33
"friends","friends",33
"king","king",33
"nice","nice",33
"sai","sai",33
"chiranjeevi","chiranjeevi",32
"spl","spl",32
"badgeur","badgeur",31
"fans","fans",31
"janasenachange","janasenachange",31
"lead","lead",31
"star","star",31
"telugu","telugu",31
"call","call",30
"huge","huge",30
"profilevia","profilevia",30
"ourwith","ourwith",29
"producerand","producerand",29
"elements","elements",28
"main","main",28
"powerstarz","powerstarz",28
"prove","prove",28
"says","says",28
"urgent","urgent",27
"dialogues","dialogues",26
"openings","openings",26
"pawankalyanvenkatesh","pawankalyanvenkatesh",26
"bloodaidcc","bloodaidcc",25
"craze","craze",25
"donors","donors",25
"full","full",25
"nizam","nizam",25
"area","area",24
"best","best",24
"can","can",24
"crossed","crossed",24
"gabbarsingh","gabbarsingh",24
"tollywood","tollywood",24
"anna","anna",23
"days","days",23
"gsad","gsad",23
"like","like",23
"ramcharan","ramcharan",23
"gained","gained",22
"man","man",22
"overtimes","overtimes",22
"powerfulvictoryspecial","powerfulvictoryspecial",22
"punches","punches",22
"response","response",22
"said","said",22
"superb","superb",22
"thanks","thanks",22
"time","time",22
"victory","victory",22
"babynice","babynice",21
"callbloodaid","callbloodaid",21
"small","small",21
"twitter","twitter",21
"gdnyt","gdnyt",20
"sure","sure",20
"day","day",19
"definitely","definitely",19
"just","just",19
"latest","latest",19
"bank","bank",18
"heart","heart",18
"hero","hero",18
"link","link",18
"make","make",18
"night","night",18
"wonderful","wonderful",18
"always","always",17
"callbloodaidcc","callbloodaidcc",17
"family","family",17
"jan","jan",17
"leader","leader",17
"matters","matters",17
"now","now",17
"pic","pic",17
"plz","plz",17
"pure","pure",17
"smile","smile",17
"ü¾™†”¼ü¾Œ†„¼ü¾™†ˆ¼ü¾™†”¼ü¾Œ¦ˆ¼ü¾Œ³¤¼ü¾™†”¼ü¾Œ†„¼ü¾™†ˆ¼ü¾™†”¼ü¾Œ¦ˆ¼ü¾“¤¼","ü¾™†”¼ü¾Œ†„¼ü¾™†ˆ¼ü¾™†”¼ü¾Œ¦ˆ¼ü¾Œ³¤¼ü¾™†”¼ü¾Œ†„¼ü¾™†ˆ¼ü¾™†”¼ü¾Œ¦ˆ¼ü¾“¤¼",16
"care","care",16
"commercial","commercial",16
"cross","cross",16
"dat","dat",16
"donorsapollo","donorsapollo",16
"mesmerize","mesmerize",16
"new","new",16
"pawankal","pawankal",16
"stars","stars",16
"trivikram","trivikram",16
"venkate","venkate",16
"wont","wont",16
"audience","audience",15
"collected","collected",15
"crores","crores",15
"hit","hit",15
"kind","kind",15
"mass","mass",15
"muchvenkatesh","muchvenkatesh",15
"next","next",15
"pawanismü¾™†”¼ü¾Œ†„¼ü¾™†ˆ¼ü¾™†”¼ü¾Ž†ˆ¼ü¾˜“ ¼","pawanismü¾™†”¼ü¾Œ†„¼ü¾™†ˆ¼ü¾™†”¼ü¾Ž†ˆ¼ü¾˜“ ¼",15
"shared","shared",15
"times","times",15
"wide","wide",15
"world","world",15
"ü¾™†”¼ü¾Œ†„¼ü¾™†ˆ¼ü¾™†”¼ü¾Ž†ˆ¼ü¾˜“¤¼","ü¾™†”¼ü¾Œ†„¼ü¾™†ˆ¼ü¾™†”¼ü¾Ž†ˆ¼ü¾˜“¤¼",14
"arey","arey",14
"end","end",14
"genuine","genuine",14
"managing","managing",14
"masala","masala",14
"partpower","partpower",14
"questions","questions",14
"recent","recent",14
"yar","yar",14
"aayani","aayani",13
"ana","ana",13
"caste","caste",13
"che","che",13
"common","common",13
"discussions","discussions",13
"drag","drag",13
"foot","foot",13
"give","give",13
"help","help",13
"made","made",13
"mathrame","mathrame",13
"much","much",13
"scene","scene",13
"srk","srk",13
"supporters","supporters",13
"thokkalo","thokkalo",13
"today","today",13
"total","total",13
"via","via",13
"working","working",13
"achha","achha",12
"auction","auction",12
"biggest","biggest",12
"bro","bro",12
"byin","byin",12
"class","class",12
"found","found",12
"gopalagopalasuperhitallover","gopalagopalasuperhitallover",12
"havingin","havingin",12
"keen","keen",12
"kobali","kobali",12
"letter","letter",12
"many","many",12
"selfie","selfie",12
"snaps","snaps",12
"starring","starring",12
"sureshbabu","sureshbabu",12
"thanked","thanked",12
"tofactsonly","tofactsonly",12
"uttered","uttered",12
"worldwide","worldwide",12
"abt","abt",11
"acce","acce",11
"accessories","accessories",11
"animuntyal","animuntyal",11
"better","better",11
"bike","bike",11
"climax","climax",11
"divinity","divinity",11
"dont","dont",11
"favorite","favorite",11
"gopalagopaladays","gopalagopaladays",11
"janstar","janstar",11
"name","name",11
"offrom","offrom",11
"rare","rare",11
"sankranthi","sankranthi",11
"scenehospitalgopalagopala","scenehospitalgopalagopala",11
"watch","watch",11
"ü¾™†”¼ü¾Œ†„¼ü¾™†ˆ¼ü¾™†”¼ü¾Œ–ˆ¼ü¾˜³ ¼ü¾™†”¼ü¾Œ†„¼ü¾™†ˆ¼ü¾™†”¼ü¾Œ–ˆ¼ü¾˜³ ¼ü¾™†”¼ü¾Œ†„¼ü¾™†ˆ¼ü¾™†”¼ü¾Œ–ˆ¼ü¾™ƒ ¼","ü¾™†”¼ü¾Œ†„¼ü¾™†ˆ¼ü¾™†”¼ü¾Œ–ˆ¼ü¾˜³ ¼ü¾™†”¼ü¾Œ†„¼ü¾™†ˆ¼ü¾™†”¼ü¾Œ–ˆ¼ü¾˜³ ¼ü¾™†”¼ü¾Œ†„¼ü¾™†ˆ¼ü¾™†”¼ü¾Œ–ˆ¼ü¾™ƒ ¼",10
"also","also",10
"awesome","awesome",10
"become","become",10
"follow","follow",10
"hai","hai",10
"hatsoff","hatsoff",10
"movies","movies",10
"powerfulvictory","powerfulvictory",10
"special","special",10
"start","start",10
"victoryvenkatesh","victoryvenkatesh",10
"weekend","weekend",10
"ü¾™†”¼ü¾Œ†„¼ü¾™†ˆ¼ü¾™†”¼ü¾Ž–ˆ¼ü¾™£ ¼","ü¾™†”¼ü¾Œ†„¼ü¾™†ˆ¼ü¾™†”¼ü¾Ž–ˆ¼ü¾™£ ¼",9
"ü¾™†”¼ü¾Œ†„¼ü¾™†ˆ¼ü¾™†”¼ü¾Œ–ˆ¼ü¾˜³ ¼ü¾™†”¼ü¾Œ†„¼ü¾™†ˆ¼ü¾™†”¼ü¾Œ¦ˆ¼ü¾Œ³ ¼","ü¾™†”¼ü¾Œ†„¼ü¾™†ˆ¼ü¾™†”¼ü¾Œ–ˆ¼ü¾˜³ ¼ü¾™†”¼ü¾Œ†„¼ü¾™†ˆ¼ü¾™†”¼ü¾Œ¦ˆ¼ü¾Œ³ ¼",9
"actors","actors",9
"among","among",9
"annaya","annaya",9
"classü¾™†”¼ü¾Œ†„¼ü¾™†ˆ¼ü¾™†”¼ü¾Œ–ˆ¼ü¾˜³ ¼ü¾™†”¼ü¾Œ†„¼ü¾™†ˆ¼ü¾™†”¼ü¾Œ–ˆ¼ü¾˜³ ¼ü¾™†”¼ü¾Œ†„¼ü¾™†ˆ¼ü¾™†”¼ü¾Œ–ˆ¼ü¾˜³ ¼ü¾™†”¼ü¾Œ†„¼ü¾™†ˆ¼ü¾™†”¼ü¾Œ–ˆ¼ü¾™ƒ ¼ü¾™†”¼ü¾Œ†„¼ü¾™†ˆ¼ü¾™†”¼ü¾Ž†ˆ¼ü¾™ƒ ¼","classü¾™†”¼ü¾Œ†„¼ü¾™†ˆ¼ü¾™†”¼ü¾Œ–ˆ¼ü¾˜³ ¼ü¾™†”¼ü¾Œ†„¼ü¾™†ˆ¼ü¾™†”¼ü¾Œ–ˆ¼ü¾˜³ ¼ü¾™†”¼ü¾Œ†„¼ü¾™†ˆ¼ü¾™†”¼ü¾Œ–ˆ¼ü¾˜³ ¼ü¾™†”¼ü¾Œ†„¼ü¾™†ˆ¼ü¾™†”¼ü¾Œ–ˆ¼ü¾™ƒ ¼ü¾™†”¼ü¾Œ†„¼ü¾™†ˆ¼ü¾™†”¼ü¾Ž†ˆ¼ü¾™ƒ ¼",9
"direct","direct",9
"entry","entry",9
"even","even",9
"evening","evening",9
"generation","generation",9
"handsome","handsome",9
"hunk","hunk",9
"justification","justification",9
"look","look",9
"ourgabbarsingh","ourgabbarsingh",9
"periodpawankalyan","periodpawankalyan",9
"profitable","profitable",9
"release","release",9
"sankranti","sankranti",9
"seen","seen",9
"thank","thank",9
"thing","thing",9
"way","way",9
"zone","zone",9
"background","background",8
"big","big",8
"birthday","birthday",8
"completed","completed",8
"costumes","costumes",8
"cpr","cpr",8
"crying","crying",8
"doctorsfraudaipg","doctorsfraudaipg",8
"entered","entered",8
"fanatics","fanatics",8
"febuary","febuary",8
"floors","floors",8
"gabbar","gabbar",8
"get","get",8
"going","going",8
"gokulsigning","gokulsigning",8
"gud","gud",8
"gurugaru","gurugaru",8
"haters","haters",8
"know","know",8
"magical","magical",8
"must","must",8
"ngos","ngos",8
"planned","planned",8
"presence","presence",8
"profit","profit",8
"singledaysingleexam","singledaysingleexam",8
"site","site",8
"super","super",8
"talks","talks",8
"touch","touch",8
"transferred","transferred",8
"vasudeva","vasudeva",8
"watching","watching",8
"watchvenkatesh","watchvenkatesh",8
"accepted","accepted",7
"bkgrd","bkgrd",7
"bloodaid","bloodaid",7
"bloodnice","bloodnice",7
"color","color",7
"dialogueslight","dialogueslight",7
"directsupcoming","directsupcoming",7
"examples","examples",7
"eye","eye",7
"facebooksuperhttp","facebooksuperhttp",7
"herz","herz",7
"industrycites","industrycites",7
"interviews","interviews",7
"keychain","keychain",7
"looks","looks",7
"lovely","lovely",7
"makin","makin",7
"making","making",7
"missed","missed",7
"moments","moments",7
"nowhave","nowhave",7
"opened","opened",7
"people","people",7
"performance","performance",7
"piracy","piracy",7
"pongal","pongal",7
"shriyasaran","shriyasaran",7
"smiledignity","smiledignity",7
"soon","soon",7
"srkthala","srkthala",7
"superstar","superstar",7
"telugunews","telugunews",7
"travel","travel",7
"two","two",7
"winner","winner",7
"year","year",7
"ü¾™†”¼ü¾Œ†„¼ü¾™†ˆ¼ü¾™†”¼ü¾Œ–ˆ¼ü¾™ƒ ¼","ü¾™†”¼ü¾Œ†„¼ü¾™†ˆ¼ü¾™†”¼ü¾Œ–ˆ¼ü¾™ƒ ¼",6
"ü¾™†”¼ü¾Œ†„¼ü¾™†ˆ¼ü¾™†”¼ü¾Ž†ˆ¼ü¾˜£ ¼ü¾™†”¼ü¾Œ†„¼ü¾™†ˆ¼ü¾™†”¼ü¾Ž†ˆ¼ü¾˜£ ¼ü¾™†”¼ü¾Œ†„¼ü¾™†ˆ¼ü¾™†”¼ü¾Ž†ˆ¼ü¾Ž“ ¼","ü¾™†”¼ü¾Œ†„¼ü¾™†ˆ¼ü¾™†”¼ü¾Ž†ˆ¼ü¾˜£ ¼ü¾™†”¼ü¾Œ†„¼ü¾™†ˆ¼ü¾™†”¼ü¾Ž†ˆ¼ü¾˜£ ¼ü¾™†”¼ü¾Œ†„¼ü¾™†ˆ¼ü¾™†”¼ü¾Ž†ˆ¼ü¾Ž“ ¼",6
"account","account",6
"acting","acting",6
"babu","babu",6
"box","box",6
"countryü¾™†”¼ü¾Œ†„¼ü¾™†ˆ¼ü¾™†”¼ü¾Œ¦ˆ¼ü¾Œ³¤¼","countryü¾™†”¼ü¾Œ†„¼ü¾™†ˆ¼ü¾™†”¼ü¾Œ¦ˆ¼ü¾Œ³¤¼",6
"desirable","desirable",6
"extraordinary","extraordinary",6
"feast","feast",6
"feb","feb",6
"felt","felt",6
"fullinterview","fullinterview",6
"hope","hope",6
"iam","iam",6
"iscrsuperb","iscrsuperb",6
"july","july",6
"kishore","kishore",6
"lifefrom","lifefrom",6
"lot","lot",6
"loveso","loveso",6
"mahesh","mahesh",6
"messages","messages",6
"morninghappy","morninghappy",6
"muchbecause","muchbecause",6
"multi","multi",6
"never","never",6
"official","official",6
"others","others",6
"perfect","perfect",6
"person","person",6
"ravindra","ravindra",6
"sagarpawanism","sagarpawanism",6
"songs","songs",6
"starrer","starrer",6
"taken","taken",6
"twitterhandle","twitterhandle",6
"umeeru","umeeru",6
"vachaka","vachaka",6
"weekendlt","weekendlt",6
"wooooow","wooooow",6
"actor","actor",5
"andat","andat",5
"annayya","annayya",5
"attarintikidaredi","attarintikidaredi",5
"beats","beats",5
"bhagyam","bhagyam",5
"bobby","bobby",5
"brother","brother",5
"celebrations","celebrations",5
"check","check",5
"close","close",5
"club","club",5
"comedy","comedy",5
"dailynewsdailyupdates","dailynewsdailyupdates",5
"dance","dance",5
"darshana","darshana",5
"dearest","dearest",5
"dsp","dsp",5
"elections","elections",5
"endaugust","endaugust",5
"enters","enters",5
"eyes","eyes",5
"farm","farm",5
"figures","figures",5
"gopalagopalamovie","gopalagopalamovie",5
"gopaludi","gopaludi",5
"got","got",5
"gtto","gtto",5
"gundamma","gundamma",5
"hits","hits",5
"howz","howz",5
"humanity","humanity",5
"innaltiki","innaltiki",5
"jai","jai",5
"janasena","janasena",5
"jukebox","jukebox",5
"justdaysü¾™†”¼ü¾Œ†„¼ü¾™†ˆ¼ü¾™†”¼ü¾Œ–ˆ¼ü¾˜³ ¼days","justdaysü¾™†”¼ü¾Œ†„¼ü¾™†ˆ¼ü¾™†”¼ü¾Œ–ˆ¼ü¾˜³ ¼days",5
"kada","kada",5
"kaligindia","kaligindia",5
"krishnadist","krishnadist",5
"latestnews","latestnews",5
"latestupdates","latestupdates",5
"maheshbabu","maheshbabu",5
"mov","mov",5
"multistarrer","multistarrer",5
"office","office",5
"pawanvenki","pawanvenki",5
"photos","photos",5
