"","ti","age","id","au","ve","nC","nP","nR","at","msg","path"
"1",2015-02-10 09:59:07,2.79702568441078,"z131sdaarkm0e3xow04chxqivybouhjoxz00k","113637235524385963046","post",0,0,0,"article","#Rajamouli, #RGV &amp; #Nithin verdict on #NTR’s #TEMPER﻿","https://plus.google.com/113637235524385963046"
"2",2015-02-10 07:31:22,2.89962898540828,"z12szlpzpkzwfdg4004cirrbou2zjbwzklo0k","109877100101054999176","post",0,0,0,"article","#Rajamouli, #RGV &amp; #Nithin verdict on #NTR’s #TEMPER Click Here ►► http://goo.gl/vMWgFq﻿","https://plus.google.com/109877100101054999176"
"3",2015-02-07 09:51:04,5.80262316581,"z13sxtipckyzfbuun23tuv0o1mqqzz42l","105069700762249140042","post",0,0,0,"article","#Rajamouli revealed #bahubali movie palace photos in twitter#News #Telugunews #TelanganaNEWS #AndhraPradeshnews #abnnews﻿","https://plus.google.com/105069700762249140042"
"4",2015-02-04 07:57:27,8.88151940287263,"z13nutgoznadh3pp304cjxtjeke0wvegwbg","110751382568495051971","post",0,1,0,"article","#SreenuVaitla to follow #Rajamouli for #RamCharan&#39;s movieread here - http://www.indiaglitz.com/Sreenu-Vaitla-To-Follow-Rajamouli-For-Ram-Charans-Movie-telugu-news-124713﻿","https://plus.google.com/110751382568495051971"
"5",2015-02-03 13:31:47,9.64934391465452,"z133d1ogiqmmwt5em22ggp4wsw30jvnyn04","110585117039158554130","post",0,3,0,"album","Helping Hands For NTR&#39;s Temper   #temper   #ntrtemper   #temperupdates   #bandlaganesh   #kajalaggarwal   #jrntr   #jrntrtemper  Read Here:http://goo.gl/3b5a6ITop Film Maker to Buy Baahubali Hindi Rights .  #baahubali   #prabhas   #ranadaggubati   #rajamouli   #baahubaliupdates  Read Here:http://goo.gl/9MQqc1﻿","https://plus.google.com/110585117039158554130"
"6",2015-02-02 06:19:45,10.9493659597911,"z13fdruo2qv4x11tn23pxtxakrvtzbw4h04","109877100101054999176","post",0,3,0,"article","Complete story – Who &amp; Why #Baahubali video leaked ?Watch here @==►http://goo.gl/zYf2Cg#Rajamouli #Prabhas #Anushka #Tamanna #mahabali﻿","https://plus.google.com/109877100101054999176"
"7",2015-01-29 06:43:33,14.9328377666683,"z13uilox1qyhvpvjr04cc5f43m2lwfxbakg0k","116383744451177001972","share",0,0,0,"article","Baahubali Official Trailer Coming Soon !#Prabhas #RanaDaggubati #AnushkaShetty #Tamannaah #RajamouliClick Here ►► http://goo.gl/tK0ZNv﻿","https://plus.google.com/116383744451177001972"
"8",2015-01-27 10:17:29,16.7842701691113,"z12eijeodqmmclcet22shnthplrpwpmjc04","115623545613002043203","post",0,0,0,"article","90% of ‘Baahubali’ is completed.Post-production for stalwart Rajamouli&#39;s magnum opus is going on at a very fast pace.Read More : http://www.vuin.net/news-english/90-of-baahubali-is-completed#Baahubali #Rajamouli #RanaDaggubati #Prabhas﻿","https://plus.google.com/115623545613002043203"
"9",2015-01-27 10:09:21,16.7899222932149,"z13jvn2gkrrmgvwaz04cjbfg2kaeuvzwke4","105069700762249140042","post",0,0,0,"article","#Prabhas #Rajamouli #Bahubali scenes leaked#News #Telugunews #TelanganaNEWS #AndhraPradeshnews #abnnews﻿","https://plus.google.com/105069700762249140042"
"10",2015-01-25 13:05:24,18.6676604585018,"z12iirc4ymmmcngdd22mtnoacxqmhfo2w","118324332500795200779","post",0,0,0,"article","#Baahubali Talkie Part Complete http://www.pallibatani.com/view-3811-telugu-cinema-news-baahubali-talkie-part-complete.html  #pallibatani    #prabhas   #baahubali   #anushkashetty   #rajamouli   #ranadaggubati  ﻿","https://plus.google.com/118324332500795200779"
"11",2015-01-25 09:08:54,18.8319030499182,"z13fdta44qmzyzj2m222zh4zitbyhlvgm04","107198477854422643338","post",0,0,0,"article"," #Prabhas   #AdiviSesh   #ranadaggubati   #tamannaah   #Rajamouli   #Baahubali  Completed shooting formalities.. Trailer will be revealed in February.Details: http://bit.ly/1EHLZde﻿","https://plus.google.com/107198477854422643338"
"12",2015-01-24 15:51:12,19.5525304619554,"z12vgtqherz3c140s231zjlytwiwux0wz04","103794396723793144162","post",0,1,0,"photo","#Bahubali Fan Made Poster#Prabhas #AnushkaShetty #Rajamouli ﻿","https://plus.google.com/103794396723793144162"
"13",2015-01-24 11:08:23,19.7489248651652,"z12ozzviosuws1o0e22qut3rbp2eepjj304","112905942257549985002","post",0,0,0,"article","#fb #Bahubali Fan Made Poster #Prabhas #AnushkaShetty #Rajamouli Design - #Arun http://ow.ly/2TNVXg﻿","https://plus.google.com/112905942257549985002"
"14",2015-01-24 10:34:40,19.772343718531,"z13iyzhrivjby1fbg04cclgy0pmdtdgjxgw","103038497724821424066","share",0,0,0,"photo"," #I     #PityVikram     #Imovie   is Wannabe Hollywood, but struck in the rut thinking that all you need are fancy graphics and action. When will these guys like  #Shankar  or  #Rajamouli  realize that hollywood is revered because they care about other stuff too ?  #flt   ﻿","https://plus.google.com/103038497724821424066"
"15",2015-01-24 10:15:50,19.7854229368076,"z12hd5zpnyfwcdm3j22qut3rbp2eepjj304","112905942257549985002","post",0,0,0,"article","#fb #Bahubali Fan Made Poster #Prabhas #AnushkaShetty #Rajamouli Design - #Arun http://ow.ly/2TNQFY﻿","https://plus.google.com/112905942257549985002"
"16",2015-01-22 05:08:54,21.9985726772028,"z12idvma2oupfvmxo04cg3swpnbztvnaano0k","113590082525155954586","post",0,0,0,"article","#Baahubali #Prabhas #Rajamouli Baahubali Tamil Rights Sold Outhttp://bit.ly/1xBzBa5Young Rebel Star Prabhas has been working real hard for his next project Baahubali from the past two years which is nearing completion.﻿","https://plus.google.com/113590082525155954586"
"17",2015-01-22 05:01:45,22.003532177312,"z12uh3zwnredvxrxi04cirrbou2zjbwzklo0k","109877100101054999176","post",1,12,2,"article","Baahubali Official Trailer Coming Soon !#Prabhas #RanaDaggubati #AnushkaShetty #Tamannaah #RajamouliClick Here ►► http://goo.gl/tK0ZNv﻿","https://plus.google.com/109877100101054999176"
"18",2015-01-21 12:40:38,22.6848669738709,"z13djbsgxpntj10kk22mtnoacxqmhfo2w","118324332500795200779","post",0,0,0,"article","#Prabhas turns Distributor http://www.pallibatani.com/view-3740-telugu-cinema-news-prabhas-turns-distributor.html  #pallibatani   #bahubali   #bahubalimovie2015   #rajamouli   #prabhas   #ranadaggubati   #anushkashetty   #telangana  ﻿","https://plus.google.com/118324332500795200779"
"19",2015-01-17 16:14:41,26.5362148272853,"z12wt34aipfzijirs04cjbfg2kaeuvzwke4","105069700762249140042","post",0,0,0,"video","#Rajamouli worried about #Bahubali.#ABN #telugunews #tollywoodnews #dailynews#dailyupdates #latestupdates #latestnews﻿","https://plus.google.com/105069700762249140042"
"20",2015-01-14 09:43:50,29.8076385885091,"z13fzjehtw2dhfx2r23qgt4z2qnfgv2gs04","117756153015293038330","share",0,0,0,"photo"," #I     #PityVikram     #Imovie   is Wannabe Hollywood, but struck in the rut thinking that all you need are fancy graphics and action. When will these guys like  #Shankar  or  #Rajamouli  realize that hollywood is revered because they care about other stuff too ?  #flt   ﻿","https://plus.google.com/117756153015293038330"
"21",2015-01-14 08:39:21,29.852427874075,"z133gtxx2pimen3jv04cjjfoikyetzo5skw0k","102551492162357281309","post",0,36,4,"photo"," #I     #PityVikram     #Imovie   is Wannabe Hollywood, but struck in the rut thinking that all you need are fancy graphics and action. When will these guys like  #Shankar  or  #Rajamouli  realize that hollywood is revered because they care about other stuff too ?  #flt   ﻿","https://plus.google.com/102551492162357281309"
