"","score","text","path"
"19",-1,"#Rajamouli hit d bullseye wid his comments that #temper with dialogues has substance too dis time wid its story.His comments are reassuring","https://twitter.com/PrashYerramilli"
"149",-1,"#Temper Benefit Shows: #SSRajamouli to Watch #JrNTR Film; Tickets Selling at â¹2000 to â¹5000? http://t.co/7OlmsSqxqU #temper #PuriJagannath","https://twitter.com/shekharhhooli"
"154",-1,"@MonicaPatel28 The same director, S.S Rajamouli, is coming up with a huge two-part movie called Baahubali, with @RanaDaggubati as a villian.","https://twitter.com/akashtattva"
"295",-1,"SS Rajamouli garu and DoP KK Senthil Kumar are lost in a smartphone. Caption what Senthil is saying to the Director!!","https://twitter.com/natalbogdanowa1"
"300",-1,"@worldNTRfans friend what rajamouli son did for temper","https://twitter.com/gangireddyT"
"495",-2,"RT @NtrFan01: Audio miss eynA show miss avaduí ½í¸í ½í¸í ½í±í ½í±

""@RaaviNtr: SS Rajamouli watching #Temper Benefit show in Mallikharjuna theatre.""","https://twitter.com/manuchitturi"
"502",-2,"Audio miss eynA show miss avaduí ½í¸í ½í¸í ½í±í ½í±

""@RaaviNtr: SS Rajamouli watching #Temper Benefit show in Mallikharjuna theatre.""","https://twitter.com/NtrFan01"
"515",-1,"RT @Tollywoodblog1: Rajamouli creates BIG confusion about Baahubali! http://t.co/zAOsG0x3rt","https://twitter.com/r_a_m_k_u_m_a_r"
"516",-1,"Rajamouli creates BIG confusion about Baahubali! http://t.co/zAOsG0x3rt","https://twitter.com/Tollywoodblog1"
"550",-1,"Helping Hands For NTR&#39;s Temper Â  #temper Â  #ntrtemper Â  #temperupdates Â  #bandlaganesh Â  #kajalaggarwal Â  #jrntr Â  #jrntrtemper Â Read Here:http://goo.gl/3b5a6ITop Film Maker to Buy Baahubali Hindi Rights .  #baahubali Â  #prabhas Â  #ranadaggubati Â  #rajamouli Â  #baahubaliupdates Â Read Here:http://goo.gl/9MQqc1ï»¿","https://plus.google.com/1.10585117039159e+20"
"561",-1,"#Baahubali #Prabhas #RajamouliÂ Baahubali Tamil Rights Sold Outhttp://bit.ly/1xBzBa5Young Rebel Star Prabhas has been working real hard for his next project Baahubali from the past two years which is nearing completion.ï»¿","https://plus.google.com/1.13590082525156e+20"
"591",-1,"#Prabhas irritating #Rajamouli on the setsï»¿","https://plus.google.com/1.11716507552001e+20"
"608",-1,"#Prabhas irritating #Rajamouli on the setsï»¿","https://plus.google.com/1.09877100101055e+20"
"631",-1,"TOLLYWOOD : FLASH NEWSFire Accident At Baahubali Sets, 4 InjuredBaahubali&#39;s shooting hit by fire mishapDirector Rajamouli&#39;s magnum opus Baahubali&#39;s shooting is progressing at brisk pace in Ramoji Film City, Hyderabad. The film&#39;s shooting was hit by a mishap on Saturday evening. While the filmmakers were shooting war scenes on the crew in RFC, fire accident occurred and four fighters suffered minor burns.This resulted in fire. Four fighters who were waiting for their chance to participate in fire scenes were standing next to the equipment and caught fire. Fighters Santosh, Paandu, Ganesh and Santosh suffered minor injuries and received first aid in a private hospital in Hayath Nagar.Film stars Prabhas, Rana, Anushka and Tamannaah in lead roles. M.M.Keeravani is the music director for the film produced by Arka Media Works banner. Ramya Krishnan, Satyaraj, Nassar, Adivi Sesh and Sudeep are also seen in the film.Â #ytalkiesLive #tollywood #FireAccident #RamojiFilmCity #HayathNagar #Rajamouli #baahubali #prabhas #Rana #anushka #tamannaah #ramyakrishna #satyaraj #nassar #sudeep #MMkeeravaniï»¿","https://plus.google.com/1.01518794221978e+20"
