"","score","text","path"
"3",2,"RT @Yashu72: Rajamouli feeling relaxed after #Temper positive talk. Lekapothe next commit avvalsochedi. Hammaya anukuni untadu.","https://twitter.com/just4_funnn"
"5",2,"RT @Yashu72: Rajamouli feeling relaxed after #Temper positive talk. Lekapothe next commit avvalsochedi. Hammaya anukuni untadu.","https://twitter.com/Chaithanyyaa"
"7",2,"RT @Yashu72: Rajamouli feeling relaxed after #Temper positive talk. Lekapothe next commit avvalsochedi. Hammaya anukuni untadu.","https://twitter.com/AwesomeAtchyut"
"8",2,"RT @Yashu72: Rajamouli feeling relaxed after #Temper positive talk. Lekapothe next commit avvalsochedi. Hammaya anukuni untadu.","https://twitter.com/satyajithpinku"
"13",2,"SS Rajamouli about #Temper in Twitter.
Finally buddodu blockbuster kottaadu, congrats to budda fans.......!! í®¸í¼©í®¸í¼©í®ºí¾ http://t.co/7JHQFOGuu9","https://twitter.com/chakradharruler"
"16",1,"RT @onlymaheshfans: Mahesh is known for getting in to the Character...  He has done outstanding job - SS Rajamouli","https://twitter.com/kingvivekreddy"
"17",1,"RT @onlymaheshfans: Mahesh is known for getting in to the Character...  He has done outstanding job - SS Rajamouli","https://twitter.com/MAHESH_MANIA007"
"21",2,"Rajamouli feeling relaxed after #Temper positive talk. Lekapothe next commit avvalsochedi. Hammaya anukuni untadu.","https://twitter.com/Yashu72"
"35",1,"RT @HarshaAdonis: Watching Temper benefit show now in Mallikarjuna. Rajamouli garu and Puri garu attended. Tarak will come in sometime.","https://twitter.com/AGREATNTRFAN"
"42",1,"RT @HarshaAdonis: Watching Temper benefit show now in Mallikarjuna. Rajamouli garu and Puri garu attended. Tarak will come in sometime.","https://twitter.com/vinaysravan1"
"62",1,"RT @HarshaAdonis: Watching Temper benefit show now in Mallikarjuna. Rajamouli garu and Puri garu attended. Tarak will come in sometime.","https://twitter.com/sachinsagar64"
"66",1,"RT @HarshaAdonis: Watching Temper benefit show now in Mallikarjuna. Rajamouli garu and Puri garu attended. Tarak will come in sometime.","https://twitter.com/sri2ntr"
