"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","path"
"1","#RGV, #Puri_Jagan and #Rajamouli sir watch #Temper film at #Mallikharjuna, #Kukatpally @tarak9999 .. http://t.co/dcCtdN6Yyz",FALSE,0,NA,2015-02-13 05:02:33,FALSE,NA,"566100089987280897",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","PrasadTarak9999",0,FALSE,FALSE,NA,NA,"https://twitter.com/PrasadTarak9999"
"2","#RGV, #Rajamouli And #PuriJagannath At #JrNTR #Temper Benefit Show Photos: http://t.co/qHzMhN2sao via @httpstwittercomMaruthiTalkies",FALSE,0,NA,2015-02-13 04:57:43,FALSE,NA,"566098872674430976",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","MaruthiTalkies",0,FALSE,FALSE,NA,NA,"https://twitter.com/MaruthiTalkies"
"3","RT @Yashu72: Rajamouli feeling relaxed after #Temper positive talk. Lekapothe next commit avvalsochedi. Hammaya anukuni untadu.",FALSE,0,NA,2015-02-13 04:44:51,FALSE,NA,"566095636588527616",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","just4_funnn",5,TRUE,FALSE,NA,NA,"https://twitter.com/just4_funnn"
"4","RT @smkoneru: SS Rajamouli garu and family,  Puri Jagan,  Ram Gopal Varma and others are here.. Movie is starting in 2 mins #TemperMania",FALSE,0,NA,2015-02-13 04:32:12,FALSE,NA,"566092451119890433",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M2)</a>","Tarakdemigod",57,TRUE,FALSE,NA,NA,"https://twitter.com/Tarakdemigod"
"5","RT @Yashu72: Rajamouli feeling relaxed after #Temper positive talk. Lekapothe next commit avvalsochedi. Hammaya anukuni untadu.",FALSE,0,NA,2015-02-13 04:19:08,FALSE,NA,"566089161216905216",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Chaithanyyaa",5,TRUE,FALSE,NA,NA,"https://twitter.com/Chaithanyyaa"
"6","""@Direct_Shooter: An SS Rajamouli certified hit #Temper"" #TemperMania  :whistles:",FALSE,1,NA,2015-02-13 04:13:36,FALSE,NA,"566087771513581569",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Pamarthii9999",0,FALSE,FALSE,NA,NA,"https://twitter.com/Pamarthii9999"
"7","RT @Yashu72: Rajamouli feeling relaxed after #Temper positive talk. Lekapothe next commit avvalsochedi. Hammaya anukuni untadu.",FALSE,0,NA,2015-02-13 04:13:15,FALSE,NA,"566087682812428288",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","AwesomeAtchyut",5,TRUE,FALSE,NA,NA,"https://twitter.com/AwesomeAtchyut"
"8","RT @Yashu72: Rajamouli feeling relaxed after #Temper positive talk. Lekapothe next commit avvalsochedi. Hammaya anukuni untadu.",FALSE,0,NA,2015-02-13 04:11:26,FALSE,NA,"566087223980744704",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","satyajithpinku",5,TRUE,FALSE,NA,NA,"https://twitter.com/satyajithpinku"
"9","RT @AndhraBoxOffice: Surprisingly Staying true to his Tweets... RGV watching #Temper Early morning show in Kukatpally along with Puri, Raja…",FALSE,0,NA,2015-02-13 03:54:54,FALSE,NA,"566083062467805186",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","urstrulyBunty",38,TRUE,FALSE,NA,NA,"https://twitter.com/urstrulyBunty"
"10","RT @smkoneru: SS Rajamouli garu and family,  Puri Jagan,  Ram Gopal Varma and others are here.. Movie is starting in 2 mins #TemperMania",FALSE,0,NA,2015-02-13 03:50:15,FALSE,NA,"566081893464932353",NA,"<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for BlackBerry</a>","chekativamsi",57,TRUE,FALSE,NA,NA,"https://twitter.com/chekativamsi"
"11","RT @smkoneru: SS Rajamouli garu and family,  Puri Jagan,  Ram Gopal Varma and others are here.. Movie is starting in 2 mins #TemperMania",FALSE,0,NA,2015-02-13 03:46:59,FALSE,NA,"566081071079776256",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","lokeshkotha",57,TRUE,FALSE,NA,NA,"https://twitter.com/lokeshkotha"
"12","RT @smkoneru: SS Rajamouli garu and family,  Puri Jagan,  Ram Gopal Varma and others are here.. Movie is starting in 2 mins #TemperMania",FALSE,0,NA,2015-02-13 03:46:31,FALSE,NA,"566080955668893696",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ursLION",57,TRUE,FALSE,NA,NA,"https://twitter.com/ursLION"
"13","SS Rajamouli about #Temper in Twitter.
Finally buddodu blockbuster kottaadu, congrats to budda fans.......!! ������������������ http://t.co/7JHQFOGuu9",FALSE,0,NA,2015-02-13 03:44:49,FALSE,NA,"566080527254687744",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","chakradharruler",0,FALSE,FALSE,NA,NA,"https://twitter.com/chakradharruler"
"14","RT @smkoneru: SS Rajamouli garu and family,  Puri Jagan,  Ram Gopal Varma and others are here.. Movie is starting in 2 mins #TemperMania",FALSE,0,NA,2015-02-13 03:36:24,FALSE,NA,"566078409042694145",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","thummavenkat",57,TRUE,FALSE,NA,NA,"https://twitter.com/thummavenkat"
"15","Great DaY....
Watched #Temper FaN ShOwS along With #PuriJagannadh #anooprubens #vakanthvamshi #Rajamouli 
TEMPER is gng to set records.....!",FALSE,0,NA,2015-02-13 03:32:11,FALSE,NA,"566077349238550529",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Diluchowdary",0,FALSE,FALSE,NA,NA,"https://twitter.com/Diluchowdary"
"16","RT @onlymaheshfans: Mahesh is known for getting in to the Character...  He has done outstanding job - SS Rajamouli",FALSE,0,NA,2015-02-13 03:28:40,FALSE,NA,"566076464332689409",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","kingvivekreddy",12,TRUE,FALSE,NA,NA,"https://twitter.com/kingvivekreddy"
"17","RT @onlymaheshfans: Mahesh is known for getting in to the Character...  He has done outstanding job - SS Rajamouli",FALSE,0,NA,2015-02-13 03:23:19,FALSE,NA,"566075114240745472",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MAHESH_MANIA007",12,TRUE,FALSE,NA,NA,"https://twitter.com/MAHESH_MANIA007"
"18","RT @AndhraBoxOffice: Surprisingly Staying true to his Tweets... RGV watching #Temper Early morning show in Kukatpally along with Puri, Raja…",FALSE,0,NA,2015-02-13 03:12:02,FALSE,NA,"566072276177539072",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Jim940",38,TRUE,FALSE,NA,NA,"https://twitter.com/Jim940"
"19","#Rajamouli hit d bullseye wid his comments that #temper with dialogues has substance too dis time wid its story.His comments are reassuring",FALSE,0,NA,2015-02-13 03:09:13,FALSE,NA,"566071566912327681",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","PrashYerramilli",0,FALSE,FALSE,NA,NA,"https://twitter.com/PrashYerramilli"
"20","RT @AndhraBoxOffice: Surprisingly Staying true to his Tweets... RGV watching #Temper Early morning show in Kukatpally along with Puri, Raja…",FALSE,0,NA,2015-02-13 03:05:14,FALSE,NA,"566070565069668353",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","TARAKaSIMHA",38,TRUE,FALSE,NA,NA,"https://twitter.com/TARAKaSIMHA"
"21","Rajamouli feeling relaxed after #Temper positive talk. Lekapothe next commit avvalsochedi. Hammaya anukuni untadu.",FALSE,1,NA,2015-02-13 03:04:09,FALSE,NA,"566070290698891264",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Yashu72",5,FALSE,FALSE,NA,NA,"https://twitter.com/Yashu72"
"22","RT @AndhraBoxOffice: Surprisingly Staying true to his Tweets... RGV watching #Temper Early morning show in Kukatpally along with Puri, Raja…",FALSE,0,NA,2015-02-13 03:00:08,FALSE,NA,"566069280366526466",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","dayapappu1",38,TRUE,FALSE,NA,NA,"https://twitter.com/dayapappu1"
"23","RT @smkoneru: SS Rajamouli garu and family,  Puri Jagan,  Ram Gopal Varma and others are here.. Movie is starting in 2 mins #TemperMania",FALSE,0,NA,2015-02-13 02:57:13,FALSE,NA,"566068547021836288",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Kira__Monster",57,TRUE,FALSE,NA,NA,"https://twitter.com/Kira__Monster"
"24","RT @smkoneru: SS Rajamouli garu and family,  Puri Jagan,  Ram Gopal Varma and others are here.. Movie is starting in 2 mins #TemperMania",FALSE,0,NA,2015-02-13 02:51:14,FALSE,NA,"566067043917889537",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","chocolate225143",57,TRUE,FALSE,NA,NA,"https://twitter.com/chocolate225143"
"25","RT @smkoneru: SS Rajamouli garu and family,  Puri Jagan,  Ram Gopal Varma and others are here.. Movie is starting in 2 mins #TemperMania",FALSE,0,NA,2015-02-13 02:50:58,FALSE,NA,"566066974552514562",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M2)</a>","TarakFan99",57,TRUE,FALSE,NA,NA,"https://twitter.com/TarakFan99"
