"","analysis_score","analysis_text"
"1",0,"#RGV, #Puri_Jagan and #Rajamouli sir watch #Temper film at #Mallikharjuna, #Kukatpally @tarak9999 .. http://t.co/dcCtdN6Yyz"
"2",0,"#RGV, #Rajamouli And #PuriJagannath At #JrNTR #Temper Benefit Show Photos: http://t.co/qHzMhN2sao via @httpstwittercomMaruthiTalkies"
"3",2,"RT @Yashu72: Rajamouli feeling relaxed after #Temper positive talk. Lekapothe next commit avvalsochedi. Hammaya anukuni untadu."
"4",0,"RT @smkoneru: SS Rajamouli garu and family,  Puri Jagan,  Ram Gopal Varma and others are here.. Movie is starting in 2 mins #TemperMania"
"5",2,"RT @Yashu72: Rajamouli feeling relaxed after #Temper positive talk. Lekapothe next commit avvalsochedi. Hammaya anukuni untadu."
"6",0,"""@Direct_Shooter: An SS Rajamouli certified hit #Temper"" #TemperMania  :whistles:"
"7",2,"RT @Yashu72: Rajamouli feeling relaxed after #Temper positive talk. Lekapothe next commit avvalsochedi. Hammaya anukuni untadu."
"8",2,"RT @Yashu72: Rajamouli feeling relaxed after #Temper positive talk. Lekapothe next commit avvalsochedi. Hammaya anukuni untadu."
"9",0,"RT @AndhraBoxOffice: Surprisingly Staying true to his Tweets... RGV watching #Temper Early morning show in Kukatpally along with Puri, Rajaâ¦"
"10",0,"RT @smkoneru: SS Rajamouli garu and family,  Puri Jagan,  Ram Gopal Varma and others are here.. Movie is starting in 2 mins #TemperMania"
"11",0,"RT @smkoneru: SS Rajamouli garu and family,  Puri Jagan,  Ram Gopal Varma and others are here.. Movie is starting in 2 mins #TemperMania"
"12",0,"RT @smkoneru: SS Rajamouli garu and family,  Puri Jagan,  Ram Gopal Varma and others are here.. Movie is starting in 2 mins #TemperMania"
"13",2,"SS Rajamouli about #Temper in Twitter.
Finally buddodu blockbuster kottaadu, congrats to budda fans.......!! í®¸í¼©í®¸í¼©í®ºí¾ http://t.co/7JHQFOGuu9"
"14",0,"RT @smkoneru: SS Rajamouli garu and family,  Puri Jagan,  Ram Gopal Varma and others are here.. Movie is starting in 2 mins #TemperMania"
"15",0,"Great DaY....
Watched #Temper FaN ShOwS along With #PuriJagannadh #anooprubens #vakanthvamshi #Rajamouli 
TEMPER is gng to set records.....!"
"16",1,"RT @onlymaheshfans: Mahesh is known for getting in to the Character...  He has done outstanding job - SS Rajamouli"
"17",1,"RT @onlymaheshfans: Mahesh is known for getting in to the Character...  He has done outstanding job - SS Rajamouli"
"18",0,"RT @AndhraBoxOffice: Surprisingly Staying true to his Tweets... RGV watching #Temper Early morning show in Kukatpally along with Puri, Rajaâ¦"
"19",-1,"#Rajamouli hit d bullseye wid his comments that #temper with dialogues has substance too dis time wid its story.His comments are reassuring"
"20",0,"RT @AndhraBoxOffice: Surprisingly Staying true to his Tweets... RGV watching #Temper Early morning show in Kukatpally along with Puri, Rajaâ¦"
"21",2,"Rajamouli feeling relaxed after #Temper positive talk. Lekapothe next commit avvalsochedi. Hammaya anukuni untadu."
"22",0,"RT @AndhraBoxOffice: Surprisingly Staying true to his Tweets... RGV watching #Temper Early morning show in Kukatpally along with Puri, Rajaâ¦"
"23",0,"RT @smkoneru: SS Rajamouli garu and family,  Puri Jagan,  Ram Gopal Varma and others are here.. Movie is starting in 2 mins #TemperMania"
"24",0,"RT @smkoneru: SS Rajamouli garu and family,  Puri Jagan,  Ram Gopal Varma and others are here.. Movie is starting in 2 mins #TemperMania"
"25",0,"RT @smkoneru: SS Rajamouli garu and family,  Puri Jagan,  Ram Gopal Varma and others are here.. Movie is starting in 2 mins #TemperMania"
"26",0,"RT @smkoneru: SS Rajamouli garu and family,  Puri Jagan,  Ram Gopal Varma and others are here.. Movie is starting in 2 mins #TemperMania"
"27",0,"RT @AndhraBoxOffice: Surprisingly Staying true to his Tweets... RGV watching #Temper Early morning show in Kukatpally along with Puri, Rajaâ¦"
"28",0,"RT @AndhraBoxOffice: Surprisingly Staying true to his Tweets... RGV watching #Temper Early morning show in Kukatpally along with Puri, Rajaâ¦"
"29",0,"RT @AndhraBoxOffice: Surprisingly Staying true to his Tweets... RGV watching #Temper Early morning show in Kukatpally along with Puri, Rajaâ¦"
"30",0,"RT @smkoneru: SS Rajamouli garu and family,  Puri Jagan,  Ram Gopal Varma and others are here.. Movie is starting in 2 mins #TemperMania"
"31",0,"RT @AndhraBoxOffice: Surprisingly Staying true to his Tweets... RGV watching #Temper Early morning show in Kukatpally along with Puri, Rajaâ¦"
"32",0,"RT @AndhraBoxOffice: Surprisingly Staying true to his Tweets... RGV watching #Temper Early morning show in Kukatpally along with Puri, Rajaâ¦"
"33",0,"RT @AndhraBoxOffice: Surprisingly Staying true to his Tweets... RGV watching #Temper Early morning show in Kukatpally along with Puri, Rajaâ¦"
"34",0,"RT @smkoneru: SS Rajamouli garu and family,  Puri Jagan,  Ram Gopal Varma and others are here.. Movie is starting in 2 mins #TemperMania"
"35",1,"RT @HarshaAdonis: Watching Temper benefit show now in Mallikarjuna. Rajamouli garu and Puri garu attended. Tarak will come in sometime."
"36",0,"RT @AndhraBoxOffice: Surprisingly Staying true to his Tweets... RGV watching #Temper Early morning show in Kukatpally along with Puri, Rajaâ¦"
"37",0,"RT @smkoneru: SS Rajamouli garu and family,  Puri Jagan,  Ram Gopal Varma and others are here.. Movie is starting in 2 mins #TemperMania"
"38",0,"RT @smkoneru: SS Rajamouli garu and family,  Puri Jagan,  Ram Gopal Varma and others are here.. Movie is starting in 2 mins #TemperMania"
"39",0,"RT @smkoneru: SS Rajamouli garu and family,  Puri Jagan,  Ram Gopal Varma and others are here.. Movie is starting in 2 mins #TemperMania"
"40",0,"RT @smkoneru: SS Rajamouli garu and family,  Puri Jagan,  Ram Gopal Varma and others are here.. Movie is starting in 2 mins #TemperMania"
"41",0,"RT @AndhraBoxOffice: Surprisingly Staying true to his Tweets... RGV watching #Temper Early morning show in Kukatpally along with Puri, Rajaâ¦"
"42",1,"RT @HarshaAdonis: Watching Temper benefit show now in Mallikarjuna. Rajamouli garu and Puri garu attended. Tarak will come in sometime."
"43",0,"RT @AndhraBoxOffice: Surprisingly Staying true to his Tweets... RGV watching #Temper Early morning show in Kukatpally along with Puri, Rajaâ¦"
"44",0,"RT @smkoneru: SS Rajamouli garu and family,  Puri Jagan,  Ram Gopal Varma and others are here.. Movie is starting in 2 mins #TemperMania"
"45",0,"RT @AndhraBoxOffice: Surprisingly Staying true to his Tweets... RGV watching #Temper Early morning show in Kukatpally along with Puri, Rajaâ¦"
"46",0,"RT @smkoneru: SS Rajamouli garu and family,  Puri Jagan,  Ram Gopal Varma and others are here.. Movie is starting in 2 mins #TemperMania"
"47",0,"RT @smkoneru: SS Rajamouli garu and family,  Puri Jagan,  Ram Gopal Varma and others are here.. Movie is starting in 2 mins #TemperMania"
"48",0,"RT @AndhraBoxOffice: Surprisingly Staying true to his Tweets... RGV watching #Temper Early morning show in Kukatpally along with Puri, Rajaâ¦"
"49",0,"RT @AndhraBoxOffice: Surprisingly Staying true to his Tweets... RGV watching #Temper Early morning show in Kukatpally along with Puri, Rajaâ¦"
"50",0,"RT @smkoneru: SS Rajamouli garu and family,  Puri Jagan,  Ram Gopal Varma and others are here.. Movie is starting in 2 mins #TemperMania"
"51",0,"RT @AndhraBoxOffice: Surprisingly Staying true to his Tweets... RGV watching #Temper Early morning show in Kukatpally along with Puri, Rajaâ¦"
"52",0,"RT @smkoneru: SS Rajamouli garu and family,  Puri Jagan,  Ram Gopal Varma and others are here.. Movie is starting in 2 mins #TemperMania"
"53",0,"RT @smkoneru: SS Rajamouli garu and family,  Puri Jagan,  Ram Gopal Varma and others are here.. Movie is starting in 2 mins #TemperMania"
"54",0,"RT @AndhraBoxOffice: Surprisingly Staying true to his Tweets... RGV watching #Temper Early morning show in Kukatpally along with Puri, Rajaâ¦"
"55",0,"RT @smkoneru: SS Rajamouli garu and family,  Puri Jagan,  Ram Gopal Varma and others are here.. Movie is starting in 2 mins #TemperMania"
