"","word","freq"
"rajamouli","rajamouli",516
"show","show",499
"temper","temper",427
"garu","garu",269
"benefit","benefit",190
"will","will",187
"first","first",179
"watch","watch",160
"come","come",130
"tarak","tarak",130
"coming","coming",125
"hyd","hyd",120
"may","may",118
"interval","interval",116
"theatre","theatre",115
"garupuri","garupuri",114
"mallikharjuna","mallikharjuna",109
"movie","movie",89
"mallikarjuna","mallikarjuna",73
"hyderabad","hyderabad",57
"watching","watching",56
"gopal","gopal",54
"puri","puri",54
"familypuri","familypuri",53
"inmins","inmins",53
"jaganram","jaganram",53
"others","others",53
"starting","starting",53
"tempermania","tempermania",53
"varma","varma",53
"son","son",52
"baahubali","baahubali",48
"http","http",48
"rajamoulis","rajamoulis",48
"theatrekukatpally","theatrekukatpally",46
"film","film",44
"along","along",37
"kukatpally","kukatpally",36
"rgv","rgv",35
"fans","fans",34
"tweets","tweets",34
"early","early",33
"morning","morning",33
"ntrs","ntrs",33
"raja","raja",33
"staying","staying",33
"surprisingly","surprisingly",33
"true","true",33
"prabhas","prabhas",30
"read","read",26
"herentr","herentr",24
"anushka","anushka",22
"now","now",17
"director","director",16
"next","next",16
"bahubali","bahubali",13
"gonna","gonna",13
"sometime","sometime",13
"watched","watched",13
"attended","attended",12
"believes","believes",12
"distributor","distributor",12
"going","going",12
"hattrick","hattrick",12
"kajal","kajal",12
"karthikeya","karthikeya",12
"noted","noted",12
"release","release",12
"rgvnithin","rgvnithin",12
"tollywood","tollywood",12
"verdict","verdict",12
"rana","rana",11
"number","number",10
"says","says",10
"tamil","tamil",10
"one","one",9
"shankar","shankar",9
"shooting","shooting",9
"ajithundisputedemperorofopening","ajithundisputedemperorofopening",8
"audio","audio",8
"bought","bought",8
"country","country",8
"ntr","ntr",8
"rajini","rajini",8
"thalagvm","thalagvm",8
"wished","wished",8
"yennaiarindhaal","yennaiarindhaal",8
"arranged","arranged",7
"can","can",7
"made","made",7
"see","see",7
"short","short",7
"tamannaah","tamannaah",7
"theater","theater",7
"updates","updates",7
"vikram","vikram",7
"young","young",7
"attend","attend",6
"benifit","benifit",6
"click","click",6
"even","even",6
"february","february",6
"getting","getting",6
"good","good",6
"hit","hit",6
"hollywood","hollywood",6
"jagannadh","jagannadh",6
"know","know",6
"kphb","kphb",6
"launch","launch",6
"new","new",6
"people","people",6
"requested","requested",6
"role","role",6
"sir","sir",6
"talk","talk",6
"action","action",5
"anukuni","anukuni",5
"anushkashetty","anushkashetty",5
"artist","artist",5
"asrajamouli","asrajamouli",5
"avvalsochedi","avvalsochedi",5
"celebrity","celebrity",5
"closer","closer",5
"commit","commit",5
"fan","fan",5
"feeling","feeling",5
"films","films",5
"fire","fire",5
"gossip","gossip",5
"hammaya","hammaya",5
"lauchedus","lauchedus",5
"lekapothe","lekapothe",5
"miss","miss",5
"moviebahubali","moviebahubali",5
"needs","needs",5
"part","part",5
"positive","positive",5
"rejoices","rejoices",5
"relaxed","relaxed",5
"share","share",5
"shettymovie","shettymovie",5
"shows","shows",5
"spirit","spirit",5
"steps","steps",5
"teaser","teaser",5
"teasertrailer","teasertrailer",5
"theprabhas","theprabhas",5
"tiger","tiger",5
"untadu","untadu",5
"work","work",5
"biggies","biggies",4
"care","care",4
"daggubati","daggubati",4
"day","day",4
"detailsmallikarjuna","detailsmallikarjuna",4
"diwalivizag","diwalivizag",4
"done","done",4
"dont","dont",4
"family","family",4
"finally","finally",4
"flick","flick",4
"garufew","garufew",4
