"","ti","age","id","au","ve","nC","nP","nR","at","msg","path"
"1",2015-01-27 06:00:22,0.0412557460229706,"z13xsl1ohnrqxljty22wfhqjonj0cnjyt04","102208024084006498649","post",0,0,0,"article","A quick reference of World Map on your Android Device... Hurry up!Download : http://bit.ly/1zmUR9ETrending Tags : #NortheasternUnitedStates #RKLaxman #AshokaChakra #KunalKhemu #MissUniverse #MalaysiaAirlines #Kick2 #Odisha #RepublicDay #RoyalRumble #Dhanush #Rajinikanth #YennaiArinthaal #AmitabhBachan #Shamitabh﻿","https://plus.google.com/102208024084006498649"
"2",2015-01-27 04:49:48,0.09026558548488,"z12xs1hrinflz5bzt04cflhqtymhw12hzv40k","102208024084006498649","post",0,0,0,"article","Valentines day Special App for u ... SMS, Poems, Love Meter all in one app.. Download : http://bit.ly/1CJpEgqTrending Tags : #NortheasternUnitedStates #RKLaxman #AshokaChakra #KunalKhemu #MissUniverse #MalaysiaAirlines #Kick2 #Odisha #RepublicDay #RoyalRumble #Dhanush #Rajinikanth #YennaiArinthaal #AmitabhBachan #Shamitabh﻿","https://plus.google.com/102208024084006498649"
"3",2015-01-26 08:32:38,0.935514915800757,"z13yjxcawx3qwbp2222gvdswqk32glfjp04","110148679265950426905","share",0,1,0,"photo","#Dhanush #Ulaganayagan #KamalHaasan #AmitabhBachchan #Superstar #Rajinikanth﻿","https://plus.google.com/110148679265950426905"
"4",2015-01-26 05:25:20,1.06558281404829,"z12gcvdjrpm5vfltz23tuv0o1mqqzz42l","105069700762249140042","post",0,0,0,"article","#KamalHaasan, #Amitabh, #Rajinikanth felicitate #Ilayaraaja#News #Telugunews #TelanganaNEWS #AndhraPradeshnews #abnnews﻿","https://plus.google.com/105069700762249140042"
"5",2015-01-25 14:18:14,1.69552217824316,"z12mutygjuaixh3j204cetmg0qb3xjkiyak","106033972117204862213","post",0,0,0,"photo","Padma award for #AmitabhBachchan and #RajinikanthRead More @ http://kalakkalcinema.com/padma-award-amitabh-bachchan-rajinikanth/﻿","https://plus.google.com/106033972117204862213"
"6",2015-01-25 11:30:26,1.81204476240057,"z13gyj54opyfyhim222pe1pq2xv1hh1hi04","112278434025325442378","post",0,8,0,"photo","&quot;Natpu na enna theriyuma, Nanban na enna theriyuma, Suriya na ennanu theriyuma&quot;Wait Few more hours to watch our ‪#‎Superstar‬&#39;s Superhit Friendship movie ‪#‎Thalapathi‬ Starring #Rajinikanth #Mammootty ‪#‎ArvindSwami‬ and #Shobana today at 7pm ..Watch Only on your KTV﻿","https://plus.google.com/112278434025325442378"
"7",2015-01-25 10:58:24,1.83428786602009,"z121zxu52zussbaqs04cdhkgxtm3gvxqj3k","113295860241396772067","post",0,0,0,"video","Watch Exclusive Kakki Sattai All Star Remix from Movie Addict Team!#Ajith #Vijay #Kamal #Rajinikanth﻿","https://plus.google.com/113295860241396772067"
"8",2015-01-25 10:30:38,1.85356937985453,"z13cfffbezmowfg3q23ovnxjnmf1xhhg204","108065189420961112771","post",0,8,0,"photo","#Rajinikanth agrees to compensate distributors for #Lingaa loss. Read here http://ow.ly/HTd2e﻿","https://plus.google.com/108065189420961112771"
"9",2015-01-25 07:10:43,1.99240025800135,"z12sv3brxsylcddj304cf1qj5qqayrmqdx00k","115623545613002043203","post",0,2,0,"article","Superstar to be awarded ‘Padma Vibushan’.Rajnikanth to be honored with a &#39;Padma Vibushan&#39; on Republic day, 2015.Read More : http://www.vuin.net/news-english/superstar-to-be-awarded-padma-vibushan#Rajinikanth #PadmaVibushan﻿","https://plus.google.com/115623545613002043203"
"10",2015-01-25 05:20:13,2.06913762033538,"z12gfv5gszywwjujk04ccnajlw3se1cr32s","117005240537539957124","share",0,5,0,"photo","New Delhi: This Republic Day, Modi government is planning to give Padma Awards to 148 personalities in the country.The list includes former deputy PM L K Advani, Baba Ramdev, Sri Sri Ravi Shankar and Amitabh Bachchan.According to reports published in a English newspaper; Rajinikanth, Punjab Chief Minister Parkash Singh Badal and more than two dozen doctors arealso in the Padma awards list.Padma Vibhushan Award‬ is the 2nd Highest Civilian Award. It ranks behind the Bharat Ratna and comes before the Padma Bhushan and Padma Shri. #rajinikanth   #rajini   #rajnikanth   #padmabhushan   #padmavibhushan   #bharatratna   #padmashri   #thalaivaa   #thalaivar   #thalaiva   #amitabhbachchan   #newdelhi   #barackobama   #obamainindia   #obamaindiavisit  ﻿","https://plus.google.com/117005240537539957124"
"11",2015-01-25 04:03:48,2.12221056926582,"z130fpsgwxq0sj1w204cedcp3ongi1vy41s","104165316844447933769","share",0,0,0,"photo","That&#39;s why we call him Thalaivar ^^ #thalaivar   #thalaivaa   #thalaiva   #kollywood   #kollywoodupdates   #rajinikanth   #rajini   #rajnikanth   #superstar   #tamil   #tamilcinema  ﻿","https://plus.google.com/104165316844447933769"
"12",2015-01-25 03:51:34,2.13071019647574,"z13futqr4r20ejzoj04cj5qrjrzltdsiddc","106758925975820658380","share",0,0,0,"photo","New Delhi: This Republic Day, Modi government is planning to give Padma Awards to 148 personalities in the country.The list includes former deputy PM L K Advani, Baba Ramdev, Sri Sri Ravi Shankar and Amitabh Bachchan.According to reports published in a English newspaper; Rajinikanth, Punjab Chief Minister Parkash Singh Badal and more than two dozen doctors arealso in the Padma awards list.Padma Vibhushan Award‬ is the 2nd Highest Civilian Award. It ranks behind the Bharat Ratna and comes before the Padma Bhushan and Padma Shri. #rajinikanth   #rajini   #rajnikanth   #padmabhushan   #padmavibhushan   #bharatratna   #padmashri   #thalaivaa   #thalaivar   #thalaiva   #amitabhbachchan   #newdelhi   #barackobama   #obamainindia   #obamaindiavisit  ﻿","https://plus.google.com/106758925975820658380"
"13",2015-01-25 02:28:03,2.18870642883082,"z13ofty4zmjpifomo220jnehipebszaok04","111323013198302899444","share",0,0,0,"photo","Superstar  #Rajinikanth  gets  Padma Vibhusan on Republic Day.Second Highest Award of India.﻿","https://plus.google.com/111323013198302899444"
"14",2015-01-25 02:20:12,2.1941491845802,"z12jirjj0nf1hfm1423oh5gopuj5u5zvr","110106394783067797602","post",0,2,0,"photo","#AishwaryaDhanush #Rajinikanth #KamalHaasan #AksharaHaasan #ShrutiHaasan﻿","https://plus.google.com/110106394783067797602"
