"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","path"
"1","RT @amanchauhans: Sorry everyone. Zuckerberg just informed me that rajinikanth broke facebook :( #facebookdown

Whoops.

SO SORRY.",FALSE,0,NA,2015-01-27 06:57:47,FALSE,NA,"559968495497007104",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","vishal_Rawlani",1,TRUE,FALSE,NA,NA,"https://twitter.com/vishal_Rawlani"
"2","Calls for a debate. Good one @sekartweets http://t.co/wLKnZynm3Z You should write abt Vijay versus Ajith ;)",FALSE,1,NA,2015-01-27 06:57:38,FALSE,NA,"559968457496592384",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","pudiharicharan",0,FALSE,FALSE,NA,NA,"https://twitter.com/pudiharicharan"
"3","RT @RajiniFC: #Lingaa - Today’s Tamil Paper AD (27-01-15) - Superstar #Rajinikanth, #AnushkaShetty &amp; #SonakshiSinha - 47th Day http://t.co/…",FALSE,0,NA,2015-01-27 06:57:25,FALSE,NA,"559968402060890112",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","Surya23Surya94",6,TRUE,FALSE,NA,NA,"https://twitter.com/Surya23Surya94"
"4","Sorry everyone. Zuckerberg just informed me that rajinikanth broke facebook :( #facebookdown

Whoops.

SO SORRY.",FALSE,2,NA,2015-01-27 06:56:48,FALSE,NA,"559968248859353088",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","amanchauhans",1,FALSE,FALSE,NA,NA,"https://twitter.com/amanchauhans"
"5","RT @sri50: Appropriate story idea &amp; writing @sekartweets  http://t.co/1IS5U8gDuV",FALSE,0,NA,2015-01-27 06:56:19,FALSE,NA,"559968125882757120",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Alvin3D",4,TRUE,FALSE,NA,NA,"https://twitter.com/Alvin3D"
"6","RT @1eewhittaker: Rajini was so gr8 don't you think? Let us know #Rajinikanth #Lingaa #arrahman    http://t.co/LzSHV7Ezvs""",FALSE,0,NA,2015-01-27 06:50:39,FALSE,NA,"559966698082541570",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","onco2000",41,TRUE,FALSE,NA,NA,"https://twitter.com/onco2000"
"7","RT @KollywudCinema: #KCContest Highest No of People Participated

1. #Vijay in #Kaththi - 529
2. #Suriya in #Anjaan - 511
3. #Rajinikanth i…",FALSE,0,NA,2015-01-27 06:48:01,FALSE,NA,"559966036993134592",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","dicksonroy1",5,TRUE,FALSE,NA,NA,"https://twitter.com/dicksonroy1"
"8","@facebook is down, #Rajinikanth is probably updating his profile pic! @JoelFernandes",FALSE,0,"facebook",2015-01-27 06:41:46,FALSE,NA,"559964464141713408","2425151","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","snehanjan",0,FALSE,FALSE,NA,NA,"https://twitter.com/snehanjan"
"9","RT @sri50: Appropriate story idea &amp; writing @sekartweets  http://t.co/1IS5U8gDuV",FALSE,0,NA,2015-01-27 06:38:32,FALSE,NA,"559963650547408896",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","hardyatrow",4,TRUE,FALSE,NA,NA,"https://twitter.com/hardyatrow"
"10","RT @RajiniFC: #Lingaa - Today’s Tamil Paper AD (27-01-15) - Superstar #Rajinikanth, #AnushkaShetty &amp; #SonakshiSinha - 47th Day http://t.co/…",FALSE,0,NA,2015-01-27 06:33:30,FALSE,NA,"559962385356578817",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","onco2000",6,TRUE,FALSE,NA,NA,"https://twitter.com/onco2000"
"11","7 Badass Indian Film Stunts NOT Performed By Rajinikanth (But Are Just As Awesome) http://t.co/haZWumRTqQ via @HuffPostIndia",FALSE,0,NA,2015-01-27 06:18:23,FALSE,NA,"559958580195893248",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","shenoytech",0,FALSE,FALSE,NA,NA,"https://twitter.com/shenoytech"
"12","RT @sekartweets: My new column: @superstarrajini &amp; #KamalHaasan: Who is going to finish it on a high note?
http://t.co/qv8ZuffaRG http://t.…",FALSE,0,NA,2015-01-27 06:12:14,FALSE,NA,"559957030316679168",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MaNaSAhMeD6",9,TRUE,FALSE,NA,NA,"https://twitter.com/MaNaSAhMeD6"
"13","Arguable perspective from @sekartweets on how #Rajinikanth's stardom is affecting him at the fag end of his career http://t.co/oniuklxl3p",FALSE,2,NA,2015-01-27 06:11:47,FALSE,NA,"559956919578664960",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","MadrasBachelor",0,FALSE,FALSE,NA,NA,"https://twitter.com/MadrasBachelor"
"14","RT @RajiniFC: #Lingaa - Today’s Tamil Paper AD (27-01-15) - Superstar #Rajinikanth, #AnushkaShetty &amp; #SonakshiSinha - 47th Day http://t.co/…",FALSE,0,NA,2015-01-27 06:09:45,FALSE,NA,"559956406858563584",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","DeneshTM",6,TRUE,FALSE,NA,NA,"https://twitter.com/DeneshTM"
"15","RT @KollywudCinema: #KCContest Highest No of People Participated

1. #Vijay in #Kaththi - 529
2. #Suriya in #Anjaan - 511
3. #Rajinikanth i…",FALSE,0,NA,2015-01-27 06:05:37,FALSE,NA,"559955365085724672",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","PriyaVidhya",5,TRUE,FALSE,NA,NA,"https://twitter.com/PriyaVidhya"
"16","No Shankar No Rajinikanth, movie is much bigger than these two people .. Hope people will understand this by #Lingaa and #I ..",FALSE,0,NA,2015-01-27 06:00:40,FALSE,NA,"559954119150936069",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","CaRtIk_S",0,FALSE,FALSE,NA,NA,"https://twitter.com/CaRtIk_S"
"17","RT @sri50: Appropriate story idea &amp; writing @sekartweets  http://t.co/1IS5U8gDuV",FALSE,0,NA,2015-01-27 06:00:12,FALSE,NA,"559954003878875136",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Arun_caddy",4,TRUE,FALSE,NA,NA,"https://twitter.com/Arun_caddy"
"18","RT @sri50: Appropriate story idea &amp; writing @sekartweets  http://t.co/1IS5U8gDuV",FALSE,0,NA,2015-01-27 05:58:24,FALSE,NA,"559953548331335681",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","sai143619",4,TRUE,FALSE,NA,NA,"https://twitter.com/sai143619"
"19","Appropriate story idea &amp; writing @sekartweets  http://t.co/1IS5U8gDuV",FALSE,10,NA,2015-01-27 05:57:45,FALSE,NA,"559953387869835265",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","sri50",4,FALSE,FALSE,NA,NA,"https://twitter.com/sri50"
"20","RT @KollywudCinema: #KCContest Highest No of People Participated

1. #Vijay in #Kaththi - 529
2. #Suriya in #Anjaan - 511
3. #Rajinikanth i…",FALSE,0,NA,2015-01-27 05:48:39,FALSE,NA,"559951097146527747",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Nanbansagaa",5,TRUE,FALSE,NA,NA,"https://twitter.com/Nanbansagaa"
"21","Who's going to finish it on a high note – #Rajini or #Kamal? http://t.co/NZaSw37Jf3 @sekartweets posts a very valid question #NotClickbait",FALSE,1,NA,2015-01-27 05:38:59,FALSE,NA,"559948662017511424",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","msuganth",0,FALSE,FALSE,NA,NA,"https://twitter.com/msuganth"
"22","RT @sekartweets: My new column: @superstarrajini &amp; #KamalHaasan: Who is going to finish it on a high note?
http://t.co/qv8ZuffaRG http://t.…",FALSE,0,NA,2015-01-27 05:36:48,FALSE,NA,"559948113733881858",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","riazahamedmm",9,TRUE,FALSE,NA,NA,"https://twitter.com/riazahamedmm"
"23","You need an Oscar award for your wonderful act. Even Rajinikanth will lose to you.",FALSE,3,NA,2015-01-27 05:34:50,FALSE,NA,"559947620274040833",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","yxges_",1,FALSE,FALSE,NA,NA,"https://twitter.com/yxges_"
"24","RT @KollywudCinema: #KCContest Highest No of People Participated

1. #Vijay in #Kaththi - 529
2. #Suriya in #Anjaan - 511
3. #Rajinikanth i…",FALSE,0,NA,2015-01-27 05:34:22,FALSE,NA,"559947501449400320",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Arun_caddy",5,TRUE,FALSE,NA,NA,"https://twitter.com/Arun_caddy"
"25","RT @RajiniFC: #Lingaa - Today’s Tamil Paper AD (27-01-15) - Superstar #Rajinikanth, #AnushkaShetty &amp; #SonakshiSinha - 47th Day http://t.co/…",FALSE,0,NA,2015-01-27 05:31:41,FALSE,NA,"559946828917907457",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","prem_ramuk",6,TRUE,FALSE,NA,NA,"https://twitter.com/prem_ramuk"
"26","RT @sekartweets: My new column: @superstarrajini &amp; #KamalHaasan: Who is going to finish it on a high note?
http://t.co/qv8ZuffaRG http://t.…",FALSE,0,NA,2015-01-27 05:31:35,FALSE,NA,"559946799830421505",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","jnjprakash",9,TRUE,FALSE,NA,NA,"https://twitter.com/jnjprakash"
"27","RT @KollywudCinema: #KCContest Highest No of People Participated

1. #Vijay in #Kaththi - 529
2. #Suriya in #Anjaan - 511
3. #Rajinikanth i…",FALSE,0,NA,2015-01-27 05:31:05,FALSE,NA,"559946677428027393",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","sakthysaravana",5,TRUE,FALSE,NA,NA,"https://twitter.com/sakthysaravana"
"28","#KCContest Highest No of People Participated

1. #Vijay in #Kaththi - 529
2. #Suriya in #Anjaan - 511
3. #Rajinikanth in #Lingaa - 418",FALSE,17,NA,2015-01-27 05:28:04,FALSE,NA,"559945914702241793",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","KollywudCinema",5,FALSE,FALSE,NA,NA,"https://twitter.com/KollywudCinema"
"29","RT @sekartweets: My new column: @superstarrajini &amp; #KamalHaasan: Who is going to finish it on a high note?
http://t.co/qv8ZuffaRG http://t.…",FALSE,0,NA,2015-01-27 05:27:20,FALSE,NA,"559945733902594048",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","psarjun",9,TRUE,FALSE,NA,NA,"https://twitter.com/psarjun"
"30","RT @sekartweets: My new column: @superstarrajini &amp; #KamalHaasan: Who is going to finish it on a high note?
http://t.co/qv8ZuffaRG http://t.…",FALSE,0,NA,2015-01-27 05:26:39,FALSE,NA,"559945558635188225",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","DrglutHere",9,TRUE,FALSE,NA,NA,"https://twitter.com/DrglutHere"
"31","RT @sekartweets: My new column: @superstarrajini &amp; #KamalHaasan: Who is going to finish it on a high note?
http://t.co/qv8ZuffaRG http://t.…",FALSE,0,NA,2015-01-27 05:23:02,FALSE,NA,"559944648618037248",NA,"<a href=""http://www.samsungmobile.com"" rel=""nofollow"">Samsung Mobile</a>","chikkooong1",9,TRUE,FALSE,NA,NA,"https://twitter.com/chikkooong1"
"32","RT @sekartweets: My new column: @superstarrajini &amp; #KamalHaasan: Who is going to finish it on a high note?
http://t.co/qv8ZuffaRG http://t.…",FALSE,0,NA,2015-01-27 05:15:24,FALSE,NA,"559942729786871808",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M2)</a>","pravenbg",9,TRUE,FALSE,NA,NA,"https://twitter.com/pravenbg"
"33","RT @srikutty45: @superstarrajini and #kamalhaasan Who is going to finish it on a high note? A comparative study of the two legends 
http://…",FALSE,0,NA,2015-01-27 05:15:06,FALSE,NA,"559942654016770053",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ranjithjuly92",4,TRUE,FALSE,NA,NA,"https://twitter.com/ranjithjuly92"
"34","RT @sekartweets: My new column: @superstarrajini &amp; #KamalHaasan: Who is going to finish it on a high note?
http://t.co/qv8ZuffaRG http://t.…",FALSE,0,NA,2015-01-27 05:14:40,FALSE,NA,"559942545556271104",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","outsidetamil",9,TRUE,FALSE,NA,NA,"https://twitter.com/outsidetamil"
"35","I took eight hours to sing : Rajinikanth: Super star Rajinikanth sharing details on how he sang under the musi... http://t.co/q2jXX5RAwO",FALSE,0,NA,2015-01-27 05:11:42,FALSE,NA,"559941799750279168",NA,"<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>","Andhravilasnews",0,FALSE,FALSE,NA,NA,"https://twitter.com/Andhravilasnews"
"36","RT @srikutty45: @superstarrajini and #kamalhaasan Who is going to finish it on a high note? A comparative study of the two legends 
http://…",FALSE,0,NA,2015-01-27 05:08:22,FALSE,NA,"559940961065660416",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","PrincePrithvi",4,TRUE,FALSE,NA,NA,"https://twitter.com/PrincePrithvi"
"37","RT @RajiniFC: #Lingaa - Today’s Tamil Paper AD (27-01-15) - Superstar #Rajinikanth, #AnushkaShetty &amp; #SonakshiSinha - 47th Day http://t.co/…",FALSE,0,NA,2015-01-27 05:06:51,FALSE,NA,"559940578993913856",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","tamiljunkies",6,TRUE,FALSE,NA,NA,"https://twitter.com/tamiljunkies"
"38","RT @sekartweets: My new column: @superstarrajini &amp; #KamalHaasan: Who is going to finish it on a high note?
http://t.co/qv8ZuffaRG http://t.…",FALSE,0,NA,2015-01-27 05:06:18,FALSE,NA,"559940439470387200",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","TCinmyview",9,TRUE,FALSE,NA,NA,"https://twitter.com/TCinmyview"
"39","#Lingaa - Today’s Tamil Paper AD (27-01-15) - Superstar #Rajinikanth, #AnushkaShetty &amp; #SonakshiSinha - 47th Day http://t.co/B6pUgDKOV7",FALSE,7,NA,2015-01-27 05:05:16,FALSE,NA,"559940179733929988",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RajiniFC",6,FALSE,FALSE,NA,NA,"https://twitter.com/RajiniFC"
"40","My new column: @superstarrajini &amp; #KamalHaasan: Who is going to finish it on a high note?
http://t.co/qv8ZuffaRG http://t.co/bQ4PiGQb9L",FALSE,8,NA,2015-01-27 05:03:38,FALSE,NA,"559939768725688321",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","sekartweets",9,FALSE,FALSE,NA,NA,"https://twitter.com/sekartweets"
"41","RT @srikutty45: @superstarrajini and #kamalhaasan Who is going to finish it on a high note? A comparative study of the two legends 
http://…",FALSE,0,NA,2015-01-27 04:59:11,FALSE,NA,"559938647814717441",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","pravin6993",4,TRUE,FALSE,NA,NA,"https://twitter.com/pravin6993"
