"","word","freq"
"rajinikanth","rajinikanth",1524
"padma","padma",455
"superstar","superstar",333
"awards","awards",250
"lingaa","lingaa",229
"amitabh","amitabh",211
"shamitabh","shamitabh",201
"bachchan","bachchan",198
"receive","receive",183
"shruti","shruti",165
"dhanushs","dhanushs",155
"vibhushan","vibhushan",135
"rajinikanths","rajinikanths",128
"dhanush","dhanush",116
"news","news",116
"padmavibhushan","padmavibhushan",113
"took","took",113
"hours","hours",110
"eight","eight",109
"four","four",109
"sing","sing",108
"awarded","awarded",107
"india","india",107
"kamalhaasan","kamalhaasan",105
"get","get",102
"rajini","rajini",102
"launch","launch",100
"lines","lines",99
"web","web",98
"inspired","inspired",94
"mannerisms","mannerisms",94
"day","day",92
"award","award",86
"life","life",86
"bollywood","bollywood",85
"story","story",85
"haasan","haasan",84
"music","music",84
"distributors","distributors",78
"massive","massive",78
"jan","jan",75
"big","big",74
"will","will",73
"loss","loss",72
"losses","losses",71
"republic","republic",70
"compensate","compensate",63
"avoid","avoid",62
"character","character",62
"likely","likely",61
"ramdev","ramdev",60
"set","set",60
"believed","believed",59
"combo","combo",59
"distributor","distributor",59
"highest","highest",59
"lingaas","lingaas",59
"may","may",59
"compensated","compensated",58
"distributers","distributers",58
"way","way",58
"conferred","conferred",57
"appointed","appointed",56
"concept","concept",56
"guess","guess",56
"hype","hype",56
"newall","newall",56
"shankarrajinikanth","shankarrajinikanth",56
"tirupur","tirupur",56
"unique","unique",56
"film","film",54
"said","said",53
"subramaniam","subramaniam",53
"amitabhbachchan","amitabhbachchan",52
"ilaiyaraaja","ilaiyaraaja",52
"read","read",51
"time","time",50
"movie","movie",48
"can","can",47
"just","just",46
"civilian","civilian",45
"beat","beat",44
"dont","dont",44
"know","know",44
"advani","advani",43
"happy","happy",43
"let","let",43
"think","think",43
"arrahman","arrahman",42
"international","international",42
"still","still",42
"thalaivar","thalaivar",42
"times","times",42
"agrees","agrees",41
"aishwarya","aishwarya",41
"court","court",41
"tagpadmavibhushanrajinikanth","tagpadmavibhushanrajinikanth",41
"tamil","tamil",41
"endhiran","endhiran",40
"films","films",39
"true","true",39
"fact","fact",38
"hard","hard",38
"extremely","extremely",37
"kamal","kamal",37
"paper","paper",37
"remainin","remainin",37
"amount","amount",36
"equal","equal",36
"many","many",36
"must","must",36
"singamcollected","singamcollected",36
"suryas","suryas",36
"tuticorin","tuticorin",36
"abroad","abroad",35
"business","business",35
"countries","countries",35
"live","live",35
"vijay","vijay",35
"edition","edition",34
"fans","fans",34
"padmavibhushanif","padmavibhushanif",34
"padmavibhushanrajinikanth","padmavibhushanrajinikanth",34
"programme","programme",34
"tenx","tenx",34
"adsuperstar","adsuperstar",33
"likeuse","likeuse",33
"list","list",32
"padmaawards","padmaawards",32
"robot","robot",32
"becomes","becomes",31
"indian","indian",31
"sridevi","sridevi",31
"make","make",30
"high","high",29
"mumbai","mumbai",29
"political","political",29
"together","together",29
"click","click",28
"duraisingam","duraisingam",28
"lingaatodays","lingaatodays",28
"rajinikanthrt","rajinikanthrt",28
"relief","relief",28
"tribute","tribute",28
"appropriate","appropriate",27
"going","going",27
"rai","rai",27
"see","see",27
"supreme","supreme",27
"unknown","unknown",27
"video","video",27
"baba","baba",26
"performance","performance",26
"producer","producer",26
"second","second",26
"clicked","clicked",25
"sri","sri",24
"yes","yes",24
"agree","agree",23
"audio","audio",23
"honoured","honoured",23
"actor","actor",22
"bonded","bonded",22
"considering","considering",22
"costar","costar",22
"disasterous","disasterous",22
"movies","movies",22
"option","option",22
"rajinikanththe","rajinikanththe",22
"star","star",22
"legends","legends",21
"settle","settle",21
"watch","watch",21
"always","always",20
"new","new",20
"next","next",20
"pay","pay",20
"south","south",20
"two","two",20
"vibushan","vibushan",20
"abdevilliersis","abdevilliersis",19
"actress","actress",19
"debut","debut",19
"legend","legend",19
"nadu","nadu",19
"people","people",19
