"","score","text","path"
"13",-1,"RT @KOREATOWN: Samsung's market share fell by almost one-third in China last year. The country is the Korean company's second-largest markeâ¦","https://twitter.com/LNInspirit"
"25",-1,"$005930:KS Samsung Electronics : considering stock split: executive #SAMSUNG ELECTRONICS CO LTD  http://t.co/okasegPPEz #APEX50","https://twitter.com/FinSentS_APEX50"
"73",-1,"Samsung Electronics reportedly considering stock split - MarketWatch http://t.co/ttkPzjjQCl","https://twitter.com/BIOPHYSIX"
"156",-1,"RT @WSJD: Samsung Electronics considers stock split to spur share trade http://t.co/mUXDzoieDX via @JChengWSJ @LeeMinjeong83","https://twitter.com/LeeMinjeong83"
"160",-1,"RT @hppythegreat: I hate #Samsung í ½í¸­í ½í¸­í ½í¸­í ½í¸­","https://twitter.com/binder_nain"
"173",-1,"RT @WSJD: Samsung Electronics considers stock split to spur share trade http://t.co/mUXDzoieDX via @JChengWSJ @LeeMinjeong83","https://twitter.com/digiscopeonline"
"176",-2,"""Samsung lost a third of its market share in China in 2014, Apple and Xiaomi to blame"" http://t.co/IdDFFRPOwN","https://twitter.com/delVern"
"181",-1,"RT @WSJD: Samsung Electronics considers stock split to spur share trade http://t.co/mUXDzoieDX via @JChengWSJ @LeeMinjeong83","https://twitter.com/consnow"
"192",-1,"RT @WSJD: Samsung Electronics considers stock split to spur share trade http://t.co/mUXDzoieDX via @JChengWSJ @LeeMinjeong83","https://twitter.com/AskAppDev"
"194",-1,"UPDATE 1-Samsung Electronics ponders stock split to appease investors - exec http://t.co/Ht5GoyAXQp","https://twitter.com/MarylnsShop"
"196",-1,"ElectronicComponents Samsung returning to component roots as phone earnings slump: â¦ its biggest customers for...  http://t.co/85TK0zORfn","https://twitter.com/ElectronicsNew_"
"201",-1,"RT @WSJD: Samsung Electronics considers stock split to spur share trade http://t.co/mUXDzoieDX via @JChengWSJ @LeeMinjeong83","https://twitter.com/smobooth"
"202",-1,"RT @WSJD: Samsung Electronics considers stock split to spur share trade http://t.co/mUXDzoieDX via @JChengWSJ @LeeMinjeong83","https://twitter.com/JChengWSJ"
"205",-1,"RT @WSJD: Samsung Electronics considers stock split to spur share trade http://t.co/mUXDzoieDX via @JChengWSJ @LeeMinjeong83","https://twitter.com/jaffri"
