"","score","text","path"
"2",1,"Samsung Launches Galaxy A5 and Galaxy A3 In Kenya: Competitive Pricing In Tow http://t.co/EURP9KlKch via @changarampatt  congratulations.","https://twitter.com/marto_n"
"4",1,"ME. 
""@theskeleclique: Somebody clicked the video chat button on snapchat to me and i was like this with my Samsung http://t.co/H3r1fAuJbc""","https://twitter.com/grrables"
"12",1,"@WSJ I don't care the reason of the acquisition but the reason that lead Samsung to choose BB!","https://twitter.com/Andreacocco87"
"14",1,"Timeway China hot sale lcd screen for samsung galaxy s3... http://t.co/rkl3XGozbR","https://twitter.com/Timewaymary"
"72",1,"Samsung notable s deals - gives yourself the dojiggy at collar warm-hearted rates: tvYXH http://t.co/7gp2IE5vYY","https://twitter.com/BerthaCarolyn"
"74",1,"Regulator clears 12 models including Xiaomi, Apple, Samsung","https://twitter.com/Quarter4Maedi"
"122",2,"@TechRax keep on doing videos for us. You are the best.  P.S I would like the Samsung galaxy s 5","https://twitter.com/BeUstuc"
"124",1,"@amitesh_singh @ashwin_kp @satya_pavan @schrods_bitch @deckshutter You work in a Samsung factory. How dare you think so!!","https://twitter.com/soumen_banerjee"
"127",1,"#Most #popular ##Samsung #Note #auctions: Number of View: 1 Some recent Samsung Noteâ¦ http://t.co/ggNvW3UViq","https://twitter.com/davyousafnv"
"130",1,"RT @Samsung_ID: Submit your #BeginANew things in 2015 and win Samsung GALAXY A! http://t.co/ZjyS4oWjlE http://t.co/TqP4EAzbtY","https://twitter.com/geoandra1"
"147",1,"Samsung idol playmate duos specifications pro pros and cons: mPl","https://twitter.com/BrendaWalter14"
"148",1,"I liked a @YouTube video from @superscientific http://t.co/p2MpxQLxsh Samsung Galaxy Note 4 Review After 3 Months! (Shot in 4K with","https://twitter.com/SrgntBallistic"
"153",1,"RT @phonearena: Poll results: Would you like Samsung to trim down TouchWiz UI? - http://t.co/VzUuaWxPQX","https://twitter.com/MaxInWeb"
"165",1,"I liked a @YouTube video from @androidauth http://t.co/BCB7Q5bwj6 Samsung Galaxy A5 Review!","https://twitter.com/prudenciocarlo"
"167",2,"RT @freepornx: Free porn videos http://t.co/2pSbzlrsdo #samsung #handy #sex #games #blackberry #free #app #porn http://t.co/wRWkrj3wjj","https://twitter.com/revoluza_xxx"
"168",2,"RT @freepornx: Free porn videos http://t.co/2pSbzlrsdo #samsung #handy #sex #games #blackberry #free #app #porn http://t.co/wRWkrj3wjj","https://twitter.com/follow_back158"
"175",2,"Samsung has to come with new phones in 10-25k market which is today dominated by players like one+, xiaomi, micromax, xolo,spice,lava etc...","https://twitter.com/srikanthkg"
"184",1,"Is the Tizen based Samsung Gear 2 Neo smartwatch a worthy contender? @MakeUseOf finds out!  #giveaway http://t.co/mI8TGg5vnt","https://twitter.com/analosada_"
"197",1,"RT @Samsung_ID: Submit your #BeginANew things in 2015 and win Samsung GALAXY A! http://t.co/ZjyS4oWjlE http://t.co/TqP4EAzbtY","https://twitter.com/ozilkurnia13"
"211",1,"RT @vanskyut: join the great Samsung Smart Oven giveaway @annalyn @samsungPH @gheecas @anleyMited @kingmariacez1 @terrygeguirra http://t.coâ¦","https://twitter.com/anleyMited"
"217",1,"I liked a @YouTube video http://t.co/JQwwYo7AUV Samsung Galaxy S4 Battery Cover Mod","https://twitter.com/perrydaeziouh"
"231",1,"Is the Tizen based Samsung Gear 2 Neo smartwatch a worthy contender? @MakeUseOf finds out!  #giveaway http://t.co/1UeyUHLztH","https://twitter.com/keg_dogg"
"253",1,"Samsung bringing a lighter touch of the wiz in Galaxy S6, says report http://t.co/ibrGmqHg0M","https://twitter.com/vestedventures"
"254",1,"@_14KaratGold I see you're going to Atlanta &amp;&amp; yea like I swear I see a new person from Samsung daily","https://twitter.com/_soprettylike21"
"267",1,"RT @DailyTechFacts: Samsung is a very diversified company. They even have a life insurance subdivision!","https://twitter.com/AppleTwD"
"268",2,"RT @SamsungMalaysia: No more forgetting to clean the filter on your dryer with Samsung Dryer's helpful reminder! http://t.co/Xh6iTffwof httâ¦","https://twitter.com/Tahir429"
