"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","path"
"1","RT @DealsCornerIn: Samsung Galaxy S3 Neo Only Rs.14,172 http://t.co/iwO2oUUdSo http://t.co/jqHAcKv7o7",FALSE,0,NA,2015-01-20 07:12:15,FALSE,NA,"557435420745551872",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Pinalshah28",2,TRUE,FALSE,NA,NA,"https://twitter.com/Pinalshah28"
"2","Samsung Launches Galaxy A5 and Galaxy A3 In Kenya: Competitive Pricing In Tow http://t.co/EURP9KlKch via @changarampatt  congratulations.",FALSE,0,NA,2015-01-20 07:12:10,FALSE,NA,"557435399212388352",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","marto_n",0,FALSE,FALSE,"36.8109192","-1.2732126","https://twitter.com/marto_n"
"3","RT @Lynnsgr8byz: WRISTLET CLUTCH for iPHONE or Samsung Note 4 by gr8byz on Etsy http://t.co/JYeX7NqYJD http://t.co/w1mDnPI7nQ",FALSE,0,NA,2015-01-20 07:12:08,FALSE,NA,"557435392845049856",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","rossiter_lisa",3,TRUE,FALSE,NA,NA,"https://twitter.com/rossiter_lisa"
"4","ME. 
""@theskeleclique: Somebody clicked the video chat button on snapchat to me and i was like this with my Samsung http://t.co/H3r1fAuJbc""",FALSE,0,NA,2015-01-20 07:12:03,FALSE,NA,"557435371160494080",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","grrables",0,FALSE,FALSE,NA,NA,"https://twitter.com/grrables"
"5","“@WSJ: What a Samsung executive had to say on a BlackBerry acquisition: http://t.co/i3htYKIWwb http://t.co/gLyf1N4jCz” Love the blackberry!",FALSE,0,"WSJ",2015-01-20 07:12:01,FALSE,"557428433853370369","557435359856832512","3108351","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","danielrsegundo",0,FALSE,FALSE,NA,NA,"https://twitter.com/danielrsegundo"
"6","China Supplier for samsung i9300 lcd replacment(with... http://t.co/LHiCeIuzUU",FALSE,0,NA,2015-01-20 07:11:56,FALSE,NA,"557435339946471425",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","Timewaymary",0,FALSE,FALSE,NA,NA,"https://twitter.com/Timewaymary"
"7","RT @cyberparse: #Samsung CES Booth Tour: Tablets, Phones, and Core M ATIV Book 9 http://t.co/gpQOV8QybL #news #technology #technologynews",FALSE,0,NA,2015-01-20 07:11:44,FALSE,NA,"557435291892740096",NA,"<a href=""http://www.hyenaware.com"" rel=""nofollow"">AllTechBot</a>","AllTechBot",1,TRUE,FALSE,NA,NA,"https://twitter.com/AllTechBot"
"8","SAMSUNG 840EVO 250GB SATA3 2.5"" #SSD INTERNAL SOLID STATE DRIVE LAPTOP http://t.co/KcBM5uZTqB http://t.co/YXd5OouamC",FALSE,0,NA,2015-01-20 07:11:43,FALSE,NA,"557435284863082496",NA,"<a href=""http://tweet-eye.com/"" rel=""nofollow"">Tweet Eye Affiliate</a>","PC_Select",0,FALSE,FALSE,NA,NA,"https://twitter.com/PC_Select"
"9","Samsung Android's Witty Humor Once Again Slaps Apple's iPhone in New Video Ad http://t.co/KamqPATO7D",FALSE,0,NA,2015-01-20 07:11:40,FALSE,NA,"557435275467837440",NA,"<a href=""http://www.ajaymatharu.com/"" rel=""nofollow"">Tweet Old Post</a>","DocPhoneFix",0,FALSE,FALSE,NA,NA,"https://twitter.com/DocPhoneFix"
"10","Timeway Factory Price lcd screen for samsung galaxy s3... http://t.co/ayJ6oEylG1",FALSE,0,NA,2015-01-20 07:11:35,FALSE,NA,"557435254206504960",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","Timewaymary",0,FALSE,FALSE,NA,NA,"https://twitter.com/Timewaymary"
