"","x"
"1","""Samsung lost a third of its market share in China in 2014, Apple and Xiaomi to blame"" http://t.co/IdDFFRPOwN"
"2","my old samsung smartphone was breakdown several days ago. everytime I pull on button, it will keep vibrating. is it becos the battery?"
"3","fuck samsung ahh now you open up my phone then the lcd crack and you're asking me to pay 480 to repair"
"4","Shit heads with green messages ain't loyal... Talkin shit when you textin from a damn Samsung Galaxy sit your pathetic ass back down"
"5","Samsung forecasts 60% fall in profit Samsung Electronics forecasts a 60% fall in third-quarter operat,,,"
"6","Samsung forecasts bleak Q3 as smartphone sales suffer"
"7","Samsung's issued a warning that it's Q3 profits are kinda crummy -- actually, they're down 60 per ce"
"8","Samsung attempt to hack EMPERYstore.2014-12-10,08:50. #samsung #hack http://t.co/c7qCkT19i1 http://t.co/22R1yftC3H"
"9","Samsung mulls stock split to attract investors: Analysts said Samsung may be wary of driving its share price t... http://t.co/RwNA2R5KxG"
"10","Samsung mulls stock split to attract investors: Analysts said Samsung may be wary of driving its share price t... http://t.co/CxCKMnoqhP"
"11","Samsung mulls stock split to attract investors: Analysts said Samsung may be wary of driving its share price t... http://t.co/R7SpHJsEQl"
"12","Samsung mulls stock split to attract investors: Analysts said Samsung may be wary of driving its share price t... http://t.co/YxDDCVKxm4"
"13","RT @_santiago2012: So I got a sick ass Samsung tab today but I don't want it lol I hate Samsung"
"14","So I got a sick ass Samsung tab today but I don't want it lol I hate Samsung"
"15","Samsung Electronics says considering stock split: Samsung Electronics is actively considering a share split in... http://t.co/hExIfHCOSz"
"16","Samsung forecasts 60% fall in profit Samsung Electronics forecasts a 60% fall in third-quarter operating prof,,,"
