"","analysis_score","analysis_text"
"1",0,"RT @DealsCornerIn: Samsung Galaxy S3 Neo Only Rs.14,172 http://t.co/iwO2oUUdSo http://t.co/jqHAcKv7o7"
"2",1,"Samsung Launches Galaxy A5 and Galaxy A3 In Kenya: Competitive Pricing In Tow http://t.co/EURP9KlKch via @changarampatt  congratulations."
"3",0,"RT @Lynnsgr8byz: WRISTLET CLUTCH for iPHONE or Samsung Note 4 by gr8byz on Etsy http://t.co/JYeX7NqYJD http://t.co/w1mDnPI7nQ"
"4",1,"ME. 
""@theskeleclique: Somebody clicked the video chat button on snapchat to me and i was like this with my Samsung http://t.co/H3r1fAuJbc"""
"5",0,"â@WSJ: What a Samsung executive had to say on a BlackBerry acquisition: http://t.co/i3htYKIWwb http://t.co/gLyf1N4jCzâ Love the blackberry!"
"6",0,"China Supplier for samsung i9300 lcd replacment(with... http://t.co/LHiCeIuzUU"
"7",0,"RT @cyberparse: #Samsung CES Booth Tour: Tablets, Phones, and Core M ATIV Book 9 http://t.co/gpQOV8QybL #news #technology #technologynews"
"8",0,"SAMSUNG 840EVO 250GB SATA3 2.5"" #SSD INTERNAL SOLID STATE DRIVE LAPTOP http://t.co/KcBM5uZTqB http://t.co/YXd5OouamC"
"9",0,"Samsung Android's Witty Humor Once Again Slaps Apple's iPhone in New Video Ad http://t.co/KamqPATO7D"
"10",0,"Timeway Factory Price lcd screen for samsung galaxy s3... http://t.co/ayJ6oEylG1"
"11",0,"Rumoured Samsung Galaxy S6 Edge will have two curved edges http://t.co/mo2d7lMD09"
"12",1,"@WSJ I don't care the reason of the acquisition but the reason that lead Samsung to choose BB!"
"13",-1,"RT @KOREATOWN: Samsung's market share fell by almost one-third in China last year. The country is the Korean company's second-largest markeâ¦"
"14",1,"Timeway China hot sale lcd screen for samsung galaxy s3... http://t.co/rkl3XGozbR"
"15",0,"RT @WSJ: What a Samsung executive had to say on a BlackBerry acquisition: http://t.co/QkiCHW6vFo http://t.co/Ox73dfv9QF"
"16",0,"Samsung n148 slicked up brushed bearings denouement prized hereby the the population: oVwR"
"17",0,"Samsung Said to be Set to Announce Galaxy S6 With Dual-Edge Display http://t.co/2OCPDjbCrV via @TechnoBuffalo"
"18",0,"tongsis 35,fisheye 40, powerbank samsung 20rb 110,vapor X6 rotary 180 @beelstorez 082299588885/2A795B67 http://t.co/OorvVrEQmv !"
"19",0,"Samsung Galaxy S6 Will Have 4GB Of RAM http://t.co/07AXaFtr9S"
"20",0,"#2: Samsung Galaxy S3 Mini GT-i8200 Factory Unlocked International Version - WHITE http://t.co/4YmePoICGE"
"21",0,"Motorcycle Bluetooth Helmet Headset for Samsung Galaxy Note 2  http://t.co/YuEi54Rt0v http://t.co/hiIdx0Eq3S"
"22",0,"Full Motion Articulating Tv Wall Mount for Samsung 37â³ 40â³ 42â³ 46â³ 50â³ 52â³ 55â³ Flat Panel Displays **Free HDMI.. http://t.co/MFv89mV4w3"
"23",0,"President of Jony Iveâs old company is now in charge of Samsung design http://t.co/7hehFQYTUA #apple #mac"
"24",0,"Samsung is religious smhí ½í¸¤"
"25",-1,"$005930:KS Samsung Electronics : considering stock split: executive #SAMSUNG ELECTRONICS CO LTD  http://t.co/okasegPPEz #APEX50"
"26",0,"Save #21k as you buy this Samsung Series 5 LED TV for just #69,500..click here &gt;&gt;http://t.co/i0UylApVvr"" rel=""nofollow"""
"27",0,"""@WSJ: What a Samsung executive had to say on a BlackBerry acquisition: http://t.co/NbQshAvKdZ http://t.co/I9tykEU3Ws"""
"28",0,"RT @Greattweets2go: Samsung Wants To Partner With BlackBerry Ltd (BBRY), Not Buy It: J.K. Shin: These reasons include the com... http://t.câ¦"
"29",0,"2015 Samsung Big Game Pre-order Specials
Save $700 on the Samsung 60-Inch 1080p 240Hz 3D TV
http://t.co/ivcK7pvgL8 http://t.co/SmtnhRroVd"
"30",0,"2015 Samsung Big Game Pre-order Specials
Save $900 on the Samsung 65-Inch 1080p 240Hz 3D TV
http://t.co/bo0KCkoil8 http://t.co/rcmeivQfh6"
"31",0,"new product for samsung galaxy s4 lcd digitizer(without... http://t.co/iOK3TlSd5Y"
"32",0,"2015 Samsung Big Game Pre-order Specials
Save $1,200 on the Samsung 60-Inch 4K Ultra HD 3D TV
http://t.co/S4IhalbKOI http://t.co/9nBwll6zzd"
"33",0,"Samsung Galaxy Tab 3 Lite 8 GB, Wi-Fi, 7 &amp;quot; in Dark Gray SM-T110 Dark Gray ... http://t.co/1Y22lVEsHJ http://t.co/gg8u74CRDG"
"34",0,"2015 Samsung Big Game Pre-order Specials
Save $1,200 on the Samsung 60-Inch 4K Ultra HD 3D TV
http://t.co/vZxSsSRikN http://t.co/sUb4VSVvUi"
"35",0,"Refurb Samsung Galaxy K Zoom Smartphone &amp; Camera - Unlocked - Black - Open Box Â£209.97 at Ebayâ¦ http://t.co/eQKeTPWzjl #deal #BlackFriday"
"36",0,"Is Lee coming to fore in Samsung empire? http://t.co/uQIzmpTH4p"
"37",0,"Android Lollipop 5.0 vs Kitkat on Samsung Galaxy S5 Overview and Comparison - Christian Post http://t.co/NzXeIeHtkl #android #news"
"38",0,"Samsung Galaxy S5 Quad-Core 16GB Unlocked GSM Android Smartphone, Gold, $749.95 http://t.co/03YwP6kgq2 http://t.co/RDEa0ahytR"
"39",0,"Samsung Galaxy S5 Quad-Core 16GB Unlocked GSM Android Smartphone, Gold, $749.95 http://t.co/9kmISj2qKN http://t.co/sa8ATAZHR3"
"40",0,"Samsung CY-SUC10SH1/ZA UHD Video Pack only $247.99 http://t.co/swah4AKaOH #shopping #deal"
"41",0,"Samsung Galaxy S5 Quad-Core 16GB Unlocked GSM Android Smartphone, Gold, $749.95 http://t.co/erWw6X5ln7 http://t.co/OJMteq714U"
"42",0,"Samsung Galaxy S5 Quad-Core 16GB Unlocked GSM Android Smartphone, Gold, $749.95 http://t.co/9cwfIUeW49 http://t.co/wBUqxmxvxd"
"43",0,"Samsung Galaxy S5 Quad-Core 16GB Unlocked GSM Android Smartphone, Gold, $749.95 http://t.co/NfHEe28kBP http://t.co/pEZFSlsho2"
"44",0,"Samsung Galaxy S5 Quad-Core 16GB Unlocked GSM Android Smartphone, Gold, $749.95 http://t.co/2n9ZZgGgnQ http://t.co/mesAkpFaCk"
"45",0,"2015 Samsung Big Game Pre-order Specials
Save $1,000 on the Samsung 65-Inch 4K Ultra HD 3D TV
http://t.co/iSoBjofUpq http://t.co/ApHlGPI3os"
"46",0,"Samsung Galaxy S5 Quad-Core 16GB Unlocked GSM Android Smartphone, Gold, $749.95 http://t.co/ydxgP9LGvz http://t.co/Fiuu2ksXdr"
"47",0,"Samsung Galaxy S5 Quad-Core 16GB Unlocked GSM Android Smartphone, Gold, $749.95 http://t.co/uMf50TE9qM http://t.co/Vv8Z8pwMTa"
"48",0,"Samsung Galaxy S5 Quad-Core 16GB Unlocked GSM Android Smartphone, Gold, $749.95 http://t.co/GASxaZ86H4 http://t.co/zOr1tLWujj"
"49",0,"2015 Samsung Big Game Pre-order Specials
Save $1,000 on the Samsung 65-Inch 4K Ultra HD 3D TV
http://t.co/d2Ybxp9eHx http://t.co/lWbDyE9P7B"
"50",0,"Samsung Galaxy S5 Quad-Core 16GB Unlocked GSM Android Smartphone, Gold, $749.95 http://t.co/vPmePA1OUK http://t.co/E5UVInLRE9"
"51",0,"Samsung Galaxy S5 Quad-Core 16GB Unlocked GSM Android Smartphone, Gold, $749.95 http://t.co/coOSCax513 http://t.co/0BBtHCeIfm"
"52",0,"new product digitizer for samsung s4 lcd display(without... http://t.co/hLT56mcEKs"
"53",0,"Samsung Galaxy S5 Quad-Core 16GB Unlocked GSM Android Smartphone, Gold, $749.95 http://t.co/exiHrrmIVV http://t.co/L6ekPrQolo"
"54",0,"Samsung Galaxy S5 Quad-Core 16GB Unlocked GSM Android Smartphone, Gold, $749.95 http://t.co/sDO9onJy7V http://t.co/A40MSOvbuy"
"55",0,"Samsung Galaxy S5 Quad-Core 16GB Unlocked GSM Android Smartphone, Gold, $749.95 http://t.co/uMbKvqUT8y http://t.co/iCqBgbZWh9"
"56",0,"RT @WSJ: What a Samsung executive had to say on a BlackBerry acquisition: http://t.co/QkiCHW6vFo http://t.co/Ox73dfv9QF"
"57",0,"Samsung Galaxy S5 Quad-Core 16GB Unlocked GSM Android Smartphone, Gold, $749.95 http://t.co/dmIfEYuXTR http://t.co/98SXgNOVp2"
"58",0,"2015 Samsung Big Game Pre-order Specials
Save $1,000 on the Samsung 65-Inch 4K Ultra HD 3D TV
http://t.co/325Wjygxcp http://t.co/tPwTuofRz0"
"59",0,"Samsung Galaxy S5 Quad-Core 16GB Unlocked GSM Android Smartphone, Gold, $749.95 http://t.co/koG9bRDJIu http://t.co/byPFyCaqnW"
"60",0,"Samsung Galaxy S5 Quad-Core 16GB Unlocked GSM Android Smartphone, Gold, $749.95 http://t.co/gwHE0FYgc8 http://t.co/QgWyj8qC16"
"61",0,"Samsung Galaxy S5 Quad-Core 16GB Unlocked GSM Android Smartphone, Gold, $749.95 http://t.co/lsS7N0Zqaq http://t.co/iYoWF9tvit"
"62",0,"Samsung Galaxy S5 Quad-Core 16GB Unlocked GSM Android Smartphone, Gold, $749.95 http://t.co/zd2MQucNKy http://t.co/8SQPHHC72X"
"63",0,"Samsung Ventures Leads $20M Round for Israeli EarlySense That Develops a ""Touchless"" Sensor to Monitor Patients http://t.co/UFNNeeoUWp"
"64",0,"Samsung Galaxy S5 Quad-Core 16GB Unlocked GSM Android Smartphone, Gold, $749.95 http://t.co/xRbG0eqLPZ http://t.co/fSvUG3P1l0"
"65",0,"Samsung Galaxy S5 Quad-Core 16GB Unlocked GSM Android Smartphone, Gold, $749.95 http://t.co/fKo0sec4cY http://t.co/QkCtNY1XJ2"
"66",0,"Samsung Galaxy S5 Quad-Core 16GB Unlocked GSM Android Smartphone, Gold, $749.95 http://t.co/Kr40ZdEK4z http://t.co/OvjDmurtwE"
"67",0,"Samsung Galaxy S5 Quad-Core 16GB Unlocked GSM Android Smartphone, Gold, $749.95 http://t.co/ytGHJbK24U http://t.co/d8ZqJlApQ9"
"68",0,"Samsung Galaxy S5 Quad-Core 16GB Unlocked GSM Android Smartphone, Gold, $749.95 http://t.co/yj5z6BPKjM http://t.co/Jaj2vjY0cX"
"69",0,"Samsung Galaxy S5 Quad-Core 16GB Unlocked GSM Android Smartphone, Gold, $749.95 http://t.co/BlJsbobnhR http://t.co/HH0WGvR5SH"
"70",0,"Timeway alibaba China factory price for samsung galaxy s4 i9505(without... http://t.co/I3pCLlWCqI"
"71",0,"Samsung Galaxy S5 Quad-Core 16GB Unlocked GSM Android Smartphone, Gold, $749.95 http://t.co/pQWLKlwExz http://t.co/hAmwxPEbpe"
"72",1,"Samsung notable s deals - gives yourself the dojiggy at collar warm-hearted rates: tvYXH http://t.co/7gp2IE5vYY"
"73",-1,"Samsung Electronics reportedly considering stock split - MarketWatch http://t.co/ttkPzjjQCl"
"74",1,"Regulator clears 12 models including Xiaomi, Apple, Samsung"
"75",0,"Samsung Galaxy S5 Quad-Core 16GB Unlocked GSM Android Smartphone, Gold, $749.95 http://t.co/NW68syB5ph http://t.co/dgRZBEsaqa"
