"","word","freq"
"samsung","samsung",1888
"galaxy","galaxy",1035
"blackberry","blackberry",321
"android","android",235
"smartphone","smartphone",197
"unlocked","unlocked",178
"gsm","gsm",173
"quadcore","quadcore",165
"executive","executive",147
"ebay","ebay",142
"read","read",138
"edge","edge",135
"acquisition","acquisition",131
"new","new",128
"say","say",124
"galaxys","galaxys",108
"stock","stock",98
"tech","tech",98
"leaked","leaked",95
"update","update",95
"ram","ram",91
"blue","blue",90
"korean","korean",88
"gold","gold",86
"slollipop","slollipop",84
"apparently","apparently",83
"electronics","electronics",78
"split","split",78
"note","note",76
"phone","phone",76
"leather","leather",75
"iphone","iphone",74
"analysts","analysts",69
"case","case",62
"see","see",59
"company","company",58
"like","like",58
"cool","cool",54
"offer","offer",53
"cell","cell",52
"charger","charger",52
"touchwiz","touchwiz",52
"denies","denies",51
"now","now",51
"priceusd","priceusd",50
"shares","shares",50
"galaxyssleeve","galaxyssleeve",49
"tmobile","tmobile",49
"reportnews","reportnews",48
"display","display",47
"galaxysleather","galaxysleather",47
"poll","poll",47
"samsungs","samsungs",47
"says","says",47
"results","results",46
"trim","trim",46
"end","end",45
"report","report",45
"version","version",45
"inch","inch",44
"investors","investors",44
"camera","camera",43
"wireless","wireless",43
"crazy","crazy",41
"usb","usb",41
"galaxynoteedge","galaxynoteedge",39
"touch","touch",39
"wifi","wifi",39
"absolutely","absolutely",38
"home","home",38
"big","big",37
"charging","charging",37
"mobilesamsung","mobilesamsung",37
"time","time",37
"curved","curved",36
"fingerprint","fingerprint",36
"smart","smart",36
"game","game",35
"priceusdbids","priceusdbids",35
"tab","tab",35
"check","check",34
"micro","micro",34
"offers","offers",34
"sensor","sensor",34
"tizen","tizen",34
"preorder","preorder",33
"price","price",33
"saveon","saveon",33
"specials","specials",33
"tipped","tipped",33
"adiscount","adiscount",32
"appease","appease",32
"noteonline","noteonline",32
"ponders","ponders",32
"come","come",31
"cover","cover",31
"features","features",31
"iphonestyle","iphonestyle",31
"sport","sport",31
"considering","considering",30
"midnight","midnight",30
"free","free",29
"reportsamsung","reportsamsung",29
"pst","pst",28
"travel","travel",28
"back","back",27
"black","black",27
"first","first",27
"review","review",27
"screen","screen",26
"sleeve","sleeve",26
"white","white",26
"will","will",26
"apple","apple",25
"bluetooth","bluetooth",25
"deals","deals",25
"design","design",25
"look","look",25
"upcoming","upcoming",25
"verizon","verizon",25
"win","win",25
"news","news",24
"samsunggalaxys","samsunggalaxys",24
"buy","buy",23
"galaxyspouch","galaxyspouch",23
"said","said",23
"att","att",22
"making","making",22
"media","media",22
"pad","pad",22
"phones","phones",22
"used","used",22
"video","video",22
"according","according",21
"confirms","confirms",21
"digital","digital",21
"just","just",21
"may","may",21
"oem","oem",21
"smartwatch","smartwatch",21
"ultra","ultra",21
"dual","dual",20
"planning","planning",20
"readmore","readmore",20
"share","share",20
"bestprice","bestprice",19
"led","led",19
"mobilenew","mobilenew",19
"thesamsung","thesamsung",19
"dualedge","dualedge",18
"fisheyepowerbank","fisheyepowerbank",18
"flagshipis","flagshipis",18
"glass","glass",18
"headset","headset",18
"pac","pac",18
"today","today",18
"tongsis","tongsis",18
"vapor","vapor",18
"want","want",18
"displays","displays",17
"filter","filter",17
"get","get",17
"life","life",17
"rotaryab","rotaryab",17
"variant","variant",17
"youre","youre",17
"attract","attract",16
"cable","cable",16
"date","date",16
"mini","mini",16
"notesleeve","notesleeve",16
"organic","organic",16
"sale","sale",16
"two","two",16
"androidsamsunggalaxys","androidsamsunggalaxys",15
"card","card",15
"full","full",15
"gearneo","gearneo",15
"google","google",15
"lcd","lcd",15
"mobile","mobile",15
