"","score","text","path"
"12",-1,"Too early dds-4 outer pinch microfiche dig out farewell sony: RBPKJ","https://twitter.com/BrendaWalter14"
"36",-1,"North Korea denies being behind cyberattack on Sony, demands joint probe - Fox News Latino","https://twitter.com/walkLADU"
"46",-1,"NSA document shows it breached North Korean networks before Sony attack, officials confirm http://t.co/bkYUGfowfo #DPRK #Cyber","https://twitter.com/FrankSlijper"
"51",-2,"RT @ndtv: New James Bond movie script stolen in Sony hack http://t.co/28IbTSP2g1 http://t.co/EoibMkOaJA","https://twitter.com/satish_mevada"
"60",-1,"VIDEO: Jimmy Walker takes dead aim attacking the green at Sony Open http://t.co/DdrNMVbGH7","https://twitter.com/PGATourNewsNow"
"76",-1,"Civil libertarian hackers were behind Sony attack ... http://t.co/BeqotK01Ms","https://twitter.com/SVergaraNews"
"104",-1,"North Korea denies hacking Sony, US stands by its assertion - euronews","https://twitter.com/MediaDivTNEa"
"119",-1,"#Sony why am i hearing nicki minaj through my noise cancelling headset?","https://twitter.com/wheresthebeef11"
"121",-1,"SHANGHAI, Jan 8 (Reuters) - Sony Corp will delay sales of the PlayStation 4 gaming console in China, originally scheduled for Jan","https://twitter.com/krizziaRomerob"
"122",-1,"CNN: North Korea and the Sony hack: The war of words escalates http://t.co/e3dQFFuLE2","https://twitter.com/GlennOstrosky"
"151",-1,"Sony ericsson xperia x7 mini- seems in consideration of occur straight a brass taunt: uzfzWu http://t.co/hFTeTMbv6y","https://twitter.com/BootmanChristin"
"155",-1,"Sony Pictures hackers got sloppy, FBI says - BBC News","https://twitter.com/HelpYouriteS"
"164",-1,"RT @EGeorgantas: CNN: NSA hacking since 2010 led U.S. to blame North Korea for Sony attack http://t.co/ogbnUCPrme","https://twitter.com/DigiRightsIL"
"217",-1,"Sony says PlayStation still has problems, gradually coming back online","https://twitter.com/pauliihnek"
"257",-1,"Twitter suffers outage just as Sony took the stage at CES","https://twitter.com/aven59"
"317",-1,"Wolff on Sony hack: Taking down Goliath","https://twitter.com/DavidBrnsua"
"338",-2,"Sony cyber-attacks: prepare for worst to reduce both vulnerability and liability http://t.co/4z94jwSSvp #DataBreach #ALERT","https://twitter.com/SirkisYoran"
"346",-2,"US knew all about Sony Pictures hack attack as it infiltrated North Koreas computers in 2010: A report has sai... http://t.co/Oxu39yr0tU","https://twitter.com/northkoreannews"
"347",-2,"@RealMatSmith never heard a more tight lipped search after the Gibbs debacle. More of a secret than the Sony hack.","https://twitter.com/Gindro"
"396",-1,"RT @SonyElectronics: Blushing  RT @jtberlin Shoot prep and crushing on this new #Sony 28-135mm f4 zoom lens. #SonyAlpha #SonyA7S http://t.câ¦","https://twitter.com/JAGERSP1"
"413",-1,"@frostegater yeah, very unlikely Sony is gonna release another update though. D:","https://twitter.com/qwikrazor87"
"417",-1,"Sony dawning nex-7 camcorder complex numeric data: upbB http://t.co/uknh1b1ITd","https://twitter.com/MabelTaylor14"
"427",-1,"Poser herself be obliged steal sony ericsson xperia s outer skin dinkum oil insofar as thine handset: RrfbftOMg","https://twitter.com/FraserGardner1"
"435",-1,"â¦so far Sony Pict. appointed forensic company hasn't said much, only ""sofisticated attack"", I bet a network admin was social engineered :P","https://twitter.com/FIRE_EMS_ALERST"
"436",-2,"US knew all about Sony Pictures hack attack as it infiltrated North Korea's computers in 2010 http://t.co/FQCDQN3S5F","https://twitter.com/mwanajamia"
"439",-2,"US knew all about Sony Pictures hack attack as it infiltrated North Korea's computers in 2010 http://t.co/8GrFUzU0Qx","https://twitter.com/mwanajamia"
"441",-1,"WHY was the U.S. SO SURE that Norks hacked Sony? NSA: *BLUSH*' http://t.co/lZUpHY0VmK #security #privacy #cloud","https://twitter.com/NRG_fx"
"445",-1,"When the hell is Sony Australia's website not down for maintenance.","https://twitter.com/downforce"
"486",-2,"RT @Cameron_Gray: Reminder: Same anti-military Hollywood types who are upset about #AmericanSniper, said nothing about racist emails by Sonâ¦","https://twitter.com/AnnaGoinRogue"
"492",-1,"RT @BreakingNews: Report: NSA tapped into North Korean networks before Sony attack, officials and computer experts tell @nytimes http://t.câ¦","https://twitter.com/Aid_Liberty"
"499",-1,"CNN: NSA hacking since 2010 led U.S. to blame North Korea for Sony attack http://t.co/ogbnUCPrme","https://twitter.com/EGeorgantas"
"516",-2,"DTN Korean News: US knew all about Sony Pictures hack attack as it infiltrated North Koreas computers in 2010:... http://t.co/RSqfnTyKfR","https://twitter.com/DTNSouthKorea"
"521",-2,"Sony CEO does not expect studio upheaval after cyber attack","https://twitter.com/eJssicaMarie539"
"525",-1,"NSA breached N Korea networks before Sony attack http://t.co/M9mCHHrU65","https://twitter.com/christoDaniel3"
"528",-1,"Will crawl to buy everything MJ Sony throws together, even while KNOWING??? But do dirty on a book before you even read? Cus...??","https://twitter.com/Dial_Dancer"
"542",-1,"Civil libertarian hackers were behind Sony attack, John McAfee claims http://t.co/uHtFiGOPkA @jswartz ha","https://twitter.com/brendachrist"
"551",-1,"The FBI has concluded North Korea was responsible for the cyber attack on Sony Pictures","https://twitter.com/vanceeva13sn"
"558",-1,"ESPN guys on Walker's major chances, Mickelson's season dÃ©but, Kaymer's scars &amp; short putters: http://t.co/kDPJqzEFow #golf","https://twitter.com/GolfPredictor"
"561",-1,"FBI chief certain North Korea hacked Sony because they ""got sloppy""","https://twitter.com/shawfletrhce"
"581",-2,"#News : #ÐÐ¾Ð²Ð¾ÑÑÐ¸ - US knew all about Sony Pictures hack attack as it infiltrated No... http://t.co/GEkyIXRWsR #Ukraine : #Ð£ÐºÑÐ°Ð¸Ð½Ð°","https://twitter.com/NewsYourLife"
"584",-1,"RT @VentureBeat: You have three days to use Sony's 'we're sorry' discount for the PSN outage http://t.co/I17UUFhqTe by @Jeffgrubb http://t.â¦","https://twitter.com/ivoriccio"
"587",-1,"RT @vinceyue: You have 3 days to use Sonyâs âweâre sorry ... - http://t.co/GCyjJ4Znav
#kickstarter #alldev #iphonegames #javascript #indiedâ¦","https://twitter.com/DigestWordpress"
"599",-2,"US knew all about Sony Pictures hack attack as it infiltrated North Korea's ... - Business Standard http://t.co/FNLIR2gTDx #yugvani","https://twitter.com/yugvaniworld"
"614",-1,"@GZTAEHUN earphones lang na sony bc poor haha","https://twitter.com/SARANGHAETOME"
"620",-1,"RT @VentureBeat: You have three days to use Sony's 'we're sorry' discount for the PSN outage http://t.co/I17UUFhqTe by @Jeffgrubb http://t.â¦","https://twitter.com/xiaome9"
"621",-1,"Report: Inside North Korea's network, NSA saw signs of Sony attack - PCWorld http://t.co/ONvleZmyUA","https://twitter.com/PCtechNews"
"628",-2,"#MP US knew all about Sony Pictures hack attack as it infiltrated North Korea's ... via Business Standard http://t.co/ddlBnUEAGl","https://twitter.com/MinutePost"
"635",-1,"Wolff on Sony hack: Taking down Goliath","https://twitter.com/megavestn"
"638",-1,"Only 3 days to use the 10% PS Store code? That's a bit crap by Sony","https://twitter.com/Foo_fan_Shaun"
"642",-1,"Wolff on Sony hack: Taking down Goliath","https://twitter.com/sdevnm"
