"","score","text","path"
"1",1,"RT @dna: #dnaTech Sony launches smart wearables in India http://t.co/KltEXMNdHS http://t.co/wIko4gzhHn","https://twitter.com/sethusamudramN"
"4",1,"#TravelTuesday: 32 of the most stunning submissions in this year's World #Photography Awards: http://t.co/VIMlQ82s7v #photo #travel","https://twitter.com/getautosocial"
"17",1,"#TravelTuesday: 32 of the most stunning submissions in this year's World #Photography Awards: http://t.co/1w0kV2GMZC #photo #travel","https://twitter.com/autoaffiliates"
"32",2,"RT @kiyui_64: Sony customer support won't tell my why I am suspended, great chat thoug http://t.co/zs1APf6prF http://t.co/YDHmUuUHYi","https://twitter.com/tomone_40"
"41",1,"RT @dna: #dnaTech Sony launches smart wearables in India http://t.co/KltEXMNdHS http://t.co/wIko4gzhHn","https://twitter.com/guluzp"
"61",2,"VIDEO: Jimmy Walker repeats with impressive win at Sony Open | Highlights http://t.co/p7gYLkXIp7","https://twitter.com/PGATourNewsNow"
"67",1,"RT @H1Z1game: In your adventures tonight, if you see a hacker, send their name and the server you are on right away to h1z1hacker@soe.sony.â¦","https://twitter.com/arriibah"
"81",1,"#Sony puts their smartphones, tablet &amp; smart watch under water to prove a point http://t.co/8MpRdyY9t8 http://t.co/wc3lhHQorM","https://twitter.com/SonyRumors"
"113",1,"I love shopping at http://t.co/aD1Yg0qEuc. Checkout what I just bought. http://t.co/JX4jFLpdDa","https://twitter.com/AhujaAditya90"
"114",1,"#dnaTech Sony launches smart wearables in India http://t.co/KltEXMNdHS http://t.co/wIko4gzhHn","https://twitter.com/dna"
"128",1,"@Chupacaubrey I hope you have better luck than me. The game eventually just kept closing the app and sending the error to Sony.
:(","https://twitter.com/R3DGaming"
"170",1,"RT @SonySIX: Watch the @AustralianOpen open on @SonySix and get a chance to win 2 Panasonic Smartphones and 3 Sony SIX goodie bags every daâ¦","https://twitter.com/im_bicky"
"198",3,"@SotLTravis I bought myself the sony NEX. it's like SLR for casuals like myself. don't use it regularly but great for quality vacation pics","https://twitter.com/RiotZephyreal"
"218",1,"RT @H1Z1game: In your adventures tonight, if you see a hacker, send their name and the server you are on right away to h1z1hacker@soe.sony.â¦","https://twitter.com/GruberTV"
"223",2,"RT @anupamachopra: In which @FilmCompanion's @kalpananair wonders if a Sony style hacking might actually be good for Bollywood's health: htâ¦","https://twitter.com/iam2rsppl"
