"","ti","age","id","au","ve","nC","nP","nR","at","msg","path"
"1",2015-01-19 12:36:18,0.000359150071938833,"z13gjzsosob2zlvcb23lxfvijynavpwhs04","115251923363903296891","post",0,0,0,"video","In Tribute to Dr. Martin Luther King JrUniversal Life Church World Headquarters&quot;A Friend of The Family Since 1889&quot; ®╔═════════ ೋღ ღೋ ═══════╗Universal Life Church World Headquarters        &quot;Saving Lives by Finding Jesus&quot;    ©2015 http://www.ulcnetwork.com/╚═════════ ೋღ ღೋ ═══════╝‪#‎universallifechurch‬ ‪#‎brothermichael‬ ‪#‎michaelcauley ‪ #‎christian‬ ‪#‎nondenominational‬ ‪‪#‎bible‬ ‪#‎biblequotes #twitter #pinterest #google+ #facebook #martinlutherking #martinlutherkingjr #mlk #mlkday #JesusChrist﻿","https://plus.google.com/115251923363903296891"
"2",2015-01-19 12:36:09,0.000468663037927062,"z13dh5fhulefglz0q224shsb4pm3izqmt","101203737917632732525","post",0,0,0,"article","Listen to All Night Long by Milli_Boii_4N #np on #SoundCloudhttps://soundcloud.com/milliboiiforeiign/all-night-longSomething new for you if you like to party#tumblr #music #ymz #drake #follow #follwme #original #song #songwriter #newmusic #Ilovemusic #love #lastweekend #weekend #theweekend #newsound #newmusic #YouTube #soundcloud #twitter #instagram #howtorap #howto #support #hiphop #hiphop #lilwayne #young #usher #treysongz #Milli #foreign #foreignmusic #facebook #musicvideo #popmusic #techno #partymusic ﻿","https://plus.google.com/101203737917632732525"
"3",2015-01-19 12:36:01,0.000558203453267062,"z12dcrayjkn2z1lm022zwfyhprj2h5vpv04","114299970176180957187","post",0,0,0,"video","In Tribute to Dr. Martin Luther King JrUniversal Life Church World Headquarters&quot;A Friend of The Family Since 1889&quot; ®╔═════════ ೋღ ღೋ ═══════╗Universal Life Church World Headquarters        &quot;Saving Lives by Finding Jesus&quot;    ©2015 http://www.ulcnetwork.com/╚═════════ ೋღ ღೋ ═══════╝‪#‎universallifechurch‬ ‪#‎brothermichael‬ ‪#‎michaelcauley ‪ #‎christian‬ ‪#‎nondenominational‬ ‪‪#‎bible‬ ‪#‎biblequotes #twitter #pinterest #google+ #facebook #martinlutherking #martinlutherkingjr #mlk #mlkday #JesusChrist﻿","https://plus.google.com/114299970176180957187"
"4",2015-01-19 12:34:02,0.00193125353919135,"z12uuptphpvzx5qdz23vwxjznnnmcv0to","105353663435308226669","post",0,0,0,"video","#AliaBhatt&#39;s Blonde #Jokes Go Viral On #Facebook &amp; #Twitter﻿","https://plus.google.com/105353663435308226669"
"5",2015-01-19 12:33:59,0.00197096297034511,"z13xv1raarmjwzysg23gzh2ivnetdpf4504","110651572305846244409","share",0,0,0,"video","COMMIT TO DEVELOP YOUR BUSINESS OR PERSONAL PROFILE WITH TWITTER INTELLIGENTLY &amp; BRILLIANTLY CRAFTED PROMOTIONAL SERVICES on Twitter, designed to enhance your image and develop your On-line Presence.We craft custom designed &amp; specifically targeted Twitter specialty promotions services, geared to get you tangible results such as MORE Twitter followers, Re-tweets, More favorites, Many more website shares, Hashtags &amp; beautifully crafted comments - all designed to get you THE exposure, relationships &amp; overall results, you are looking for on your Twitter Accounts.We can provide individual results or design a full campaign saving you time and effort. We are here to help you grow and enhance your Twitter reputation and overall social media presence!Enjoy all the benefits today! Let us do the Tweeting for you!Order today only from NurKom Online Promotional Services.NurKom PromotionsBe What You Want To Bewww.nurkompromotions.com© 2015 NurKom Promotions, Los Angeles, CA. #NurKomPromotions   #Official   #Twitter   #Service   #Marketing  #Promotion  #NurKomPictures  ﻿","https://plus.google.com/110651572305846244409"
"6",2015-01-19 12:33:05,0.00259786237169195,"z13ldrrhruamyxtjz04cclpoqlutznv4g3g","116909413897505055172","post",0,0,0,"article","Tips To Get More From Your LinkedIn Account | Elizabeth Pittman http://buff.ly/1Eh3wZQ #SocialMedia #LinkedIn #Twitter #facebook #ALWAYSoN﻿","https://plus.google.com/116909413897505055172"
"7",2015-01-19 12:30:09,0.00462822759868922,"z12xu3mbwpmvfr3cb22duv2b1pbtcb54h04","108434645206738684867","post",0,0,0,"article","How To Get More Genuine Twitter Followers?http://buff.ly/1CnTvIK#Twitter &quot;#SocialMedia #SocialMediaMarketing #ContentMarketing﻿","https://plus.google.com/108434645206738684867"
"8",2015-01-19 12:29:17,0.00522936864031686,"z13jd1pg5pn0e1egv04cfj5pks2ejpjyqv40k","104431576631147793233","post",0,0,0,"photo","Are you on #Twitter ? Follow us http://buff.ly/1ssLYD9 and get a shout out! #KutRoc #Mateo #Kitarah #Maverik #Boston﻿","https://plus.google.com/104431576631147793233"
"9",2015-01-19 12:28:17,0.00592990046849957,"z133wdoy3rfvwpzyo04chpnbws2pzzx5coo0k","107933532743526276474","share",0,0,0,"photo","Social Login And Sharing Trends - Q4 2014 [infographic]65 percent of users prefer logging in with Facebook on a website; Google+ is preferred by 25 percent, Twitter by 3 percent and LinkedIn and Yahoo! by 2 percent for each, according to the latest figures from +LoginRadius.LoginRadius also found that:• Older users are increasingly adopt social login habits with the over 50 age group growing by almost 60 percent between Q4 2013 and Q4 2014.• Logging in with social accounts is quickly gaining popularity on mobile devices.• Of those websites offering social login, Facebook is by far their first choice with Google Plus, Twitter, and LinkedIn also holding a great deal of popularity.On sharing trends side:As expected #Facebook still hosts the most social sharing activity with 85 percent. #Twitter maintains the second place spot while email now has more social share activity than #Google+.For more stats and insights, check out this #infographic.Read it all here: http://www.digitalinformationworld.com/2015/01/social-login-and-social-sharing-trends-2014-infographic.html #socialsharing   #socialmedia   #techtrends   #socialmedianews  ﻿","https://plus.google.com/107933532743526276474"
"10",2015-01-19 12:26:28,0.00718735620379448,"z13berzp3kzijnlk222yczlx4vnoxn0dp","114805663107410657279","share",0,0,0,"video","COMMIT TO DEVELOP YOUR BUSINESS OR PERSONAL PROFILE WITH TWITTER INTELLIGENTLY &amp; BRILLIANTLY CRAFTED PROMOTIONAL SERVICES on Twitter, designed to enhance your image and develop your On-line Presence.We craft custom designed &amp; specifically targeted Twitter specialty promotions services, geared to get you tangible results such as MORE Twitter followers, Re-tweets, More favorites, Many more website shares, Hashtags &amp; beautifully crafted comments - all designed to get you THE exposure, relationships &amp; overall results, you are looking for on your Twitter Accounts.We can provide individual results or design a full campaign saving you time and effort. We are here to help you grow and enhance your Twitter reputation and overall social media presence!Enjoy all the benefits today! Let us do the Tweeting for you!Order today only from NurKom Online Promotional Services.NurKom PromotionsBe What You Want To Bewww.nurkompromotions.com© 2015 NurKom Promotions, Los Angeles, CA. #NurKomPromotions   #Official   #Twitter   #Service   #Marketing  #Promotion  #NurKomPictures  ﻿","https://plus.google.com/114805663107410657279"
