"","score","text","path"
"12",-1,"RT @letsquotecomedy: When you're mad at your chick and look for any reason to get out of the house http://t.co/CcYHM2Rjcx","https://twitter.com/scogg44"
"15",-1,"I think Iâill miss you forever like the stars miss the sun in the morning skies. http://t.co/4ivJ0Pdggt","https://twitter.com/AdreenaLing"
"16",-1,"RT @dahbigj: Many nowadays have quite the disdain for our failed president but I was anti-Obama before it was cool. #NotgoodChange http://tâ¦","https://twitter.com/NoKingButJesus"
"20",-1,"Quite slow connection here, need to catch up on the WiFi network with RadioOpt's TrafficMonitor. Poor #Bethersden http://t.co/iY44D7sMbB","https://twitter.com/ukpages"
"23",-1,"@osnapitzSandy its really ew and has no filter and all that shit http://t.co/XF6giiJ1b4","https://twitter.com/BYEJustxne13"
"38",-1,"@SenatorFischer Japan expanding controversial whaling program #BoycottJapan http://t.co/vE1x5xVe75 http://t.co/UKZoh9HQxc","https://twitter.com/Gr1zz7y"
"65",-1,"Newport is one of the worst places for job growth in the UK. 6500 fewer jobs than last year. Why am I not surprised. http://t.co/KIsTClDdEx","https://twitter.com/CraigD92"
"68",-1,"RT @natebuzz: When a 13 year old tells you to shave your beard"" Who's got a funny caption?? http://t.co/BRx8ZW8lp9","https://twitter.com/BelkaIriha"
"76",-1,"RT @sunnysunwords: This image should be retweeted incessantly http://t.co/bA3iFMrFHq via @jamessmat","https://twitter.com/ameso16"
"84",-1,"RT @autocorrects: The fucking wors http://t.co/jcMxfQ1oV9","https://twitter.com/lexiiiimonroe"
"93",-1,"Taking this little dumpling in for a ""minor surgical procedure"" to remove a suspicious lump. http://t.co/bvXghKcKd9","https://twitter.com/mkramer"
"94",-1,"RT @9GAGGifs: The second hit was really bad - http://t.co/KEde3aRn1h","https://twitter.com/pokkaboo"
"112",-1,"RT @SincerelyTumblr: when you figure out who the killer is before the episode ends http://t.co/t6I4UOG4zl","https://twitter.com/dafinaha"
"126",-1,"RT @EnsiGol: #Iran, Tehran: City workers of Capitalâs district 22 protest #IranTalks @AP @AFP @Reuters @UPI @FoxNews @CBC @CNN http://t.co/â¦","https://twitter.com/asadaftab11"
"133",-1,"RT @sherlockmichael: Blasphemy laws ensure the maintenance of a stupid society.

#AbolishBlasphemyLaws http://t.co/Ob1fNRoKQa","https://twitter.com/B28Blair"
"147",-2,"RT @FCBarcelona: .@Douglas_lateral suffered a thigh strain while training on Sunday http://t.co/AQrE1FmDMf http://t.co/oKDbPDqocz","https://twitter.com/randymarz"
"155",-2,"RT @abc13houston: This driver only had a scratch and a bruise after he was pinned between two semi trucks - http://t.co/ghHtrMlkNA http://tâ¦","https://twitter.com/Aye_JayMal"
"156",-1,"RT @IndyVoices: Could #ThisGirlCan be the first female health campaign that doesn't shame or exclude women? http://t.co/tZBGiBdMc6 http://tâ¦","https://twitter.com/LucyAdams22"
"178",-3,"RT @AlastairGale: In a pale khaki prison uniform, Korean Air heiress appeared in court to deny #nutrage charges http://t.co/8z8wicoSfV httpâ¦","https://twitter.com/ghimhehsuhng"
"185",-3,"2 hurt in Houston apartment fire, 1 victim suffered burns http://t.co/4tIUgLnumu #KSATnews http://t.co/89omJ7Y91r","https://twitter.com/ksatnews"
"201",-2,"RT @EXOffical_: Everyone should stop being ignorant and deny facts! Taeyang has been dating Baekhyun since last year! I got proof! :( http:â¦","https://twitter.com/Kukkig_korkai"
"217",-1,"RT @BDUTT: ""What's wrong in saying PM 'sundar'; i meanst Saksham'/capable"" says @thekiranbedi on calling PM the sun, rest stars http://t.coâ¦","https://twitter.com/prasad_murari"
"221",-1,"RT @Purple_Tragedy: Good morning #Ptbo! In case you missed it, the #CDG is performing An Orestia next month! Be sure to get your tickets! hâ¦","https://twitter.com/GzowskiCollege"
"222",-2,"â@Yourlnspiration: í ½í¸í ½í¸ http://t.co/0KCFIqcdPwâ plot twist - he looks at the girl next to herí ½í¸©í ½í¸","https://twitter.com/AndreaWesterhol"
"225",-1,"@BibleProphecy Hey there - sorry for the trouble! If you use the @ sign in front of your Twitter handle, it should work. Let me know if not!","https://twitter.com/Insightpool"
"230",-1,"RT @SportHumour: Manchester City have now conceded more goals in the Premier League than Manchester United. http://t.co/tNpd26mYE1","https://twitter.com/JohnnyKelly44"
"251",-1,"@RemingtonUK my hairdryer has officially died and I almost did too! #electrocution http://t.co/9fOr7K7RKK","https://twitter.com/Gilbert681Karen"
"264",-1,"â@MeetAnimals: Please keep retweeting this so we can get these horrible collars banned!! http://t.co/4bZpQzvXfGâ","https://twitter.com/DrLMPonte"
"284",-1,".@ChristinaSNP The bomb is part of the reason that our bairns have not faced this for 70 years : #BairnsNotBombs http://t.co/Q0daAWS2gF","https://twitter.com/DerekJMurray"
"315",-1,"RT @chestermissing: People gonna start saying I'm a biased journalist. http://t.co/rRSnQj7NKH","https://twitter.com/onge14"
"327",-1,"No chill í ½í¸í ½í¸í ½í¸í ½í¸í ½í¸í ½í¸í ½í¸í ½í²í ½í²í ½í² http://t.co/ccqf9PMMlz","https://twitter.com/k_stackz1"
"330",-1,"RT @HKY_Tweets: When your crush walks by http://t.co/JQx0FsGVsG","https://twitter.com/HockeyCentraI"
"335",-1,"RT @BigotExposed: Nigel Farage can't count and UKIP are upset with this image. So please do not share it around. Thank you. http://t.co/f1eâ¦","https://twitter.com/harper_richard"
"348",-1,"RT @imfreshlybaked: When your ex try to make you jealous but you still have the last laugh http://t.co/WJxiC0LbOZ","https://twitter.com/lxxren"
"360",-1,"KP was on fire at the big bash this weekend. Should he be in England's world cup team? #RT Yes, #Fav for no #cricket http://t.co/ETX74PvHPk","https://twitter.com/KitbagUK"
"362",-2,"RT @allyjaybrac: Dear girls..don't fall for fuck boys í ½í¸ http://t.co/sQaQSP9jKo","https://twitter.com/kadeshiaprice"
"364",-1,"Big cock ass fucking http://t.co/QQP06hPJgV","https://twitter.com/Riaz61118Ahmad"
"408",-1,"RT @Its_North_West: when u throw a tantrum and your bf still gets u food http://t.co/CVL4edUgYM","https://twitter.com/S_Shockerr"
"411",-1,"something's wrong with my twitter wtf i'm gonna restart my phone","https://twitter.com/LORDVOLDESNORT"
"432",-1,"Woman fatally shot inside apartment http://t.co/bacfnhr47X #KSATnews http://t.co/PqEcY9M036","https://twitter.com/ksatnews"
"443",-1,"thats got to be sore http://t.co/Cg1RF3CVhm","https://twitter.com/justRaymondo"
"453",-1,"RT @distressinq: the world is so beautiful but society is ugly as fuck http://t.co/B5MeyQxhjb","https://twitter.com/JDYeoh"
"454",-1,"RT @BigotExposed: Nigel Farage can't count and UKIP are upset with this image. So please do not share it around. Thank you. http://t.co/f1eâ¦","https://twitter.com/Wez1990"
"464",-2,"RT @Pornhub: .@LaurenJauregui please unblock. I'm sorry for the inappropriate birthday wishes. Love you. http://t.co/2uohw5ythf","https://twitter.com/Kordeiliciouus"
"465",-1,"RT @adidassoccer: They hate the way you score. #therewillbehaters http://t.co/2SpHah08iy","https://twitter.com/LakeDuck"
"467",-1,"RT @Kattunbest5: Kame in Singapore Feb 2014!! Will you come back again??? Singapore fan miss you! #äºæ¢¨åä¹ http://t.co/RuxYhGVafG","https://twitter.com/Y_KayaK"
"470",-1,"RT @thisisnotp0rn: Marilyn Monroe taking a break on the set of River of No Return. http://t.co/SoBTYCawMj","https://twitter.com/polasein500cc"
"477",-1,"RT @iamcrystalball: lost soul: why only dara for bazaar not cl or bom or minzy?

me: duh pls this is not the 1st time they meet tho http://â¦","https://twitter.com/karenkimkwon"
"490",-1,"ugh yes RT @SpeakComdy: expensive restaurants be like french fry over Caramel , $250 http://t.co/1E5kzLXvus","https://twitter.com/heephrodisiac"
"492",-1,"#truck rain time play dirty http://t.co/MFqj9W9WDs","https://twitter.com/hd9292"
"518",-1,"RT @TelegraphFilm: Twitter collects the racist reaction to American Sniper's record-breaking screenings: http://t.co/sfO8A7z2DK http://t.coâ¦","https://twitter.com/fathertorey"
"522",-1,"#newimport. hallea outer BLACK. 125rb. bust 85-92cm. length 48cm. fabric: knitting http://t.co/nxfQCaGBVX","https://twitter.com/dlaalune"
"576",-1,"RT @ItsAVamilyThing: let the poor boy sleep :( :( http://t.co/HvN7Hnyxir","https://twitter.com/abilitabanana"
"596",-2,"RT @EXOffical_: Everyone should stop being ignorant and deny facts! Taeyang has been dating Baekhyun since last year! I got proof! :( http:â¦","https://twitter.com/dangnow"
"634",-1,"RT @wilte: ""Consultants come up with schemes that require more consultants and which err on side of complexity"" Blunders of Govt http://t.câ¦","https://twitter.com/RPvanGaalen"
"646",-1,"RT @shekar_35: @Maryam_Rajavi: #Iran is the main source of instability in ME. @AP @AFP @Reuters @UPI #USA #UK #Jordan @CNN @CBC http://t.coâ¦","https://twitter.com/HadiAbbassi"
"651",-1,"RT @cultofmac: iSpy: Snowden leak shows how the UK tracked iPhone users http://t.co/NEqdsUbzd8 http://t.co/COoY3DRNDh","https://twitter.com/Paziourosk"
"654",-1,"RT @Laneysfab: one time someone told me that if I went blonde I would be ugly again. okay honey http://t.co/pKs9lgGWfW","https://twitter.com/LUNARCVNT"
"668",-1,"RT @FCNsports: .@TCAjax baseball midnight madness practice #TeamSideline http://t.co/e5LG8tTK55","https://twitter.com/sqzplay"
"677",-1,"RT @NTANewsNow: Kano confirms six fresh cases of deadly avian influenza virus ~ commissioner of Agriculture Alh. Nasir Yusuf Gawuna http://â¦","https://twitter.com/gentleojay"
"680",-1,"â@jraitamaa: Why Mark Cuban is wrong about #startups and PR http://t.co/OylLEgMAQx http://t.co/mliBRQjVxHâ @apchitale - thoughts?","https://twitter.com/natarajkiran"
"703",-1,"RT @kookie_panda08: To those hu said Bobby's ugly, snd me ur reasons in a 500 paged essay with equations &amp; no erasure alowd. UNDERSTAND? htâ¦","https://twitter.com/yvnxxi"
"738",-1,"RT @aburke59: Ask a #shopping #addicted sleuth:What's better than a #sale? #FREE 1/19-20 http://t.co/5HmAT0cebT #asmsg #mystery http://t.coâ¦","https://twitter.com/lilian3roberts"
"748",-1,"Darren McKittrick's $45,000 life dream taken when AC Cobra was stolen: When Darrenâ¦ http://t.co/scov9zmc4x http://t.co/hz9r4ljIHI","https://twitter.com/brisbanejournal"
"756",-1,"Prince Andrew may speak publicly for first time about sex allegations http://t.co/4OldC4CfIh http://t.co/kt1LfUysNI","https://twitter.com/Independent"
"757",-1,"Motorists warned about driving licence reminders received by text or email - https://t.co/ocXsr48udi http://t.co/9Cx8dykCUI","https://twitter.com/BedfordDrivers"
"787",-1,"RT @Independent: Warning, graphic. Isis throws gay men off tower in wave of 'retaliatory' public executions http://t.co/wC8Vh0eZR6 http://tâ¦","https://twitter.com/geminiantics"
"801",-3,"RT @CleberAmaral_: Federal Agents belie @dilmabr and reveal government interference in fighting corruption. http://t.co/6CyVzmQ9JL http://tâ¦","https://twitter.com/PaulodeTarsoFC"
"802",-1,"Story of my depression phase... http://t.co/U1jbTVagdf","https://twitter.com/bluenatm"
"820",-1,"IndianaBot: TypicallyTessy: So many ice fishers #winter #photography #manitoba http://t.co/F1k5O0qKhG its cold as balls and jim white a...","https://twitter.com/IndianaBot"
"823",-1,"RT @TheYoungHipster: These kids were asked to slap a girl in front of them, they said NO because http://t.co/RdQwfctdya","https://twitter.com/MimitoAmin"
