"","ti","age","id","au","ve","nC","nP","nR","at","msg","path"
"1",2015-01-20 07:33:41,0.0139854402122674,"z132wnjwykveyvdgk04ccv0w1zmoedfgvck","115702689408687661246","post",0,3,0,"photo","Vijay from Thalaivaa ! #vijay  #ilayathalapathyvijay  #thalaivaa  #kollywood  #celebrity  #actorvijay  #tamilcinemagallery  #tuesday  ﻿","https://plus.google.com/115702689408687661246"
"2",2015-01-20 07:33:10,0.0143506187393709,"z12phf1icvuvyfwyg04chnmipm2azxtxmr40k","115137260167684421526","post",0,0,0,"photo","#Vijay is a superstar, says #SarathKumarhttp://www.tamilstar.com/news-id-vijay-is-a-superstar-says-sarath-kumar-vijay-sarath-kumar-20-01-159868.htm﻿","https://plus.google.com/115137260167684421526"
"3",2015-01-20 07:26:31,0.0189666397979966,"z135jllbyqi5wdeav04cdz4zkpffhtwopoo0k","105154877482438886487","share",0,0,0,"photo","Sarathkumar speaks of next SuperstarA few months ago, there was a huge discussion on who should get the Superstar title in Kollywood next. After a while, the problem died down on its own as people realized there can only be one Superstar in all time, and that is RajnikanthFor more click on: http://goo.gl/nxuuQFFollow us on: +IndiaGlitz Tamil Movies | Interviews | Shooting Spot | Review | Gossip #vijay58   #vijay   #ajithkumar   #tamilcinemanews  ﻿","https://plus.google.com/105154877482438886487"
"4",2015-01-20 07:06:00,0.0332165272809841,"z12zgrx4fwvwwvtvd23kxx2iuuvquxane","111305619020857111962","share",0,0,0,"photo","Andrum, Indrum, Endrum Vijay ! #vijay  #ilayathalapathy  #actorvijay  #kollywood  #celebrity  #movies  #tamilcinema  #masshero  #cutestills  #tamilcinemagallery  #monday  ﻿","https://plus.google.com/111305619020857111962"
"5",2015-01-20 07:04:31,0.0342458287019421,"z12di53z4yukiltqj04ci3rodvffivfouhc","111305619020857111962","share",0,0,0,"photo","Guess The Movie ? #vijay  #ilayathalapathyvijay  #actorvijay  #kollywood  #celebrities  #tamilcinema  #tamilcinemagallery  #wednesday  ﻿","https://plus.google.com/111305619020857111962"
"6",2015-01-20 07:01:56,0.0360309389371563,"z13otv5hypb3ehsrc04cdxuxarrgvxz450o","106782450872200226945","post",0,2,1,"photo","Sarathkumar speaks of next SuperstarA few months ago, there was a huge discussion on who should get the Superstar title in Kollywood next. After a while, the problem died down on its own as people realized there can only be one Superstar in all time, and that is RajnikanthFor more click on: http://goo.gl/nxuuQFFollow us on: +IndiaGlitz Tamil Movies | Interviews | Shooting Spot | Review | Gossip #vijay58   #vijay   #ajithkumar   #tamilcinemanews  ﻿","https://plus.google.com/106782450872200226945"
"7",2015-01-20 06:53:44,0.0417357296607009,"z12eexqapmynzjwdi231j1dw4sjkwzrn0","102171637768882933405","post",0,0,0,"video","Watch Actor Sathish Cooking food in &quot; Ungal Kitchen Engal Chef &quot; - Pongal Special #actor   #sathish   #comedian   #ungalkitchenengalchef   #pongal   #pongalspecial   #pongalrecipe   #pongal2015   #dhanush   #sivakarthikeyan   #kaththi   #vijay  ﻿","https://plus.google.com/102171637768882933405"
"8",2015-01-20 06:44:06,0.0484255000590174,"z13wtb3pvtjqvruub22yzrmphlrvifops04","117650240897766858810","share",0,0,0,"photo","Thalapathy Dhaan Mass ! #vijay  #ilayathalapathyvijay  #actorvijay  #massandmass  #kollywood  #celebrity  #tamilcinema  #tamilcinemagallery  #saturday  ﻿","https://plus.google.com/117650240897766858810"
"9",2015-01-20 06:41:51,0.0499811159708986,"z12ugtbijk2dirxno22yzrmphlrvifops04","117650240897766858810","share",0,0,0,"photo","Wishing a Very #HappyBirthday to #VijaySethupathi :)#HappyBirthdayVijaySethupathi #actors #wishes #kollywood #movies #birthday  #vijaysethupathy   #vijay   #sethupathi  ﻿","https://plus.google.com/117650240897766858810"
"10",2015-01-20 06:38:15,0.0524866053572407,"z12zgh1xeq3bxlyia04cfvyyepqazhtimr00k","117650240897766858810","share",0,0,0,"photo","Waiting For Puli ! #vijay  #ilayathalapathyvijay  #kollywood  #celebrity  #tamilcinema  #vijay58  #tamilcinemagallery  #tuesday  ﻿","https://plus.google.com/117650240897766858810"
