"","score","text","path"
"37",-1,"It looks Indian selectors did blunder in retaining Shikhar Dhawan and dropping in form Murli Vijay.","https://twitter.com/Chitta07"
"65",-1,"@PK078 @TimesNow @ArvindKejriwal he will be crushed by Nupur he has no guts to stand against Bedi- he can only talk &amp; debate- drama artist","https://twitter.com/vijay_vjshal"
"69",-1,"@bhogleharsha
#Dhoni #BCCI wil make #India suffer if they wont brin #Sehwag #Yuvraj #Gautam #Vijay
Current Team in shambles.What say harsha?","https://twitter.com/vineettweets"
"73",-2,"@Chandrruiyer @TimesNow @ArvindKejriwal - issues R known.the anarchist did not deliver &amp; ran away &amp; wants to do more talking. Typical kejri","https://twitter.com/vijay_vjshal"
"80",-1,"@cricketaakash as an expert, please explain how could u justify dropping Vijay after his recent forms, unbelievable","https://twitter.com/addicted_7"
"92",-1,"feeling tired","https://twitter.com/vijay_tweet"
"94",-3,"@vijay_vjshal You ignorant!! Still deluded. She has lost the mental fight.
All name earned is going in vain.
#BediVsKejriwal","https://twitter.com/Gr8IndianMuppet"
"106",-1,"RT @sandheep_shan: #Puli : Shoot happened even on Pongal Holidays, Due to this hectic schedule , Vijay anna cheered the team by gifting theâ¦","https://twitter.com/kedi_sunil"
"115",-1,"@TimesNow if kejriwal is serious about challenging Bedi let him contest from the constituency in which she has been nominated by BJP","https://twitter.com/vijay_vjshal"
"121",-1,"@rameshlaus. Excellent message at much sema timing bro... Much needed 1... Nw al haters il hide themselvesB-)","https://twitter.com/vijay_THALAfan"
"128",-1,"@IBNLiveBuzz @ibnlive if kejriwal is serious about challenging Kiran Bedi, let him fight elections from where she is nominated by the party","https://twitter.com/vijay_vjshal"
"134",-1,"Education is over-rated, says Paytm founder Vijay Shekhar Sharma - The Economic Times - http://t.co/OYKfIyqt02","https://twitter.com/Subhash_Bagde"
"145",-1,"RT @sandheep_shan: #Puli : Shoot happened even on Pongal Holidays, Due to this hectic schedule , Vijay anna cheered the team by gifting theâ¦","https://twitter.com/vasudevan5"
"153",-1,"RT @JustoneK7: @iali4576 &lt;&lt;--- Another Moslem misunderstood Islam. Did not know - ""Nationalism is Haram in Islam"" http://t.co/tFd3ghqXZs @vâ¦","https://twitter.com/vijay_rajan"
"157",-1,"@iali4576 &lt;&lt;--- Another Moslem misunderstood Islam. ""The Prohibition of Nationalism in Islam"" http://t.co/ukmb4xemVb @vijay_rajan","https://twitter.com/JustoneK7"
"160",-1,"@ BCCI.....  you morons call back YUVI N MURALI VIJAY.... Still time is there","https://twitter.com/sulzerianheart"
"162",-1,"@iali4576 &lt;&lt;--- Another Moslem misunderstood Islam. Did not know - ""Nationalism is Haram in Islam"" http://t.co/tFd3ghqXZs @vijay_rajan","https://twitter.com/JustoneK7"
"168",-1,"RT @shishhattangadi: knock knock,who's there? Mural Vijay, Vijay who? The opener you forgot to pick","https://twitter.com/Vishnu31369136"
"181",-1,"RT @sandheep_shan: #Puli : Shoot happened even on Pongal Holidays, Due to this hectic schedule , Vijay anna cheered the team by gifting theâ¦","https://twitter.com/John_Chapter1"
"182",-1,"I lost 2 followers recently and i know who they are thanks to http://t.co/LF7zZI2aut","https://twitter.com/Vijay_Fanatic"
"184",-1,"@AssistingMessi @KroosAssist vijay misses us too much","https://twitter.com/bartrasjawline"
"190",-1,"RT @RaviVijayAddict: This S.Dhawan is like Kodu kumar ... plays hell lot of matches, but shines in hardly 1 or 2 games ! still hangs aroundâ¦","https://twitter.com/Vijay_Fanatic"
"191",-1,"RT @sandheep_shan: #Puli : Shoot happened even on Pongal Holidays, Due to this hectic schedule , Vijay anna cheered the team by gifting theâ¦","https://twitter.com/AllYGirL85"
"200",-1,"@Swamy39 After this India has no moral right 2 condemn judiciary in Pakistan. Fight first unknown/known enemies from within @vijay_rajan","https://twitter.com/gpandey3"
"213",-1,"RT @cvoter: Ok friends, here is my formal offer to moderate the debate between AK and KB. Why waste a chance to claim the certificate of neâ¦","https://twitter.com/vijay_aazad"
"223",-3,"May be indian selectors have missed out a trick by not picking vijay for the WC.batting collapse,with WC knocking at door,is a bad harbinger","https://twitter.com/cricpandit"
