"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","path"
"1","RT @SK_Bagga: Hope to see you all at the Maha jansabha at Vijay Chowk Krishna Nagar today at 5.00 pm. #WalkWithKejriwal #AAP http://t.co/cU…",FALSE,0,NA,2015-01-20 07:53:16,FALSE,NA,"557445744425050113",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","drrajesh2012",168,TRUE,FALSE,NA,NA,"https://twitter.com/drrajesh2012"
"2","RT @SK_Bagga: Hope to see you all at the Maha jansabha at Vijay Chowk Krishna Nagar today at 5.00 pm. #WalkWithKejriwal #AAP http://t.co/cU…",FALSE,0,NA,2015-01-20 07:53:08,FALSE,NA,"557445709931487233",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","gaurav_v15",168,TRUE,FALSE,NA,NA,"https://twitter.com/gaurav_v15"
"3","RT @SK_Bagga: Hope to see you all at the Maha jansabha at Vijay Chowk Krishna Nagar today at 5.00 pm. #WalkWithKejriwal #AAP http://t.co/cU…",FALSE,0,NA,2015-01-20 07:52:49,FALSE,NA,"557445630465826816",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Komal_Indian",168,TRUE,FALSE,NA,NA,"https://twitter.com/Komal_Indian"
"4","RT @nishukickK: Still #Vijay hOlds d reCord oF enterinG 100cr club withOut TeluGu &amp; Hindi dub releaSe !
#Kaththi \m/
#Proud_VIJAY_Devotee !",FALSE,0,NA,2015-01-20 07:52:45,FALSE,NA,"557445612426117120",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ImVjAnand",5,TRUE,FALSE,NA,NA,"https://twitter.com/ImVjAnand"
"5","RT @MicrosoftIndia: Copy this sentance into Word to see if you can spot the typo! #QuickF1x http://t.co/W0gMt24rd6",FALSE,0,NA,2015-01-20 07:52:41,FALSE,NA,"557445593899884547",NA,"<a href=""http://tweetadder.com"" rel=""nofollow"">TweetAdder v4</a>","vijay_kaneria",42,TRUE,FALSE,NA,NA,"https://twitter.com/vijay_kaneria"
"6","I liked a @YouTube video from @dayavjfan http://t.co/qY1R8NuhdO SarathKumar Sir About IlayaThalapathy Vijay",FALSE,0,NA,2015-01-20 07:52:40,FALSE,NA,"557445590108225536",NA,"<a href=""http://www.google.com/"" rel=""nofollow"">Google</a>","robostalin6",0,FALSE,FALSE,NA,NA,"https://twitter.com/robostalin6"
"7","RT @SK_Bagga: Hope to see you all at the Maha jansabha at Vijay Chowk Krishna Nagar today at 5.00 pm. #WalkWithKejriwal #AAP http://t.co/cU…",FALSE,0,NA,2015-01-20 07:52:22,FALSE,NA,"557445517043437568",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","dotnpixls",168,TRUE,FALSE,NA,NA,"https://twitter.com/dotnpixls"
"8","RT @nishukickK: Still #Vijay hOlds d reCord oF enterinG 100cr club withOut TeluGu &amp; Hindi dub releaSe !
#Kaththi \m/
#Proud_VIJAY_Devotee !",FALSE,0,NA,2015-01-20 07:52:19,FALSE,NA,"557445503017701376",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AllYGirL85",5,TRUE,FALSE,NA,NA,"https://twitter.com/AllYGirL85"
"9","Selamat berlibur~ (with dwi, abdul vijay, and 4 others at @waterblasterid) — https://t.co/zCa13JoDzr",FALSE,0,NA,2015-01-20 07:52:13,FALSE,NA,"557445479949008896",NA,"<a href=""https://path.com/"" rel=""nofollow"">Path</a>","ichaseptiasari",0,FALSE,FALSE,"110.4367","-7.02221","https://twitter.com/ichaseptiasari"
"10","RT @VishalDadlani: 6 Ps for women's security, 6 S' for Delhi. What is this Mumbo-Jumbo @thekiranbedi ? Give Delhi a concrete plan, with bud…",FALSE,0,NA,2015-01-20 07:51:50,FALSE,NA,"557445380678221824",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","vaishali_vijay",272,TRUE,FALSE,NA,NA,"https://twitter.com/vaishali_vijay"
