"","analysis_score","analysis_text"
"1",0,"RT @SK_Bagga: Hope to see you all at the Maha jansabha at Vijay Chowk Krishna Nagar today at 5.00 pm. #WalkWithKejriwal #AAP http://t.co/cUâ¦"
"2",0,"RT @SK_Bagga: Hope to see you all at the Maha jansabha at Vijay Chowk Krishna Nagar today at 5.00 pm. #WalkWithKejriwal #AAP http://t.co/cUâ¦"
"3",0,"RT @SK_Bagga: Hope to see you all at the Maha jansabha at Vijay Chowk Krishna Nagar today at 5.00 pm. #WalkWithKejriwal #AAP http://t.co/cUâ¦"
"4",0,"RT @nishukickK: Still #Vijay hOlds d reCord oF enterinG 100cr club withOut TeluGu &amp; Hindi dub releaSe !
#Kaththi \m/
#Proud_VIJAY_Devotee !"
"5",0,"RT @MicrosoftIndia: Copy this sentance into Word to see if you can spot the typo! #QuickF1x http://t.co/W0gMt24rd6"
"6",1,"I liked a @YouTube video from @dayavjfan http://t.co/qY1R8NuhdO SarathKumar Sir About IlayaThalapathy Vijay"
"7",0,"RT @SK_Bagga: Hope to see you all at the Maha jansabha at Vijay Chowk Krishna Nagar today at 5.00 pm. #WalkWithKejriwal #AAP http://t.co/cUâ¦"
"8",0,"RT @nishukickK: Still #Vijay hOlds d reCord oF enterinG 100cr club withOut TeluGu &amp; Hindi dub releaSe !
#Kaththi \m/
#Proud_VIJAY_Devotee !"
"9",0,"Selamat berlibur~ (with dwi, abdul vijay, and 4 others at @waterblasterid) â https://t.co/zCa13JoDzr"
"10",0,"RT @VishalDadlani: 6 Ps for women's security, 6 S' for Delhi. What is this Mumbo-Jumbo @thekiranbedi ? Give Delhi a concrete plan, with budâ¦"
"11",0,"RT @ankurtewari: @VishalDadlani @thekiranbedi we need 2 A's &amp; 1 P. Deal?"
"12",0,"RT @SK_Bagga: Hope to see you all at the Maha jansabha at Vijay Chowk Krishna Nagar today at 5.00 pm. #WalkWithKejriwal #AAP http://t.co/cUâ¦"
"13",0,"RT @Amitjanhit: @thekiranbedi can you pls tell public that why Rapist Nihal Chand still part of Modi Cabnit? Is this how u will provide safâ¦"
"14",0,"RT @SK_Bagga: Hope to see you all at the Maha jansabha at Vijay Chowk Krishna Nagar today at 5.00 pm. #WalkWithKejriwal #AAP http://t.co/cUâ¦"
"15",0,"RT @SK_Bagga: Hope to see you all at the Maha jansabha at Vijay Chowk Krishna Nagar today at 5.00 pm. #WalkWithKejriwal #AAP http://t.co/cUâ¦"
"16",0,"RT @SK_Bagga: Hope to see you all at the Maha jansabha at Vijay Chowk Krishna Nagar today at 5.00 pm. #WalkWithKejriwal #AAP http://t.co/cUâ¦"
"17",0,"Super Singer Junior 4 | 19th to 23rd January 2015 | PromoÂ 1 http://t.co/i1pnRbjY4Q"
"18",0,"Vijay anna im waiting for pulli"
"19",0,"At my home http://t.co/GpzXFWb7Pg"
"20",0,"RT @SK_Bagga: Hope to see you all at the Maha jansabha at Vijay Chowk Krishna Nagar today at 5.00 pm. #WalkWithKejriwal #AAP http://t.co/cUâ¦"
"21",0,"RT @SK_Bagga: Hope to see you all at the Maha jansabha at Vijay Chowk Krishna Nagar today at 5.00 pm. #WalkWithKejriwal #AAP http://t.co/cUâ¦"
"22",0,"Kaththi Loss 30 crores ha ha haha hah Hatrick flop for vijay. Thalaiva,jilla and kaththi flop"
"23",0,"@alanwilkins22 a question for u sir .. Why Murli vijay out of d WC team ?"
