"","word","freq"
"vijay","vijay",1209
"development","development",401
"emailvijayaroracomportfolio","emailvijayaroracomportfolio",308
"graphicweb","graphicweb",308
"seo","seo",308
"services","services",308
"chowk","chowk",204
"jansabha","jansabha",202
"maha","maha",202
"see","see",182
"aap","aap",181
"today","today",179
"walkwithkejriwal","walkwithkejriwal",178
"hope","hope",177
"krishna","krishna",168
"nagar","nagar",167
"atpm","atpm",161
"dhawan","dhawan",132
"puli","puli",101
"team","team",101
"plz","plz",97
"murali","murali",94
"dmfollow","dmfollow",93
"emailvijayaroracom","emailvijayaroracom",93
"logo","logo",93
"mixtape","mixtape",93
"website","website",93
"skypedesignsstudiocreations","skypedesignsstudiocreations",92
"india","india",83
"fans","fans",80
"now","now",80
"ilayathalapathy","ilayathalapathy",79
"tamil","tamil",71
"will","will",70
"kaththi","kaththi",65
"anna","anna",64
"movie","movie",63
"one","one",58
"gifts","gifts",54
"time","time",54
"good","good",51
"get","get",49
"sir","sir",49
"pongal","pongal",46
"can","can",45
"vijays","vijays",45
"place","place",43
"squad","squad",41
"kejriwal","kejriwal",40
"world","world",40
"gold","gold",39
"new","new",39
"give","give",37
"stay","stay",37
"arvind","arvind",36
"tomorrow","tomorrow",35
"tuned","tuned",35
"updates","updates",35
"back","back",34
"english","english",34
"indian","indian",34
"murli","murli",34
"big","big",33
"indvseng","indvseng",33
"just","just",33
"like","like",33
"best","best",32
"form","form",32
"cup","cup",31
"says","says",31
"act","act",30
"actor","actor",30
"coin","coin",30
"reverse","reverse",30
"film","film",29
"opener","opener",29
"crossing","crossing",28
"next","next",28
"shikhar","shikhar",28
"thalapathy","thalapathy",28
"week","week",28
"better","better",27
"bjp","bjp",26
"box","box",26
"office","office",26
"sarathkumar","sarathkumar",26
"two","two",26
"cinema","cinema",25
"keep","keep",25
"times","times",25
"australian","australian",24
"http","http",24
"need","need",24
"set","set",24
"thanks","thanks",24
"yet","yet",24
"biggest","biggest",23
"bring","bring",23
"director","director",23
"innovation","innovation",23
"level","level",23
"opportunity","opportunity",23
"called","called",22
"goel","goel",22
"inc","inc",22
"kerala","kerala",22
"nod","nod",22
"since","since",22
"superstar","superstar",22
"actorto","actorto",21
"approached","approached",21
"cinemavijayism","cinemavijayism",21
"extreme","extreme",21
"famous","famous",21
"ilaya","ilaya",21
"ilayathalapathyvijayvijayactor","ilayathalapathyvijayvijayactor",21
"ltnumber","ltnumber",21
"masssssssssssssssb","masssssssssssssssb",21
"projectb","projectb",21
"ruling","ruling",21
"south","south",21
"still","still",21
"thanpeople","thanpeople",21
"vijayvijayfansclubkingofboxofficekollywoodcelebritypulicroreclubtamilcinemasunday","vijayvijayfansclubkingofboxofficekollywoodcelebritypulicroreclubtamilcinemasunday",21
"blockbuster","blockbuster",20
"club","club",20
"collected","collected",20
"feel","feel",20
"grosser","grosser",20
"hero","hero",20
"indays","indays",20
"performance","performance",20
"pumped","pumped",20
"theri","theri",20
"abt","abt",19
"even","even",19
"kumar","kumar",19
"make","make",19
"people","people",19
"said","said",19
"vikram","vikram",19
"actors","actors",18
"budget","budget",18
"elements","elements",18
"indiaglitz","indiaglitz",18
"natural","natural",18
"ofrt","ofrt",18
"please","please",18
"replace","replace",18
"rocking","rocking",18
"shekhar","shekhar",18
"subash","subash",18
"also","also",17
"birthday","birthday",17
"massy","massy",17
"nocollection","nocollection",17
"odi","odi",17
"paid","paid",17
"posted","posted",17
"shruti","shruti",17
"video","video",17
"cant","cant",16
"combinationsrajinikanthajithvijaykamal","combinationsrajinikanthajithvijaykamal",16
"delhi","delhi",16
"different","different",16
"duniya","duniya",16
"entertaining","entertaining",16
"haasansur","haasansur",16
"hey","hey",16
"highest","highest",16
"irrespective","irrespective",16
"kaththijilla","kaththijilla",16
"kcawardspart","kcawardspart",16
"love","love",16
"namo","namo",16
"rayudu","rayudu",16
"rocked","rocked",16
"subject","subject",16
"current","current",15
"founder","founder",15
"instead","instead",15
"opening","opening",15
"paytm","paytm",15
"release","release",15
"seems","seems",15
"selectors","selectors",15
"sleepercells","sleepercells",15
"star","star",15
"take","take",15
"uthappa","uthappa",15
"bedi","bedi",14
"business","business",14
"change","change",14
"dhawans","dhawans",14
"due","due",14
"economic","economic",14
"education","education",14
"fan","fan",14
"gifting","gifting",14
"gokul","gokul",14
"great","great",14
"happened","happened",14
"necessary","necessary",14
"overrated","overrated",14
"party","party",14
"pick","pick",14
"play","play",14
"pulishoot","pulishoot",14
"sharmathe","sharmathe",14
"think","think",14
"waiting","waiting",14
"cheered","cheered",13
"engvind","engvind",13
"govindarajan","govindarajan",13
"harvard","harvard",13
"hectic","hectic",13
"holidays","holidays",13
"many","many",13
"news","news",13
"pls","pls",13
"satish","satish",13
"schedulevijay","schedulevijay",13
"singh","singh",13
"songs","songs",13
"thupakki","thupakki",13
"well","well",13
"work","work",13
"yuvi","yuvi",13
"bold","bold",12
"bymass","bymass",12
"candidates","candidates",12
"cwc","cwc",12
"day","day",12
"enough","enough",12
"functionin","functionin",12
"going","going",12
"gone","gone",12
"indiatalk","indiatalk",12
"maybe","maybe",12
"odis","odis",12
"paper","paper",12
"read","read",12
"say","say",12
"school","school",12
"soon","soon",12
"stop","stop",12
"stuff","stuff",12
"subjct","subjct",12
"television","television",12
"youtubecheck","youtubecheck",12
"ajithvijay","ajithvijay",11
"another","another",11
"calls","calls",11
"celebrates","celebrates",11
"conditions","conditions",11
"congrats","congrats",11
"deserves","deserves",11
"difference","difference",11
"donating","donating",11
"dont","dont",11
"farmingmethodjunehttp","farmingmethodjunehttp",11
"got","got",11
"janam","janam",11
"much","much",11
"needs","needs",11
"option","option",11
"palekarszero","palekarszero",11
"preparation","preparation",11
"ramsave","ramsave",11
"rswith","rswith",11
"run","run",11
"soil","soil",11
"sri","sri",11
"start","start",11
"test","test",11
"totally","totally",11
"arvinder","arvinder",10
"bcci","bcci",10
"contesting","contesting",10
"event","event",10
"flexes","flexes",10
"forgot","forgot",10
"happy","happy",10
"hard","hard",10
"help","help",10
"historic","historic",10
"honest","honest",10
"islam","islam",10
"kiran","kiran",10
"knock","knock",10
"knockwhos","knockwhos",10
"lovely","lovely",10
"mgr","mgr",10
"morning","morning",10
"mural","mural",10
"open","open",10
"religion","religion",10
"runilayathalapathy","runilayathalapathy",10
"sethupathi","sethupathi",10
"tamilcinema","tamilcinema",10
"trivandrumsupporting","trivandrumsupporting",10
"upadhyay","upadhyay",10
"without","without",10
"armoured","armoured",9
"australia","australia",9
"brought","brought",9
"call","call",9
"chiyaan","chiyaan",9
"come","come",9
"declaring","declaring",9
"developed","developed",9
"divine","divine",9
"eminence","eminence",9
"formations","formations",9
"haasan","haasan",9
"individual","individual",9
"look","look",9
"maj","maj",9
"meet","meet",9
"monitoring","monitoring",9
"operations","operations",9
"race","race",9
"rajinikamalvijay","rajinikamalvijay",9
"reached","reached",9
"really","really",9
"seemala","seemala",9
"sense","sense",9
"stardom","stardom",9
"state","state",9
"super","super",9
"system","system",9
"way","way",9
