"","ti","age","id","au","ve","nC","nP","nR","at","msg","path"
"1",2015-01-20 07:26:49,0.0111204388351352,"z13xffkwbxq1etzza04cdxuxarrgvxz450o","106782450872200226945","post",0,1,0,"video","Vikram and Amy Jackson in Dubai for I movie promotionActor Vikram and actress Amy Jackson visited Dubai. They visited the Dubai’s Golden Cinema for I promo. During this thousands of fans gather their to see him and we met his excited fans. They wished all the fans gathered their Happy pongal. Many fanFollow us on: +IndiaGlitz Tamil Movies | Interviews | Shooting Spot | Review | Gossip #imoviereview   #vikram   #amyjackson  ﻿","https://plus.google.com/106782450872200226945"
"2",2015-01-20 07:15:30,0.0189797108537621,"z12bydviupu1jfqfi23mwlozgsuycooc","114625085087419108808","share",0,3,0,"photo"," #ai   #i   #vikram   #kollywood   #chiyaanvikram  ﻿","https://plus.google.com/114625085087419108808"
"3",2015-01-20 06:47:07,0.0386919456692757,"z13oxxhjsrrowxovj22oi3p4tvmovz5y204","108841876950212897632","post",0,0,0,"photo","Who is the director for Vikram’s next flick???Read More http://tamilcinema.com/who-is-the-director-for-vikrams-next-flick/ #armurugadoss   #chiyan   #vikram  ﻿","https://plus.google.com/108841876950212897632"
"4",2015-01-20 06:12:02,0.0630529206411706,"z12gitjytnbaj3q1v22awfrhdsutxbm3o","113005518385149603951","share",0,3,0,"video","&#39;#I&#39; Movie Special Screening with #Chiyaan #Vikram &amp; @iamAmyJackson at #DUBAI﻿","https://plus.google.com/113005518385149603951"
"5",2015-01-20 06:09:38,0.0647217841529184,"z124u53j1z2hwbpv323vc1oquxeounxpg04","108753522339184073274","share",0,0,0,"photo","Brand New #I Poster | Releasing this #Pongal. #Chiyaan #Vikram #Amy #Jackson﻿#kollywood #tamilcinema #Pongal2015 #tamilmovies #AmyJackson Shankar #PCSreeram #Ai #Imovie #Aimovie﻿","https://plus.google.com/108753522339184073274"
"6",2015-01-20 05:47:56,0.0797877153809424,"z12isdjjama0svmhz04cfxooqqu5xl55nek","112741708539543231304","post",0,7,1,"album"," #Vikram  &amp;  #AmyJackson  @  #I  Press MeetFor More Latest Updates &gt;&gt;  http://bit.ly/1xmzWCy﻿","https://plus.google.com/112741708539543231304"
"7",2015-01-20 05:30:06,0.0921752487371365,"z12bddjxxzbru3ew004cebloaze4t5jatmk0k","108332664123048380872","post",0,0,0,"photo","#Vikram in #I , 5 days box office collection #shankar   #AmyJackson﻿","https://plus.google.com/108332664123048380872"
"8",2015-01-20 04:51:09,0.11922709290904,"z135x5oo3ry0h1wnc22mvbj5lybes5rzy04","105410583006682627600","post",0,0,0,"article"," #IBoxOfficeCollection   #I  Beats  #Kaththi   #IMovieBoxOffice   #IFiveDayCollections   #IOpeningWeekend   #ICollection   #Vikram   #Shankar  ﻿","https://plus.google.com/105410583006682627600"
"9",2015-01-20 04:35:48,0.129884774988448,"z13ujzyrzsyoznao004chjrphyfggjrhvls0k","106025587193763828226","post",0,0,0,"video","#Vikram Aur #Betal #Hindi #Cartoon #Stories | #Best  Part 2 #Best #Collection #Kids #Fun #Love #Story #Dance #Enjoy #Love #Videos #3D #Animation #YouTube #Animation #Story #Learning #School #Education #King﻿","https://plus.google.com/106025587193763828226"
"10",2015-01-20 03:58:39,0.155676174434247,"z12mhdy4hlnqtfb1f22ffvxw0rmwjn4vj","103692070639868475469","post",0,6,1,"video","&#39;#I&#39; Movie Special Screening with #Chiyaan #Vikram &amp; @iamAmyJackson at #DUBAI﻿","https://plus.google.com/103692070639868475469"
"11",2015-01-20 03:11:09,0.188667300186223,"z130zh2yiyjmtrtju04cfl0aeozmd50av50","109792081837579676216","post",0,0,0,"photo","Vikram #I Movie Krishna collections @ http://goo.gl/WpQTOi #Vikram   #Shankar  ﻿","https://plus.google.com/109792081837579676216"
"12",2015-01-20 02:22:25,0.22250427124125,"z12didgjnrvshx0wz04cfrwbswikt11rsys0k","108653934305008296453","post",0,0,0,"article","Chiyaan #Vikram and Actress #AmyJackson at #I Movie Press Meet http://moviegallery4u.com/photos/tamil-event/i-movie-press-meet-29269.html﻿","https://plus.google.com/108653934305008296453"
"13",2015-01-20 02:22:22,0.222549579985164,"z133gnhonlamc5fzu04cgzvgswrxdb3gjfw","102869394776958968230","post",6,28,3,"article","Chiyaan #Vikram and Actress #AmyJackson at #I Movie Press Meet http://moviegallery4u.com/photos/tamil-event/i-movie-press-meet-29269.html﻿","https://plus.google.com/102869394776958968230"
"14",2015-01-19 19:36:43,0.504242045705517,"z123dzqphwu3inupm04cgd0bzoavs5lgmgc","116704559305659577175","share",0,0,0,"article","Shankar’s ‘I’ box office collection: Collects Rs. 55 crore in three days, expected to run highhttp://tinyurl.com/qfyddcm#shankar #Ifilm #boxofficecollection #AmayJackson #UpenPatel #SouthIndian #tamilmovie #Vikram #i﻿","https://plus.google.com/116704559305659577175"
"15",2015-01-19 19:33:42,0.506339487966012,"z13qcxaqwlvczxq4o04cgd0bzoavs5lgmgc","116704559305659577175","post",0,1,1,"article","Shankar’s ‘I’ box office collection: Collects Rs. 55 crore in three days, expected to run highhttp://tinyurl.com/qfyddcm#shankar #Ifilm #boxofficecollection #AmayJackson #UpenPatel #SouthIndian #tamilmovie #Vikram #i﻿","https://plus.google.com/116704559305659577175"
"16",2015-01-19 19:31:04,0.508168415057438,"z124tr4ycqmfebzd2232c1zx1qy1gf4n2","116704559305659577175","share",0,0,0,"article","Shankar’s ‘I’ box office collection: Collects Rs. 55 crore in three days, expected to run highhttp://tinyurl.com/qfyddcm#shankar #Ifilm #boxofficecollection #AmayJackson #UpenPatel #SouthIndian #tamilmovie #Vikram #i﻿","https://plus.google.com/116704559305659577175"
"17",2015-01-19 19:30:47,0.5083722800044,"z12ddfbowmixw503y232c1zx1qy1gf4n2","116704559305659577175","share",0,0,0,"article","Shankar’s ‘I’ box office collection: Collects Rs. 55 crore in three days, expected to run highhttp://tinyurl.com/qfyddcm#shankar #Ifilm #boxofficecollection #AmayJackson #UpenPatel #SouthIndian #tamilmovie #Vikram #i﻿","https://plus.google.com/116704559305659577175"
"18",2015-01-19 19:30:23,0.508639526157467,"z135xlbyomjsjp3fg232c1zx1qy1gf4n2","116704559305659577175","share",0,0,0,"article","Shankar’s ‘I’ box office collection: Collects Rs. 55 crore in three days, expected to run highhttp://tinyurl.com/qfyddcm#shankar #Ifilm #boxofficecollection #AmayJackson #UpenPatel #SouthIndian #tamilmovie #Vikram #i﻿","https://plus.google.com/116704559305659577175"
"19",2015-01-19 19:29:39,0.509151115494746,"z12svbthorj2fpikl232c1zx1qy1gf4n2","116704559305659577175","share",0,0,0,"article","Shankar’s ‘I’ box office collection: Collects Rs. 55 crore in three days, expected to run highhttp://tinyurl.com/qfyddcm#shankar #Ifilm #boxofficecollection #AmayJackson #UpenPatel #SouthIndian #tamilmovie #Vikram #i﻿","https://plus.google.com/116704559305659577175"
