"","score","text","path"
"3",2,"@Robo1235 vikram never said like that..even he said he love superstar so much... many times","https://twitter.com/itisnmk"
"7",1,"RT @DaburHoney_Ind: Five questions over!! Five more to go!!
RT if you are having fun with #Jealubbies!","https://twitter.com/vikram_sun"
"8",1,"RT @ASUSIndia: Amazing answers &amp; active participation. We are having fun with the #EeeBook contest, are you?","https://twitter.com/vikram_sun"
"17",1,"@sevish u must respect at least for #Vikram dedication ...","https://twitter.com/Ramsicool"
"22",1,"RT @ASUSIndia: A reminder of our rules, make sure you RT all our tweets and send in the right answers. Have you answered all our questions?â¦","https://twitter.com/vikram_sun"
"24",3,"@itisnmk simple vj fans supported i recently Vikram openly said hardcore fan of vj ie reason","https://twitter.com/Robo1235"
"31",1,"RT @RDBalaji: @varun477 @Aascars yes i saw 8 times till now. no one left theatre until VIKRAM's last pose :) real success #i #Imovie","https://twitter.com/avisbliss"
"44",3,"RT @ASUSIndia: We are giving away some really cool gift hampers, so make sure you send in the right answers. Are you having fun with our #Eâ¦","https://twitter.com/vikram_sun"
"49",1,"RT @itisprashanth: Rajini,  kamal,  vijay and now vikram in the elite 100 crore club. He totally deserves it for all his hard work. #I","https://twitter.com/Autonagar_Chai"
"54",1,"RT @DaburHoney_Ind: Time for the 5th question!!
Are you ready for it? RT NOW #Jealubbies","https://twitter.com/vikram_sun"
"71",2,"@vikramchandra great news ! Kudos to you as well Vikram","https://twitter.com/nyork045"
"74",1,"RT @suza888: Today is all about ""I"" ! Can't wait til evening ! #Ai to witness the magical moments #Vikram í ½í¸âºï¸â¤ï¸í ½í¸","https://twitter.com/Guruprasath1412"
"77",1,"#100cClub Still a dream for Many #Vikram #Shankar #I welcome vikram jii http://t.co/gC4Dsh7zpm","https://twitter.com/Vjzealot"
"80",1,"@shankarshanmugh sir plz think about aparichit part 2 on same looks of vikram ...it will be super duper hit,vikram should look aparichit.plz","https://twitter.com/cool_fayaz"
"82",2,"@shankarshanmugh sir plz make aparachit part 2,on the same looks of vikram in aparichit...we all assure tht it will be double super hit,plz","https://twitter.com/cool_fayaz"
"85",2,"@shankarshanmugh sir plz make aparachit part 2..on the same looks of vikram in aparichit...we all assure tht it will be double super hit;plz","https://twitter.com/cool_fayaz"
"88",2,"@shankarshanmugh sir plz make aparachit part 2.,on the same looks of vikram in aparichit...we all assure tht it will be double super hit,plz","https://twitter.com/cool_fayaz"
"89",2,"@shankarshanmugh sir plz make aparachit part 2.on the same looks of vikram in aparichit...we all assure tht it will be double super hit,plz","https://twitter.com/cool_fayaz"
"90",2,"@shankarshanmugh sir plz make aparachit part 2..on the same looks of vikram in aparichit...we all assure tht it will be double super hit.plz","https://twitter.com/cool_fayaz"
"92",2,"@shankarshanmugh sir plz make aparachit part 2..on the same looks of vikram in aparichit...we all assure tht it will be double super hit,plz","https://twitter.com/cool_fayaz"
"107",2,"RT @iamanandkr: What a visual feast , amazing film I"" by @shankarshanmugh , Vikram was outstanding n @iamAmyJackson in a dream role! http:/â¦","https://twitter.com/PiduguPrashii"
"109",1,"RT @DaburHoney_Ind: 4th question coming up in next tweet!! 
RT if you are ready #Jealubbies","https://twitter.com/vikram_sun"
"110",1,"@Smile_always21 Hahaha. If you say so í ½í¸ when you' become older you're gonna become like ""I"" vikram after eating lotsa chocolates. í ½í¸í ½í¸","https://twitter.com/FloatNSting"
"113",1,"Had nice time at ""Discovering Twitter""  
thanks to @gundabattini @vikram_sraj @ang_dsouza","https://twitter.com/awaresasi"
"115",1,"RT @DaburHoney_Ind: Three questions out and 7 more to go!! 
RT if you are ready for the next question #Jealubbies #contest","https://twitter.com/vikram_sun"
"116",1,"@vikramchandra Great job Vikram n NDTV! A  big thanks to Shree Amitabh Bacchan also for his contribution to this.","https://twitter.com/AbhijeetMukher4"
"133",1,"Have to wonder what sort of moron would build a 5 â­ï¸ hotel with a view like this í ½í¸§í ½í¸§í ½í¸§#dumbass http://t.co/aIofbBdvlN","https://twitter.com/vikram_dewan"
"152",1,"RT @ImPramodP: @AiMovie Spectacular! A Visual Delight! Super Talented #Vikram, Beautiful @iamAmyJackson &amp; on d top Magic of @arrahman, Highâ¦","https://twitter.com/Karthic12345"
"166",1,"RT @DaburHoney_Ind: Two questions out and what a superb response!! Keep your tweets and answers coming in, folks! #Jealubbies","https://twitter.com/vikram_sun"
