"","analysis_score","analysis_text"
"1",0,"New vikram https://t.co/eQCtFm03bQ"
"2",0,"RT @AiMovie: #Vikram's #I hits the bull's eye; crosses Rs 100 crore in its opening weekend worldwide!
http://t.co/XQcQih4n57 http://t.co/5lâ¦"
"3",2,"@Robo1235 vikram never said like that..even he said he love superstar so much... many times"
"4",0,"RT @IBNLiveMovies: #Vikram's #I hits the bull's eye; crosses Rs 100 crore in its opening weekend worldwide!
http://t.co/kU3Mg0HONy http://tâ¦"
"5",0,"@Banned_tweeter Best part of the 100c WW gross is #Chiyaan #Vikram made it happen the fastest Indian film..#Chiyaanroxxx"
"6",0,"RT @Showbiz_IT: Alone starring @bipsluvurself &amp; @Iamksgofficial earns Rs 14 cr in opening weekend http://t.co/96eh9fObMC #ITShowbiz http://â¦"
"7",1,"RT @DaburHoney_Ind: Five questions over!! Five more to go!!
RT if you are having fun with #Jealubbies!"
"8",1,"RT @ASUSIndia: Amazing answers &amp; active participation. We are having fun with the #EeeBook contest, are you?"
"9",0,"Alone starring @bipsluvurself &amp; @Iamksgofficial earns Rs 14 cr in opening weekend http://t.co/96eh9fObMC #ITShowbiz http://t.co/KeHUrLTdqH"
"10",0,"RT @behindwoods: '#I' enters the 100 crores club - A first for #Chiyaan #Vikram

#ARRahman #Shankar #AmyJackson #PCSreeram

http://t.co/ydDâ¦"
"11",0,"RT @Showbiz_IT: I starring Vikram collects Rs 100 crore in its opening weekend http://t.co/rNyTo2VJES #ITShowbiz http://t.co/yqkErCkmhk"
"12",0,"@Ramsicool yeah.. other than vikram's dedication, there is nothing new in that film."
"13",0,"RT @IBNLiveMovies: #Vikram's #I hits the bull's eye; crosses Rs 100 crore in its opening weekend worldwide!
http://t.co/kU3Mg0HONy http://tâ¦"
"14",-1,"RT @Lmkmoviemaniac: #Imovie enters the 100 crores club - A first for #ChiyaanVikram #Vikram
The Indian B-O gross split-up here http://t.co/â¦"
"15",0,"RT @telugu24x7: #imovie world wide collections #Telugu24x7 #Shankar #Vikram http://t.co/gvqftjpqdf"
"16",-1,"RT @Lmkmoviemaniac: #Imovie enters the 100 crores club - A first for #ChiyaanVikram #Vikram
The Indian B-O gross split-up here http://t.co/â¦"
"17",1,"@sevish u must respect at least for #Vikram dedication ..."
"18",0,"RT @Lmkmoviemaniac: #100croreclub 
#Imovie enters the 100 crores club - A first for #ChiyaanVikram #Vikram
http://t.co/2CWk9y0QsZ
#i #Shankâ¦"
"19",0,"RT @tamil_films: What Did Vikram Do With His Salary Earned From I(Ai)? 

Read more at: http://t.co/MFl9vsziCj http://t.co/tMxBPye9i1"
"20",0,"RT @RDBalaji: #Chiyaan #Vikram's #I #Imovie Worldwide Collection
India - 107 Crs
Overseas - 33 Crs
Total - 140 Crs  Awesome http://t.co/1Hlâ¦"
"21",0,"RT @Addi_Salman: #I Collected Huge 95cr Nett In Just 5 Days(India Only)..8.50Cr Nett In North India &amp; WOM Is Very Positive Here..Congo Vikrâ¦"
"22",1,"RT @ASUSIndia: A reminder of our rules, make sure you RT all our tweets and send in the right answers. Have you answered all our questions?â¦"
"23",0,"RT @DaburHoney_Ind: Check out the link: https://t.co/0bckX4EpY9 and answer the 5th question! 
#Jealubbies #contest"
"24",3,"@itisnmk simple vj fans supported i recently Vikram openly said hardcore fan of vj ie reason"
"25",-1,"I starring Vikram collects Rs 100 crore in its opening weekend: There was a lot of hype around filmmaker Filmm... http://t.co/pRorjQruno"
"26",-1,"I starring Vikram collects Rs 100 crore in its opening weekend: There was a lot of hype around filmmaker Filmm... http://t.co/0Fp38J1sN9"
"27",-1,"ISBPL: #NEWS I starring Vikram collects Rs 100 crore in its opening weekend: There was a lot of hype ar... http://t.co/wvKo3DeJ9t #world"
"28",0,"RT @IBNLiveMovies: #Vikram's #I hits the bull's eye; crosses Rs 100 crore in its opening weekend worldwide!
http://t.co/kU3Mg0HONy http://tâ¦"
"29",0,"RT @chiyaanvikram: #Chiyaan #Vikram's '#I' Storms #UK Box Office 

#Imovie @Aascars @iamAmyJackson 

http://t.co/uYfYWC5T1g http://t.co/8n9â¦"
"30",0,"RT @IBNLiveMovies: #Vikram's #I hits the bull's eye; crosses Rs 100 crore in its opening weekend worldwide!
http://t.co/kU3Mg0HONy http://tâ¦"
"31",1,"RT @RDBalaji: @varun477 @Aascars yes i saw 8 times till now. no one left theatre until VIKRAM's last pose :) real success #i #Imovie"
"32",0,"RT @pinkvilla: http://t.co/ZoynU5puS8 - 'I' hits the bull's eye, collects over Rs.100 crore @iamAmyJackson #Vikram #UpenPatel #I"
"33",0,"RT @behindwoods: '#I' enters the 100 crores club - A first for #Chiyaan #Vikram

#ARRahman #Shankar #AmyJackson #PCSreeram

http://t.co/ydDâ¦"
"34",-1,"@DaburHoney_Ind #Jealubbies 5. Jealubbies = the husbands who look at their wives and go ' the grapes are sour. ' because they cant work hard"
"35",0,"RT @chiyaanvikram: #Chiyaan #Vikram's '#I' Storms #UK Box Office 

#Imovie @Aascars @iamAmyJackson 

http://t.co/uYfYWC5T1g http://t.co/8n9â¦"
"36",0,"RT @Showbiz_IT: I starring Vikram collects Rs 100 crore in its opening weekend http://t.co/rNyTo2VJES #ITShowbiz http://t.co/yqkErCkmhk"
"37",0,"RT @Showbiz_IT: I starring Vikram collects Rs 100 crore in its opening weekend http://t.co/rNyTo2VJES #ITShowbiz http://t.co/yqkErCkmhk"
"38",-1,"RT @Lmkmoviemaniac: #Imovie enters the 100 crores club - A first for #ChiyaanVikram #Vikram
The Indian B-O gross split-up here http://t.co/â¦"
"39",0,"RT @Lmkmoviemaniac: #100croreclub 
#Imovie enters the 100 crores club - A first for #ChiyaanVikram #Vikram
http://t.co/2CWk9y0QsZ
#i #Shankâ¦"
"40",0,"RT @DaburHoney_Ind: Q5. Define #Jealubbies in one line.
#contest"
"41",0,"RT @KPMGIndia: Lief Zierz, Global Head (T&amp;R), #KPMG &amp; Vikram Hosangady, Partner, @KPMGIndia in conversation with @EconomicTimes : http://t.â¦"
"42",0,"RT @behindwoods: '#I' enters the 100 crores club - A first for #Chiyaan #Vikram

#ARRahman #Shankar #AmyJackson #PCSreeram

http://t.co/ydDâ¦"
"43",0,"RT @Showbiz_IT: I starring Vikram collects Rs 100 crore in its opening weekend http://t.co/rNyTo2VJES #ITShowbiz http://t.co/yqkErCkmhk"
"44",3,"RT @ASUSIndia: We are giving away some really cool gift hampers, so make sure you send in the right answers. Are you having fun with our #Eâ¦"
"45",0,"A new video from #Volga.Video has been posted. Check it out here: http://t.co/0O6y5BObpu  ""Intelligent Idiots Love Trailer - Vikram Sekhar,"
"46",0,"A new video from #Volga.Video has been posted. Check it out here: http://t.co/F7sHwDyRdj  ""Intelligent Idiots Song Trailer - Vikram Sekhar,"
"47",0,"A new video from #Volga.Video has been posted. Check it out here: http://t.co/DDY6Qe8PAc  ""Intelligent Idiots Comedy Trailer - Vikram Sekha"
"48",0,"A new video from #Volga.Video has been posted. Check it out here: http://t.co/9aH7VQY0YP  ""Intelligent Idiots Comedy Trailer - Vikram Sekha"
"49",1,"RT @itisprashanth: Rajini,  kamal,  vijay and now vikram in the elite 100 crore club. He totally deserves it for all his hard work. #I"
"50",0,"A new video from #Volga.Video has been posted. Check it out here: http://t.co/IWNZzflLbI  ""Intelligent Idiots Back 2 Back Trailers - Vikram"
"51",0,"RT @pinkvilla: http://t.co/ZoynU5puS8 - 'I' hits the bull's eye, collects over Rs.100 crore @iamAmyJackson #Vikram #UpenPatel #I"
"52",0,"RT @BollywoodWiki: Vikram's 'I' hits the bull's eye; collects over Rs 100 crore in its opening weekend worldwide http://t.co/7jbVEX4apb"
"53",0,"RT @BollywoodWiki: Vikram's 'I' hits the bull's eye; collects over Rs 100 crore in its opening weekend worldwide http://t.co/7jbVEX4apb"
"54",1,"RT @DaburHoney_Ind: Time for the 5th question!!
Are you ready for it? RT NOW #Jealubbies"
"55",0,"RT @igtamil: Lingesan 'Lee' #Vikram and Diya #AmyJackson get candid!

#IMovie #Shankar #Chiyaan #AiMovie #ARRahman http://t.co/ZcFsXY7w4o"
"56",0,"RT @Showbiz_IT: I starring Vikram collects Rs 100 crore in its opening weekend http://t.co/rNyTo2VJES #ITShowbiz http://t.co/yqkErCkmhk"
"57",0,"RT @Showbiz_IT: I starring Vikram collects Rs 100 crore in its opening weekend http://t.co/rNyTo2VJES #ITShowbiz http://t.co/yqkErCkmhk"
"58",0,"RT @Showbiz_IT: I starring Vikram collects Rs 100 crore in its opening weekend http://t.co/rNyTo2VJES #ITShowbiz http://t.co/yqkErCkmhk"
"59",0,"#I Collected Huge 95cr Nett In Just 5 Days(India Only)..8.50Cr Nett In North India &amp; WOM Is Very Positive Here..Congo Vikram &amp; Shankar"
"60",0,"What Did Vikram Do With His Salary Earned From I(Ai)? 

Read more at: http://t.co/MFl9vsziCj http://t.co/tMxBPye9i1"
"61",0,"RT @Showbiz_IT: I starring Vikram collects Rs 100 crore in its opening weekend http://t.co/rNyTo2VJES #ITShowbiz http://t.co/yqkErCkmhk"
"62",0,"'I' Theatrical Trailer [Official] | Aascar | Shankar, Chiyaan Vikram, Am...: http://t.co/cTWhzVeiDz via @YouTube"
"63",0,"I starring Vikram collects Rs 100 crore in its opening weekend http://t.co/rNyTo2VJES #ITShowbiz http://t.co/yqkErCkmhk"
"64",0,"RT @LavaMobile: Which Lava smartphone was launched in May 2014 with a big bang? #MyLava contest"
"65",0,"Lief Zierz, Global Head (T&amp;R), #KPMG &amp; Vikram Hosangady, Partner, @KPMGIndia in conversation with @EconomicTimes : http://t.co/gkJgQzlCus"
"66",0,"@Cinenewsworld 

Pls tell us your next movie after idhu enna maayam (vikram prabhu)"
"67",-1,"RT @Lmkmoviemaniac: #Imovie enters the 100 crores club - A first for #ChiyaanVikram #Vikram
The Indian B-O gross split-up here http://t.co/â¦"
"68",0,"RT @Lmkmoviemaniac: #100croreclub 
#Imovie enters the 100 crores club - A first for #ChiyaanVikram #Vikram
http://t.co/2CWk9y0QsZ
#i #Shankâ¦"
"69",0,"RT @utvfilms: Also big congrats to our very own 'Vikram Singh Rathore' @_fawadakhan_ for his nomination in #BestDebut (Male) at the #Filmfaâ¦"
"70",0,"RT @DaburHoney_Ind: 4 questions are already out! You can find all the answers at http://t.co/tnT4tUXSFF

RT &amp; participate now #Jealubbies"
"71",2,"@vikramchandra great news ! Kudos to you as well Vikram"
"72",0,"RT @IBNLiveMovies: #Vikram's #I hits the bull's eye; crosses Rs 100 crore in its opening weekend worldwide!
http://t.co/kU3Mg0HONy http://tâ¦"
"73",0,"@RCHanoi yes, each of us at yoga brains watched and reviewed it and later met and hung out with vikram! great piece on guru social psych.."
"74",1,"RT @suza888: Today is all about ""I"" ! Can't wait til evening ! #Ai to witness the magical moments #Vikram í ½í¸âºï¸â¤ï¸í ½í¸"
"75",-1,"RT @Lmkmoviemaniac: #Imovie enters the 100 crores club - A first for #ChiyaanVikram #Vikram
The Indian B-O gross split-up here http://t.co/â¦"
