"","word","freq"
"vikram","vikram",1185
"chiyaan","chiyaan",434
"imovie","imovie",360
"movie","movie",286
"vikrams","vikrams",275
"box","box",144
"shankar","shankar",137
"office","office",128
"worldwide","worldwide",123
"opening","opening",113
"rscrore","rscrore",113
"club","club",112
"actor","actor",106
"tamil","tamil",105
"hits","hits",104
"bulls","bulls",96
"eye","eye",92
"weekend","weekend",90
"salary","salary",86
"school","school",85
"amy","amy",82
"mentally","mentally",81
"now","now",77
"one","one",75
"first","first",69
"kids","kids",69
"director","director",68
"enters","enters",67
"actors","actors",66
"elitecrore","elitecrore",66
"collection","collection",65
"hard","hard",64
"highest","highest",64
"work","work",64
"collects","collects",63
"koonan","koonan",63
"meet","meet",63
"paid","paid",63
"press","press",63
"combinationsrajinikanthajithvijaykamal","combinationsrajinikanthajithvijaykamal",61
"indian","indian",61
"irrespective","irrespective",61
"haasansur","haasansur",59
"ran","ran",59
"see","see",59
"will","will",59
"disordered","disordered",58
"fan","fan",58
"chiyaanvikram","chiyaanvikram",57
"crosses","crosses",57
"gaveof","gaveof",57
"jackson","jackson",57
"time","time",57
"storms","storms",56
"itselfrespe","itselfrespe",54
"thecrores","thecrores",52
"amyjackson","amyjackson",51
"deserves","deserves",51
"cluba","cluba",50
"fans","fans",50
"film","film",50
"totally","totally",50
"watched","watched",50
"rajinikamalvijay","rajinikamalvijay",49
"shankars","shankars",48
"sir","sir",48
"songs","songs",48
"acting","acting",47
"contest","contest",47
"children","children",46
"new","new",45
"art","art",44
"dubai","dubai",41
"gross","gross",41
"good","good",40
"like","like",40
"exclusive","exclusive",39
"http","http",39
"next","next",38
"think","think",38
"vijay","vijay",38
"video","video",37
"great","great",35
"blockbuster","blockbuster",34
"just","just",34
"making","making",33
"says","says",33
"cant","cant",32
"dont","dont",32
"performance","performance",32
"watch","watch",32
"best","best",31
"climax","climax",31
"idays","idays",31
"jealubbies","jealubbies",31
"wait","wait",31
"loved","loved",30
"make","make",30
"scene","scene",30
"big","big",29
"can","can",29
"hero","hero",29
"location","location",29
"overseas","overseas",29
"ready","ready",29
"congrats","congrats",28
"day","day",28
"get","get",28
"kamal","kamal",27
"latest","latest",27
"upenpatel","upenpatel",27
"collected","collected",26
"know","know",26
"combo","combo",25
"rajinikanth","rajinikanth",25
"awesome","awesome",24
"epic","epic",24
"haasan","haasan",24
"joins","joins",24
"optionajithvikramretweet","optionajithvikramretweet",24
"proud","proud",24
"read","read",24
"show","show",24
"super","super",24
"vijaysuriyafavor","vijaysuriyafavor",24
"andat","andat",23
"fantasticcr","fantasticcr",23
"hyderabad","hyderabad",23
"iintocrclubhttp","iintocrclubhttp",23
"mersal","mersal",23
"really","really",23
"world","world",23
"far","far",22
"gaga","gaga",22
"interview","interview",22
"justdays","justdays",22
"massesclasses","massesclasses",22
"photos","photos",22
"dedication","dedication",21
"looks","looks",21
"days","days",20
"gallery","gallery",20
"kollywood","kollywood",20
"sharing","sharing",20
"splitup","splitup",20
"also","also",19
"answer","answer",19
"arrahman","arrahman",19
"croreclub","croreclub",19
"love","love",19
"special","special",19
"collections","collections",18
"couple","couple",18
"hunchback","hunchback",18
"iaiimovieimoviereviewvikramsankarshankararrahman","iaiimovieimoviereviewvikramsankarshankararrahman",18
"iman","iman",18
"man","man",18
"shank","shank",18
"starring","starring",18
"taken","taken",18
"three","three",18
"win","win",18
"gives","gives",17
"many","many",17
"merselafied","merselafied",17
"much","much",17
"plz","plz",17
"south","south",17
"team","team",17
"theater","theater",17
"brilliant","brilliant",16
"crorevikram","crorevikram",16
"enter","enter",16
"india","india",16
"must","must",16
"never","never",16
"records","records",16
"singh","singh",16
"still","still",16
"superstar","superstar",16
"amazing","amazing",15
"happy","happy",15
"hardwork","hardwork",15
"high","high",15
"interesting","interesting",15
"kerala","kerala",15
"liked","liked",15
"makingvikram","makingvikram",15
"people","people",15
"poster","poster",15
"premiere","premiere",15
"release","release",15
"response","response",15
"screening","screening",15
"ver","ver",15
"vikramat","vikramat",15
"walked","walked",15
"cinema","cinema",14
"fawadkhan","fawadkhan",14
"friends","friends",14
"raw","raw",14
"run","run",14
"saw","saw",14
"scores","scores",14
"screen","screen",14
"story","story",14
"today","today",14
"via","via",14
"vikramathukummelae","vikramathukummelae",14
"well","well",14
"absolutely","absolutely",13
"active","active",13
"agentsthe","agentsthe",13
"boxofficecollection","boxofficecollection",13
"creations","creations",13
"disabled","disabled",13
"expose","expose",13
"forgetforgive","forgetforgive",13
"heroes","heroes",13
"inclcr","inclcr",13
"indias","indias",13
"lovely","lovely",13
"madhavan","madhavan",13
"media","media",13
"minimal","minimal",13
"officechiyaan","officechiyaan",13
"pcsreeram","pcsreeram",13
"posted","posted",13
"releases","releases",13
"shooting","shooting",13
"shri","shri",13
"singapore","singapore",13
"spot","spot",13
"thoughtful","thoughtful",13
"ultimate","ultimate",13
"want","want",13
"ü¾™†”¼ü¾Œ†„¼ü¾™†ˆ¼ü¾™†”¼ü¾Ž†ˆ¼ü¾™ƒ ¼ü¾™†”¼ü¾Œ†„¼ü¾™†ˆ¼ü¾™†”¼ü¾Ž†ˆ¼ü¾Žƒ¤¼","ü¾™†”¼ü¾Œ†„¼ü¾™†ˆ¼ü¾™†”¼ü¾Ž†ˆ¼ü¾™ƒ ¼ü¾™†”¼ü¾Œ†„¼ü¾™†ˆ¼ü¾™†”¼ü¾Ž†ˆ¼ü¾Žƒ¤¼",12
