"","score","text","path"
"2",1,"NHL Three Stars: Kulemin leads first place Isles; Staal fights, scores vs. Maple Leafs: No. 1 Star: Nikolay Ku... http://t.co/E1kDuUbHRz","https://twitter.com/thehockeybear"
"17",1,"Smile is wonderful âª   http://t.co/qhto2PTWCa  http://t.co/8AqPwwJzUK","https://twitter.com/google_yahoo_rt"
"25",2,"Guard trio leads Suns to 115-100 win over Kobe-less Lakers (Yahoo Sports) http://t.co/yBKgQynxsK","https://twitter.com/JohnnPasha"
"40",2,"Guard trio leads Suns to 115-100 win over Kobe-less Lakers (The Associated Press): The Phoenix Su... http://t.co/mEXUAqou2b #PhoenixSuns","https://twitter.com/NBA_Sneakers"
"47",2,"Guard trio leads Suns to 115-100 win over Kobe-less Lakers #Lakers [Yahoo! Sports] http://t.co/hTguGII6hJ","https://twitter.com/Lakers365com"
"55",1,"Socceroos invited for Palestinian football friendly http://t.co/r7N6BWjzHa","https://twitter.com/Ramdog1980"
"56",1,"Socceroos invited for Palestinian football friendly: Palestine coach Ahmad Alhasan invited Australia to visit ... http://t.co/dHkGR4QlUw","https://twitter.com/Ramdog1980"
"61",1,"Smith to lead Australia against England, Warner rested: Shaun Marsh and Cameron White willâ¦ http://t.co/T3q2HjMeEQ","https://twitter.com/IPLEight_"
"65",1,"RT @womenshealthaus: ADD TO CART! Four fitness lines to get excited about: http://t.co/0rfhdtsFlS http://t.co/CvxM8fndtL","https://twitter.com/ashausten"
"73",1,"RT @austin_walker: Quora is just a slightly fancier yahoo answers. http://t.co/O9BKL8zBcl","https://twitter.com/teioh"
"84",1,"@melindacrow Just read your piece on Yahoo. The best place in NJ is a place to take a photo of NEW YORK? Boo. Ever been to NJ? See next .","https://twitter.com/pvz3rd"
"103",1,"Yahoo, AOL shares jump on renewed merger calls","https://twitter.com/LMHEnterpeirs"
"107",3,"Guard trio leads Suns to 115-100 win over Kobe-less Lakers (Yahoo Sports): The Phoenix Suns' trio of prolific ... http://t.co/i6NV8EFrDU","https://twitter.com/FengXiaoxue"
"108",3,"Guard trio leads Suns to 115-100 win over Kobe-less Lakers (Yahoo Sports): The Phoenix Suns' trio of prolific ... http://t.co/vUBHDyWFOj","https://twitter.com/DeonnaCaserta"
"109",3,"Guard trio leads Suns to 115-100 win over Kobe-less Lakers (Yahoo Sports): The Phoenix Suns' trio of prolific ... http://t.co/Fq9du4SrEQ","https://twitter.com/shoot_hoops"
"110",2,"Guard trio leads Suns to 115-100 win over Kobe-less Lakers (Yahoo Sports) http://t.co/t2gmI6S5Dw","https://twitter.com/nbariver"
"112",2,"#sports Guard trio leads Suns to 115-100 win over Kobe-less Lakers (Yahoo Sports): The Phoeni... http://t.co/WxWlAHAuHv #NBA #basketball","https://twitter.com/ChatchTVSports"
"113",2,"Guard trio leads Suns to 115-100 win over Kobe-less Lakers (Yahoo Sports) http://t.co/sSNatUokbu #NBA","https://twitter.com/YahooSportsNBA"
"114",3,"Guard trio leads Suns to 115-100 win over Kobe-less Lakers (Yahoo Sports): The Phoenix Suns' trio of prolific point guards was at it ...","https://twitter.com/goldmanmercedes"
"118",2,"Guard trio leads Suns to 115-100 win over Kobe-less Lakers (Yahoo Sports): The Phoenix Suns' trio... http://t.co/3dkDvDKaGr #nba #sports","https://twitter.com/tsairox"
