"score" "text"
"10" 1 "#PawanKalyan ee name chalu , a movie ayina super Hit kavadaniki.. andukenemo ippudu ee name ni anni cinemalalo japam chesthunru  Ì†ΩÌ∏çÌ†ΩÌ∏é"
"12" 1 "The man of #Power .....pawankalyan .....

True ..followers ...add up here .......

Like this PaGE ....guyss

#kp http://t.co/41l02vzK6C"
"24" 1 "That is #PawanKalyan !! #Respect !!!!

Read: http://t.co/6gg3g9AA9x"
"25" 1 "RT @mahi2you: After longtime @ihansika entrance in #Power as Nirupama ji with Pawankalyan #Attarintikidaredi Record awesome Ì†ΩÌ∏çÌ†ΩÌ∏é"
