"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @UrsSamyuktha: http://t.co/PtyaJODDQV #PawanKalyan in POWER !! hehe Naa tweet Ki article rasesaru Ì†ΩÌ∏ã @PawanKalyanFan  Samyuktha Rockz htt‚Ä¶",FALSE,0,NA,2014-09-12 11:19:54,FALSE,NA,"510387320097230848",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","genuinestart",3,TRUE,FALSE,NA,NA
"2","@HARISH_0436 ala em ledu, Pawankalyan 3rd marriage ki kuda tweet chesa, so what's wrong.",FALSE,0,"HARISH_0436",2014-09-12 11:15:37,FALSE,"510385057240846336","510386243952074753","139977429","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Mirchi_Prabhas",0,FALSE,FALSE,NA,NA
"3","RT @UrsSamyuktha: http://t.co/PtyaJODDQV #PawanKalyan in POWER !! hehe Naa tweet Ki article rasesaru Ì†ΩÌ∏ã @PawanKalyanFan  Samyuktha Rockz htt‚Ä¶",FALSE,0,NA,2014-09-12 11:15:29,FALSE,NA,"510386208426708992",NA,"<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for Windows Phone</a>","ISM_Janasena",3,TRUE,FALSE,NA,NA
"4","http://t.co/LUi1LUNKil ‚Ä¶ #PawanKalyan in POWER !! hehe Naa tweet Ki article rasesaru @PawanKalyanFan  Samyuktha Rockz http://t.co/I2LFYwxzdQ",FALSE,0,NA,2014-09-12 11:13:30,FALSE,NA,"510385712240156673",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","maheshpawanism",0,FALSE,FALSE,NA,NA
"5","RT @UrsSamyuktha: http://t.co/PtyaJODDQV #PawanKalyan in POWER !! hehe Naa tweet Ki article rasesaru Ì†ΩÌ∏ã @PawanKalyanFan  Samyuktha Rockz htt‚Ä¶",FALSE,0,NA,2014-09-12 11:12:54,FALSE,NA,"510385559802765312",NA,"<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for Windows Phone</a>","Powerrstarfan",3,TRUE,FALSE,NA,NA
"6","http://t.co/PtyaJODDQV #PawanKalyan in POWER !! hehe Naa tweet Ki article rasesaru Ì†ΩÌ∏ã @PawanKalyanFan  Samyuktha Rockz http://t.co/lRCzTNdDKo",FALSE,3,NA,2014-09-12 11:12:23,FALSE,NA,"510385427547979776",NA,"<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for Windows Phone</a>","UrsSamyuktha",3,FALSE,FALSE,NA,NA
"7","@HARISH_0436 prabhas prabhas prabhas and konchem Pawankalyan konchem Mahesh",FALSE,0,"HARISH_0436",2014-09-12 11:10:14,FALSE,"510383838728441856","510384887841308672","139977429","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Mirchi_Prabhas",0,FALSE,FALSE,NA,NA
"8","@Pa1Jenasena @kapilvarala yes, Pawankalyan tarvata Prabhas's No.1",FALSE,0,"Pa1Jenasena",2014-09-12 11:01:44,FALSE,"510372331810598912","510382747311804416","2286354252","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Mirchi_Prabhas",0,FALSE,FALSE,NA,NA
"9","RaviTeja, PawanKalyan, Tarak.. Cinema mothanni One Man Show Cheyyagaligedi Veelle :)",FALSE,0,NA,2014-09-12 10:59:23,FALSE,NA,"510382158683586560",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M2)</a>","sairam_smiles",0,FALSE,FALSE,NA,NA
"10","#PawanKalyan ee name chalu , a movie ayina super Hit kavadaniki.. andukenemo ippudu ee name ni anni cinemalalo japam chesthunru  Ì†ΩÌ∏çÌ†ΩÌ∏é",FALSE,0,NA,2014-09-12 10:42:06,FALSE,NA,"510377808887951360",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","mahi2you",0,FALSE,FALSE,NA,NA
"11","RT @nishchitha1: #PawanKalyan‚ô•‚ô°‚ô•
Rare pic. !! http://t.co/HTTa7rhn7q",FALSE,0,NA,2014-09-12 10:12:10,FALSE,NA,"510370277159477249",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Ravikumar092683",4,TRUE,FALSE,NA,NA
"12","The man of #Power .....pawankalyan .....

True ..followers ...add up here .......

Like this PaGE ....guyss

#kp http://t.co/41l02vzK6C",FALSE,0,NA,2014-09-12 10:04:00,FALSE,NA,"510368219597926400",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","charansrikanth1",0,FALSE,FALSE,NA,NA
"13","@PA1SENA Vote 4 PK.LAST DAY OF SIIMA 2014. PK-44% Mahesh 46%@PawanKalyan_IN @UrsSamyuktha @rudy_124 @Pawan_KalyanFC @PSPK_FC @Kushalreddyr",FALSE,1,"PA1SENA",2014-09-12 09:40:17,FALSE,"510345925005291520","510362250599604224","2181973387","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","sameerbvs",0,FALSE,FALSE,NA,NA
